date,open,high,low,close,volume,amount
2024-10-15,0.995,1.004,0.975,0.975,1654960589,1643983695
2024-10-16,0.971,0.983,0.96,0.971,585261948,568518694
2024-10-17,0.973,0.983,0.958,0.959,641451765,623039071
2024-10-18,0.958,1.016,0.956,0.995,1179789011,1154920779
2024-10-21,1.005,1.015,0.991,1.004,860696140,863123166
2024-10-22,1.004,1.013,0.999,1.009,710175783,714557087
2024-10-23,1.01,1.025,1.004,1.013,676106919,685516496
2024-10-24,1.012,1.012,0.999,1.002,773524466,776272513
2024-10-25,1.004,1.022,1.001,1.014,972921927,985060326
2024-10-28,1.015,1.018,1.003,1.018,922716544,933708108
2024-10-29,1.019,1.024,1.006,1.007,1017257440,1032029324
2024-10-30,1.006,1.009,0.994,1.002,1111379712,1114560702
2024-10-31,1.002,1.011,0.994,1.004,941407477,944564079
2024-11-01,1.0,1.012,0.997,1.002,1247499542,1254225996
2024-11-04,1.001,1.015,0.999,1.014,841832612,847178761
2024-11-05,1.013,1.043,1.009,1.042,1443162786,1483338803
2024-11-06,1.049,1.055,1.032,1.039,1374980461,1433777898
2024-11-07,1.034,1.066,1.029,1.065,1086145160,1137368914
2024-11-08,1.08,1.083,1.054,1.062,1193620969,1271255481
2024-11-11,1.056,1.07,1.045,1.069,2207844425,2337561499
2024-11-12,1.067,1.082,1.05,1.058,1214265017,1296432749
2024-11-13,1.054,1.064,1.049,1.06,1875689329,1981796221
2024-11-14,1.06,1.061,1.037,1.039,2090123102,2196667806
2024-11-15,1.036,1.041,1.018,1.02,2058336989,2127425789
2024-11-18,1.025,1.033,1.006,1.011,2605471036,2658251372
2024-11-19,1.012,1.02,0.997,1.019,2100806678,2119105317
2024-11-20,1.017,1.03,1.013,1.024,1786466402,1825615581
2024-11-21,1.024,1.029,1.019,1.026,1714691250,1755808704
2024-11-22,1.022,1.026,0.992,0.995,2365218319,2391437249
2024-11-25,0.996,0.998,0.978,0.989,2099241876,2077459757
2024-11-26,0.989,0.995,0.983,0.983,1931389671,1908078072
2024-11-27,0.984,1.003,0.976,1.002,1980912169,1953449603
2024-11-28,1.0,1.002,0.991,0.991,1753790335,1747421815
2024-11-29,0.991,1.015,0.991,1.007,2067193825,2075710463
2024-12-02,1.006,1.018,1.001,1.014,1878578136,1899474391
2024-12-03,1.014,1.019,1.007,1.014,1641974017,1661520139
2024-12-04,1.014,1.016,1.004,1.008,1673595300,1690437311
2024-12-05,1.006,1.011,1.003,1.008,1471891750,1482384769
2024-12-06,1.007,1.027,1.006,1.02,1900483223,1928949563
2024-12-09,1.019,1.026,1.012,1.018,1932629791,1969062657
2024-12-10,1.053,1.06,1.023,1.026,2252567739,2336899945
2024-12-11,1.024,1.029,1.022,1.025,1917356627,1967142302
2024-12-12,1.025,1.036,1.023,1.034,2124499270,2184947584
2024-12-13,1.03,1.03,1.011,1.011,2635544294,2681310894
2024-12-16,1.012,1.013,1.001,1.005,2046208622,2058504219
2024-12-17,1.005,1.014,1.002,1.004,2221639501,2237262069
2024-12-18,1.006,1.014,1.006,1.01,2175568215,2196810070
2024-12-19,1.006,1.015,0.999,1.013,2708545672,2729391094
