date,open,high,low,close,volume,hold
2026-01-19,7953.8,8060.0,7871.0,8024.0,7815,7655
2026-01-20,8050.0,8107.2,7929.4,8024.2,13522,14085
2026-01-21,8000.0,8158.0,7991.0,8158.0,7748,15194
2026-01-22,8199.2,8232.4,8132.0,8195.2,7834,17695
2026-01-23,8231.2,8491.0,8222.4,8491.0,10967,20975
2026-01-26,8536.0,8609.8,8260.0,8260.2,16845,26586
2026-01-27,8246.0,8420.0,8144.0,8370.4,14125,28582
2026-01-28,8420.0,8497.6,8342.0,8469.0,10940,31120
2026-01-29,8450.0,8558.8,8351.0,8374.0,15369,35641
2026-01-30,8321.6,8396.6,7943.2,8210.0,17220,37921
2026-02-02,8152.0,8190.0,7581.4,7647.0,24711,38790
2026-02-03,7850.0,8115.4,7787.4,8095.0,17479,40585
2026-02-04,8076.6,8125.0,7910.2,8105.0,14601,40043
2026-02-05,8025.0,8038.0,7812.6,7900.2,15626,41143
2026-02-06,7800.0,8043.4,7713.8,7900.0,15096,41648
2026-02-09,8065.0,8121.0,8020.8,8095.2,9988,41362
2026-02-10,8105.0,8110.0,8035.6,8064.0,6830,41072
2026-02-11,8068.0,8154.8,8065.0,8117.4,6112,41036
2026-02-12,8155.0,8245.6,8122.6,8234.6,7232,42389
2026-02-13,8167.0,8199.2,8002.2,8048.2,12159,44977
2026-02-24,8160.0,8229.0,8108.8,8146.2,10559,44903
2026-02-25,8170.2,8338.2,8170.2,8317.0,11606,47578
2026-02-26,8340.2,8347.0,8259.6,8298.2,13020,48096
2026-02-27,8258.8,8384.8,8247.8,8376.2,11338,48679
2026-03-02,8316.0,8420.8,8258.2,8351.0,16369,50593
2026-03-03,8362.2,8374.6,7956.6,7993.2,27683,55794
2026-03-04,7910.0,8099.6,7903.0,7921.6,17847,53145
2026-03-05,8100.0,8100.0,7850.0,7921.6,17277,55318
2026-03-06,7895.2,8022.6,7883.6,7977.8,13041,53563
2026-03-09,7830.0,7934.0,7536.6,7901.8,18813,55863
2026-03-10,8000.0,8089.8,7955.0,8083.2,16828,56412
2026-03-11,8099.2,8127.6,8036.4,8038.4,13821,58423
2026-03-12,8020.4,8056.4,7906.8,7969.8,17844,62047
2026-03-13,7940.2,8020.8,7847.6,7863.4,16783,62729
2026-03-16,7859.8,7880.2,7694.0,7838.8,18568,65094
2026-03-17,7860.2,7884.0,7630.0,7632.2,20244,65675
2026-03-18,7680.0,7738.8,7590.0,7714.2,16236,65398
2026-03-19,7605.4,7638.6,7431.6,7494.2,23983,67290
2026-03-20,7544.2,7593.2,7378.4,7382.8,22030,66658
2026-03-23,7295.8,7346.8,6989.0,7049.0,27238,67933
2026-03-24,7167.2,7247.8,7003.0,7239.4,21537,66370
2026-03-25,7327.4,7477.6,7310.8,7355.0,20575,66635
2026-03-26,7360.6,7400.0,7232.6,7240.2,15926,64959
2026-03-27,7176.8,7440.0,7166.0,7386.8,19186,67383
2026-03-30,7293.8,7399.6,7197.0,7387.2,18889,66523
2026-03-31,7412.0,7450.0,7246.2,7255.4,22944,70849
2026-04-01,7368.2,7444.8,7343.4,7403.0,20978,70489
2026-04-02,7386.0,7394.4,7174.8,7239.2,21659,70900
2026-04-03,7269.0,7284.0,7157.4,7181.0,16586,69586
2026-04-07,7200.2,7302.2,7184.4,7218.0,13905,69213
2026-04-08,7420.0,7672.4,7420.0,7671.6,24571,70527
2026-04-09,7570.0,7621.2,7530.0,7581.0,19040,68815
2026-04-10,7645.8,7776.8,7629.6,7662.2,22425,72530
2026-04-13,7622.8,7702.0,7622.8,7645.2,17950,72256
2026-04-14,7700.0,7779.8,7679.8,7776.0,19886,75793
2026-04-15,7858.0,7865.0,7744.0,7748.6,19957,77062
2026-04-16,7785.2,7931.6,7783.4,7913.2,20924,78172
2026-04-17,7880.0,7967.2,7858.0,7944.4,18280,77956
2026-04-20,7963.0,8068.0,7925.0,7992.2,22885,82231
2026-04-21,8001.8,8002.0,7907.8,7973.6,19119,79661
2026-04-22,7934.0,8112.0,7934.0,8108.0,18463,81776
2026-04-23,8115.8,8134.8,7941.0,8028.0,22437,82465
2026-04-24,7998.6,8046.8,7896.4,7986.0,22943,82830
2026-04-27,7993.0,8075.0,7960.0,8042.4,18860,84015
2026-04-28,8025.0,8036.6,7913.8,7954.0,19896,84778
2026-04-29,7929.8,8140.8,7926.8,8128.4,22312,85759
2026-04-30,8129.4,8149.8,8070.0,8131.6,17258,84008
2026-05-06,8250.0,8433.8,8243.4,8367.2,24067,88017
2026-05-07,8420.0,8506.8,8391.8,8494.0,19604,86370
2026-05-08,8461.8,8521.2,8419.0,8490.4,20659,87648
2026-05-11,8594.0,8652.8,8495.8,8599.4,27306,90664
2026-05-12,8620.4,8625.0,8520.0,8556.0,23269,89846
2026-05-13,8544.0,8723.4,8517.0,8710.0,26387,92197
2026-05-14,8750.0,8750.0,8467.6,8468.6,38498,96105
2026-05-15,8496.4,8515.0,8236.6,8315.0,48711,100439
2026-05-18,8285.4,8403.4,8256.2,8332.0,32611,96313
2026-05-19,8318.8,8391.8,8180.0,8384.0,38085,98783
2026-05-20,8350.0,8423.6,8291.4,8402.4,32342,95728
2026-05-21,8480.0,8560.0,8156.0,8166.8,50426,102431
2026-05-22,8223.0,8362.8,8193.4,8305.4,37170,98935
2026-05-25,8356.0,8425.8,8282.0,8405.0,35290,98858
2026-05-26,8380.0,8391.4,8250.2,8382.6,44604,103170
2026-05-27,8390.0,8474.4,8195.0,8236.6,45492,103741
2026-05-28,8226.0,8330.0,8136.0,8273.8,44449,103364
2026-05-29,8327.8,8328.0,8026.6,8084.0,48565,106275
2026-06-01,8111.0,8188.0,8021.6,8044.0,36916,104814
2026-06-02,8082.2,8163.8,7928.8,8086.8,43965,110015
2026-06-03,8086.8,8246.0,8066.4,8133.8,49123,109037
2026-06-04,8070.0,8171.6,8070.0,8119.8,37370,108552
2026-06-05,8078.8,8175.8,7976.0,8000.8,51751,113592
2026-06-08,7850.0,7918.8,7662.2,7755.4,59077,116581
2026-06-09,7801.2,7936.0,7735.8,7920.4,43516,112558
2026-06-10,7850.0,7891.4,7728.0,7831.6,46259,116068
2026-06-11,7813.0,7861.4,7732.0,7801.0,48980,117282
2026-06-12,7940.0,8042.0,7891.8,7927.6,56920,120973
2026-06-15,8104.0,8207.6,8010.0,8206.6,61522,129676
2026-06-16,8206.0,8324.6,8181.2,8278.0,58829,133993
2026-06-17,8242.0,8433.0,8242.0,8429.0,68378,144462
2026-06-18,8424.0,8546.0,8401.8,8517.4,88410,162104
2026-06-22,8536.0,8677.0,8432.0,8650.0,112647,171790
2026-06-23,8630.0,8672.2,8377.0,8455.0,129547,174176
2026-06-24,8462.8,8635.0,8418.8,8595.0,114321,169193
2026-06-25,8595.2,8714.8,8561.6,8699.4,122306,176339
2026-06-26,8647.4,8672.2,8402.0,8447.0,145705,172822
2026-06-29,8463.8,8590.0,8350.4,8537.6,136851,173091
2026-06-30,8540.2,8805.0,8512.0,8783.0,120466,170765
2026-07-01,8763.0,8873.8,8656.8,8713.0,138185,173196
2026-07-02,8616.0,8678.6,8456.8,8488.0,134223,168425
2026-07-03,8519.0,8650.0,8442.0,8538.0,121199,168866
2026-07-06,8574.4,8584.2,8376.0,8467.0,122043,168238
2026-07-07,8420.0,8478.8,8281.0,8322.6,116813,170465
