date,open,high,low,close,volume,hold
2026-01-19,4634.0,5146.0,4611.4,4633.8,5287,5179
2026-01-20,4646.0,4648.6,4579.4,4615.0,4293,5770
2026-01-21,4609.0,4660.0,4606.6,4632.0,4157,7462
2026-01-22,4653.2,4663.4,4610.6,4626.0,5084,8800
2026-01-23,4640.2,4648.6,4619.8,4647.0,6487,11330
2026-01-26,4680.0,4721.0,4652.4,4653.4,12162,17758
2026-01-27,4657.6,4684.8,4619.4,4653.4,8401,18844
2026-01-28,4670.0,4680.6,4653.0,4670.2,7072,21166
2026-01-29,4673.2,4733.6,4658.2,4727.0,8149,23277
2026-01-30,4706.0,4724.8,4587.0,4655.0,10684,26756
2026-02-02,4632.2,4664.8,4465.6,4491.8,12595,26611
2026-02-03,4556.6,4599.2,4500.4,4576.2,8112,28500
2026-02-04,4567.0,4615.0,4554.2,4611.0,7368,27954
2026-02-05,4588.0,4603.0,4543.2,4585.2,7389,29451
2026-02-06,4540.0,4602.6,4509.8,4559.8,7170,30103
2026-02-09,4610.0,4644.8,4598.4,4637.4,5251,30540
2026-02-10,4640.0,4650.0,4632.8,4636.8,2869,30687
2026-02-11,4638.4,4639.8,4621.0,4625.8,3322,31778
2026-02-12,4631.8,4637.8,4618.4,4628.6,2956,31895
2026-02-13,4605.0,4609.6,4528.2,4534.6,10218,33029
2026-02-24,4599.8,4612.0,4572.4,4583.8,6531,32592
2026-02-25,4600.0,4676.0,4597.2,4640.2,8414,35172
2026-02-26,4648.6,4649.0,4596.0,4614.8,8055,35552
2026-02-27,4602.0,4619.0,4586.0,4614.6,6967,36704
2026-03-02,4582.4,4612.0,4543.0,4601.0,11606,38870
2026-03-03,4615.0,4617.0,4522.4,4541.2,15057,40016
2026-03-04,4511.0,4521.4,4450.2,4475.4,13699,42655
2026-03-05,4510.4,4528.6,4473.2,4495.6,8852,41553
2026-03-06,4474.8,4531.0,4472.0,4512.2,8128,42017
2026-03-09,4455.4,4477.6,4367.4,4464.6,12496,44232
2026-03-10,4500.0,4539.6,4500.0,4533.0,9654,44361
2026-03-11,4539.2,4565.0,4531.6,4546.6,6823,44564
2026-03-12,4543.0,4544.0,4495.4,4520.0,8779,47033
2026-03-13,4510.0,4557.8,4495.0,4508.4,10821,49519
2026-03-16,4509.0,4519.4,4465.0,4510.0,13853,53746
2026-03-17,4520.0,4567.0,4476.0,4476.2,17405,58100
2026-03-18,4495.0,4497.8,4448.8,4486.2,13154,58819
2026-03-19,4450.0,4465.8,4395.0,4413.8,15708,63088
2026-03-20,4430.6,4465.6,4404.2,4406.6,15301,64704
2026-03-23,4350.8,4370.4,4220.2,4258.8,20558,66485
2026-03-24,4316.6,4316.6,4233.4,4305.2,12582,64444
2026-03-25,4338.0,4383.8,4334.0,4364.4,11708,65477
2026-03-26,4355.0,4375.6,4300.0,4309.8,9239,63855
2026-03-27,4280.0,4369.6,4275.0,4343.4,9717,64307
2026-03-30,4301.6,4332.2,4270.0,4330.2,9847,63429
2026-03-31,4338.0,4360.0,4288.2,4293.4,9724,64831
2026-04-01,4350.2,4374.0,4336.0,4364.8,10438,64207
2026-04-02,4342.0,4351.0,4282.2,4308.4,10337,65446
2026-04-03,4322.2,4329.6,4262.4,4279.8,8686,65058
2026-04-07,4285.0,4308.8,4265.8,4278.0,7662,65011
2026-04-08,4334.0,4457.6,4334.0,4457.0,16787,64825
2026-04-09,4423.2,4425.4,4402.6,4414.0,8669,63199
2026-04-10,4440.0,4508.0,4434.4,4480.2,12920,65776
2026-04-13,4465.8,4497.6,4461.0,4486.8,7645,63868
2026-04-14,4511.2,4557.0,4501.0,4556.4,11148,66565
2026-04-15,4585.0,4599.0,4538.2,4545.8,12735,67337
2026-04-16,4555.4,4605.0,4555.4,4598.0,12349,68607
2026-04-17,4589.8,4600.8,4570.0,4586.0,11793,69494
2026-04-20,4585.8,4636.8,4576.4,4620.2,14996,70598
2026-04-21,4614.0,4639.6,4584.6,4628.8,10286,68702
2026-04-22,4615.0,4667.0,4609.2,4666.0,11618,69626
2026-04-23,4675.0,4683.0,4608.6,4641.4,15688,68690
2026-04-24,4632.0,4652.6,4599.6,4635.0,12378,67881
2026-04-27,4637.2,4663.8,4631.4,4638.2,9538,67685
2026-04-28,4626.0,4647.6,4610.0,4625.4,10428,67872
2026-04-29,4617.8,4700.0,4611.0,4687.8,12728,68510
2026-04-30,4695.2,4697.6,4670.4,4689.4,11215,68646
2026-05-06,4740.6,4794.6,4725.0,4768.4,16566,70938
2026-05-07,4788.4,4793.8,4760.2,4787.0,11132,69847
2026-05-08,4769.6,4780.0,4740.6,4766.8,11792,70975
2026-05-11,4792.8,4860.0,4771.6,4840.8,18184,73502
2026-05-12,4866.0,4867.0,4822.0,4840.8,15114,73360
2026-05-13,4836.0,4905.0,4821.0,4898.0,18675,76221
2026-05-14,4918.0,4922.4,4807.0,4811.4,25153,78415
2026-05-15,4820.0,4825.0,4723.0,4753.6,30431,82132
2026-05-18,4734.0,4761.2,4692.2,4729.6,18284,79547
2026-05-19,4720.0,4744.0,4663.2,4741.8,20363,80651
2026-05-20,4723.0,4744.0,4695.0,4733.0,19698,79894
2026-05-21,4770.0,4822.2,4663.4,4667.6,30489,84625
2026-05-22,4704.0,4733.6,4678.2,4706.8,21239,81434
2026-05-25,4740.0,4776.2,4723.8,4765.2,21809,84117
2026-05-26,4752.0,4806.2,4745.8,4801.0,25423,85363
2026-05-27,4798.6,4832.0,4741.4,4761.0,28746,88498
2026-05-28,4756.8,4781.0,4700.2,4761.2,26213,87285
2026-05-29,4788.0,4805.0,4730.4,4749.0,31758,92380
2026-06-01,4769.4,4782.6,4704.2,4719.0,27877,92593
2026-06-02,4729.8,4808.8,4708.6,4785.2,31739,95793
2026-06-03,4785.2,4868.8,4781.0,4818.0,36007,96234
2026-06-04,4783.8,4815.0,4761.6,4775.4,25581,96008
2026-06-05,4763.6,4791.0,4667.0,4680.0,36617,103282
2026-06-08,4614.8,4652.0,4547.2,4588.8,39244,105592
2026-06-09,4610.0,4653.2,4572.2,4647.6,30301,104026
2026-06-10,4617.0,4638.4,4575.2,4618.4,28457,105683
2026-06-11,4615.0,4636.4,4558.0,4591.8,32792,108407
2026-06-12,4650.0,4690.0,4630.4,4671.8,38386,112317
2026-06-15,4718.8,4785.8,4710.0,4784.6,45110,118395
