date,open,high,low,close,volume,hold
2026-01-19,3070.0,3070.0,3040.0,3041.8,1482,1450
2026-01-20,3048.6,3056.8,3025.4,3040.8,1675,1671
2026-01-21,3041.6,3067.0,3032.4,3036.6,2791,3229
2026-01-22,3052.0,3056.0,3017.2,3025.8,2827,3679
2026-01-23,3031.4,3036.8,3005.0,3006.0,3725,5388
2026-01-26,3016.0,3070.8,3014.4,3029.4,4616,6130
2026-01-27,3032.0,3059.0,3019.0,3042.0,4315,7388
2026-01-28,3057.0,3057.0,3039.2,3046.0,3119,7615
2026-01-29,3050.6,3130.0,3041.0,3108.6,4899,9224
2026-01-30,3095.0,3123.0,3023.8,3053.2,4387,9143
2026-02-02,3040.0,3059.2,2942.6,2963.6,5931,10144
2026-02-03,3000.0,3004.2,2956.0,2999.8,4357,10211
2026-02-04,2998.0,3037.6,2995.4,3036.8,3162,10060
2026-02-05,3022.2,3035.8,2997.8,3028.0,3183,10078
2026-02-06,3000.8,3027.2,2978.0,3001.2,3786,10817
2026-02-09,3030.0,3051.2,3023.2,3048.2,1960,10234
2026-02-10,3054.6,3058.0,3048.4,3056.4,1572,10121
2026-02-11,3056.0,3059.4,3045.6,3053.4,1814,10048
2026-02-12,3056.2,3060.8,3048.0,3051.2,2678,10651
2026-02-13,3035.8,3041.6,2986.0,2986.0,4499,11733
2026-02-24,3017.0,3018.8,2998.0,3000.4,3430,11981
2026-02-25,3003.8,3049.0,3003.4,3019.2,4992,13972
2026-02-26,3026.0,3026.0,2985.4,2997.2,3626,13854
2026-02-27,2992.0,3012.0,2990.0,3005.0,4149,15530
2026-03-02,2997.2,3011.8,2968.4,3003.2,5279,15739
2026-03-03,3005.0,3011.0,2960.2,2972.8,7126,16433
2026-03-04,2950.0,2958.0,2907.4,2927.4,7303,17162
2026-03-05,2940.2,2949.6,2924.2,2937.2,5363,16326
2026-03-06,2930.2,2953.0,2921.6,2939.0,3957,16708
2026-03-09,2917.6,2921.2,2864.0,2912.6,5209,16903
2026-03-10,2921.2,2942.0,2921.0,2935.4,3144,16362
2026-03-11,2939.4,2945.4,2928.4,2938.2,2524,16683
2026-03-12,2934.2,2936.8,2904.0,2918.6,3605,17527
2026-03-13,2909.6,2929.0,2900.0,2906.6,3272,17229
2026-03-16,2905.4,2909.0,2877.2,2906.0,5129,18184
2026-03-17,2910.0,2950.4,2905.2,2905.2,6203,18496
2026-03-18,2913.2,2921.8,2887.2,2905.4,4295,18648
2026-03-19,2886.8,2887.2,2846.2,2857.4,5987,20271
2026-03-20,2860.0,2870.8,2831.2,2832.6,7007,21362
2026-03-23,2794.2,2813.6,2716.6,2741.2,10379,23534
2026-03-24,2761.0,2776.2,2738.6,2773.0,7640,23580
2026-03-25,2792.0,2811.0,2785.4,2793.2,6266,22680
2026-03-26,2788.8,2803.2,2758.2,2765.0,4936,23461
2026-03-27,2741.0,2792.0,2741.0,2773.8,5544,23158
2026-03-30,2750.6,2775.8,2738.6,2770.8,5721,23539
2026-03-31,2782.0,2800.8,2761.4,2764.2,5097,22942
2026-04-01,2793.0,2822.4,2793.0,2812.0,4783,23554
2026-04-02,2807.2,2807.2,2765.6,2781.6,5143,23534
2026-04-03,2786.0,2788.8,2754.6,2763.0,3792,23444
2026-04-07,2764.4,2777.0,2753.4,2755.2,3341,23981
2026-04-08,2796.2,2846.4,2795.2,2841.6,7868,25712
2026-04-09,2841.0,2841.0,2809.8,2817.0,4697,24891
2026-04-10,2832.0,2851.6,2824.8,2828.4,6505,26932
2026-04-13,2814.6,2834.2,2814.2,2825.0,4735,26396
2026-04-14,2843.2,2854.6,2827.6,2852.4,4338,27163
2026-04-15,2867.8,2884.8,2861.8,2863.2,4765,26514
2026-04-16,2869.0,2885.4,2867.2,2880.0,5192,26840
2026-04-17,2872.0,2872.0,2851.2,2853.0,6571,28754
2026-04-20,2859.8,2884.8,2853.6,2880.0,6560,29272
2026-04-21,2872.6,2884.4,2866.4,2880.4,5206,29615
2026-04-22,2877.8,2887.4,2869.4,2883.0,5487,30765
2026-04-23,2888.0,2888.8,2855.6,2876.0,7556,31538
2026-04-24,2871.0,2896.0,2858.4,2890.0,7343,30559
2026-04-27,2886.6,2903.6,2879.8,2883.6,5615,30791
2026-04-28,2879.0,2905.2,2878.0,2890.0,5060,30336
2026-04-29,2879.4,2916.6,2879.4,2906.4,5906,30688
2026-04-30,2902.0,2927.8,2902.0,2926.0,7362,31051
2026-05-06,2946.2,2985.2,2944.0,2968.8,7862,31120
2026-05-07,2977.0,2986.0,2966.4,2975.8,5845,30713
2026-05-08,2964.2,2968.0,2934.2,2946.0,6867,31719
2026-05-11,2959.2,2997.0,2948.0,2989.0,8973,32410
2026-05-12,2990.0,3003.8,2982.0,2994.4,6340,31772
2026-05-13,2984.0,3005.6,2972.2,2999.8,8028,33795
2026-05-14,3011.0,3011.0,2952.4,2955.0,10839,34070
2026-05-15,2951.2,2956.6,2897.8,2915.2,15082,38197
2026-05-18,2911.0,2915.0,2871.0,2890.8,9780,37242
2026-05-19,2888.8,2902.4,2868.8,2898.2,8958,38030
2026-05-20,2888.2,2908.4,2883.6,2898.2,8429,36499
2026-05-21,2913.2,2946.0,2863.0,2868.0,13573,38726
2026-05-22,2881.8,2884.0,2855.4,2862.4,9656,37686
2026-05-25,2878.4,2905.0,2870.8,2899.2,11334,38491
2026-05-26,2890.0,2912.8,2882.0,2909.0,12310,38420
2026-05-27,2909.0,2915.4,2852.4,2870.6,15143,41351
2026-05-28,2866.2,2869.0,2827.2,2845.6,14122,40574
2026-05-29,2857.6,2874.2,2841.4,2855.4,13922,42222
2026-06-01,2855.2,2865.0,2827.6,2834.2,12138,41783
2026-06-02,2838.2,2875.2,2832.8,2858.2,11803,42076
2026-06-03,2857.0,2879.2,2848.4,2862.2,12085,41744
2026-06-04,2850.0,2858.6,2822.6,2827.2,11350,41561
2026-06-05,2824.0,2847.2,2795.6,2798.0,15086,44456
2026-06-08,2775.8,2787.4,2747.0,2768.0,17192,45041
2026-06-09,2772.0,2777.0,2751.6,2772.2,12866,44460
2026-06-10,2762.2,2794.0,2762.2,2789.0,15507,45188
2026-06-11,2786.4,2796.6,2770.8,2790.6,13421,45122
2026-06-12,2801.2,2856.8,2798.4,2852.0,19626,47059
2026-06-15,2875.0,2913.4,2870.4,2900.6,24020,49809
2026-06-16,2897.2,2898.4,2867.0,2872.0,22676,55128
2026-06-17,2875.2,2895.8,2865.4,2894.4,21816,57268
2026-06-18,2888.0,2914.2,2882.8,2899.8,28121,64125
2026-06-22,2896.0,2982.2,2883.4,2978.0,49450,76460
2026-06-23,2970.0,2985.2,2873.2,2884.6,50120,76305
2026-06-24,2890.0,2905.8,2885.0,2896.2,33499,71544
