date,open,high,low,close,volume,hold
2026-01-19,7783.0,7890.8,7750.0,7843.0,11813,11376
2026-01-20,7864.8,7904.6,7701.0,7778.0,15115,15696
2026-01-21,7758.4,7900.0,7734.6,7890.0,9540,18658
2026-01-22,7920.0,7963.8,7879.2,7952.0,9605,20082
2026-01-23,7998.0,8220.0,7970.6,8219.0,15595,26555
2026-01-26,8265.0,8283.6,7953.0,7980.2,22189,32692
2026-01-27,7970.8,8077.4,7822.0,8058.8,17270,35985
2026-01-28,8080.0,8098.4,7986.0,8075.0,14356,38495
2026-01-29,8070.0,8186.6,7998.8,8048.0,19400,44584
2026-01-30,8023.6,8070.0,7764.0,7996.6,19670,47496
2026-02-02,7920.2,7978.6,7510.0,7548.6,26152,50536
2026-02-03,7690.0,7906.8,7655.6,7885.8,20281,51362
2026-02-04,7866.0,7899.0,7744.0,7888.6,16012,53144
2026-02-05,7840.0,7840.0,7657.8,7720.0,16324,54442
2026-02-06,7650.0,7827.6,7540.2,7655.6,17497,56496
2026-02-09,7785.0,7895.2,7785.0,7890.2,13607,57020
2026-02-10,7902.2,7911.0,7840.4,7886.0,8096,57576
2026-02-11,7890.0,7959.6,7881.8,7919.0,9747,58865
2026-02-12,7933.2,8020.0,7888.0,8004.2,11333,60851
2026-02-13,7961.0,7976.4,7831.0,7852.0,15133,63084
2026-02-24,7920.0,8025.0,7897.6,7930.4,14139,63573
2026-02-25,7957.0,8099.0,7957.0,8068.4,14825,64957
2026-02-26,8090.0,8100.0,8028.6,8073.8,13532,64725
2026-02-27,8039.0,8137.0,8028.0,8129.4,14155,66848
2026-03-02,8045.0,8120.0,7957.0,8029.0,21847,70699
2026-03-03,8055.0,8075.0,7736.8,7766.8,29646,74477
2026-03-04,7690.2,7847.4,7665.2,7685.6,22630,74389
2026-03-05,7752.0,7825.0,7666.8,7733.2,20576,74304
2026-03-06,7700.0,7830.0,7690.0,7802.0,16168,73810
2026-03-09,7693.6,7787.8,7440.0,7765.0,24377,76825
2026-03-10,7820.0,7911.6,7815.4,7905.6,19827,76564
2026-03-11,7915.0,7957.8,7878.8,7886.2,15285,76690
2026-03-12,7877.0,7905.8,7774.6,7839.2,18452,80185
2026-03-13,7819.8,7889.0,7732.8,7746.0,18864,80754
2026-03-16,7750.0,7764.8,7608.8,7742.8,22696,83770
2026-03-17,7763.0,7780.0,7547.8,7564.2,25331,86544
2026-03-18,7595.0,7653.6,7527.2,7622.6,24556,88568
2026-03-19,7550.0,7567.8,7388.6,7449.0,31114,92017
2026-03-20,7479.0,7550.0,7343.6,7344.0,30166,94812
2026-03-23,7253.8,7305.0,6910.0,6970.0,42044,98423
2026-03-24,7065.0,7185.0,6945.4,7173.6,34578,96781
2026-03-25,7250.0,7371.0,7235.0,7253.0,26625,95343
2026-03-26,7250.0,7313.0,7142.2,7152.6,23920,96361
2026-03-27,7090.0,7340.0,7080.0,7301.2,26042,97433
2026-03-30,7217.8,7306.0,7109.0,7282.6,29413,98948
2026-03-31,7288.8,7337.0,7145.6,7160.0,29335,100778
2026-04-01,7280.0,7343.8,7237.4,7302.0,27891,100272
2026-04-02,7277.0,7289.0,7095.6,7154.4,26693,101892
2026-04-03,7178.2,7195.0,7065.6,7091.2,23076,102550
2026-04-07,7130.0,7216.0,7113.0,7156.0,20031,100685
2026-04-08,7320.0,7565.0,7320.0,7565.0,30668,102811
2026-04-09,7491.0,7534.6,7456.8,7491.0,22442,100965
2026-04-10,7550.0,7647.6,7544.8,7566.2,24566,103640
2026-04-13,7545.0,7606.0,7530.4,7572.6,17593,102006
2026-04-14,7650.0,7692.0,7600.0,7688.6,22570,104787
2026-04-15,7729.6,7756.2,7676.4,7687.0,23653,103205
2026-04-16,7710.0,7848.0,7706.6,7828.4,27443,106588
2026-04-17,7817.2,7941.0,7796.0,7907.0,28076,107689
2026-04-20,7924.0,8007.0,7881.0,7941.4,29621,108816
2026-04-21,7933.2,7967.6,7883.2,7950.0,23994,106406
2026-04-22,7925.6,8104.4,7924.4,8099.0,27275,106860
2026-04-23,8112.0,8117.0,7932.0,8001.2,36155,108505
2026-04-24,7980.2,8019.0,7904.2,7957.8,31375,106287
2026-04-27,7965.6,8028.0,7925.2,7988.0,24531,105369
2026-04-28,7977.2,7989.8,7856.0,7902.6,28722,106317
2026-04-29,7894.0,8072.0,7872.0,8048.6,30977,106456
2026-04-30,8060.0,8097.0,8018.0,8078.6,25189,105777
2026-05-06,8171.8,8358.8,8171.8,8268.2,34083,109249
2026-05-07,8310.0,8443.0,8300.0,8429.0,27524,107954
2026-05-08,8391.6,8465.6,8373.0,8440.2,25877,109185
2026-05-11,8505.0,8583.0,8457.0,8514.6,37289,114718
2026-05-12,8540.0,8540.0,8436.2,8492.0,29017,111744
2026-05-13,8460.4,8670.8,8458.6,8664.6,36128,117252
2026-05-14,8701.2,8703.6,8480.4,8485.2,49587,121613
2026-05-15,8516.8,8559.0,8303.8,8379.8,68146,131015
2026-05-18,8359.2,8488.8,8329.0,8420.2,46047,125055
2026-05-19,8392.4,8503.0,8301.2,8499.6,50811,129968
2026-05-20,8471.8,8489.4,8366.0,8484.0,45145,125437
2026-05-21,8524.2,8580.4,8220.0,8233.0,72512,138043
2026-05-22,8295.0,8428.8,8247.4,8370.4,53728,129833
2026-05-25,8418.2,8459.4,8354.6,8434.6,48454,131803
2026-05-26,8409.4,8417.6,8236.2,8363.8,58145,134192
2026-05-27,8360.0,8433.6,8152.2,8209.4,58246,137167
2026-05-28,8205.0,8328.8,8131.6,8287.4,54627,135095
2026-05-29,8330.0,8349.0,8059.6,8113.0,63764,139641
2026-06-01,8134.6,8215.0,8070.0,8081.8,58978,141306
2026-06-02,8101.0,8176.0,7979.8,8106.4,62980,144585
2026-06-03,8126.0,8263.6,8075.0,8139.4,61731,141961
2026-06-04,8090.0,8169.0,8080.4,8124.8,47359,141194
2026-06-05,8090.0,8207.8,8012.4,8055.6,69348,149159
2026-06-08,7891.8,7995.0,7740.0,7843.2,82795,154115
2026-06-09,7900.0,8010.8,7836.4,7993.0,66881,150868
2026-06-10,7951.8,7967.0,7811.4,7917.0,67079,156017
2026-06-11,7908.8,7948.8,7813.0,7886.6,66805,157295
2026-06-12,8000.0,8077.0,7932.0,7958.6,80183,163108
2026-06-15,8050.0,8245.6,8049.6,8244.6,85423,167732
