date,open,high,low,close,volume,hold
2025-12-15,107.905,107.93,107.69,107.745,698,178
2025-12-16,107.755,107.855,107.755,107.8,401,235
2025-12-17,107.85,107.885,107.805,107.87,350,417
2025-12-18,107.87,107.94,107.85,107.865,129,471
2025-12-19,107.95,108.0,107.91,108.0,281,603
2025-12-22,107.975,108.02,107.805,107.87,383,779
2025-12-23,107.88,108.09,107.88,108.075,582,940
2025-12-24,108.025,108.095,108.025,108.085,256,1091
2025-12-25,108.07,108.09,108.035,108.04,123,1119
2025-12-26,108.06,108.17,108.06,108.13,221,1196
2025-12-29,108.06,108.06,107.81,107.85,211,1229
2025-12-30,107.82,107.88,107.8,107.825,570,1161
2025-12-31,107.965,107.965,107.65,107.74,548,1317
2026-01-05,107.795,107.815,107.73,107.765,683,1263
2026-01-06,107.725,107.725,107.575,107.605,604,1319
2026-01-07,107.53,107.675,107.425,107.57,1351,1650
2026-01-08,107.61,107.675,107.58,107.665,862,1973
2026-01-09,107.63,107.71,107.63,107.675,635,2069
2026-01-12,107.7,107.785,107.695,107.745,915,2597
2026-01-13,107.78,107.8,107.73,107.765,241,2680
2026-01-14,107.765,107.915,107.73,107.9,1132,3319
2026-01-15,107.925,108.06,107.92,107.995,398,3465
2026-01-16,107.925,108.1,107.885,108.01,220,3458
2026-01-19,108.085,108.13,107.98,108.01,436,3644
2026-01-20,108.02,108.135,108.0,108.135,62,3649
2026-01-21,108.09,108.195,108.075,108.18,743,4042
2026-01-22,108.16,108.175,108.13,108.13,215,4059
2026-01-23,108.17,108.215,108.145,108.165,190,4084
2026-01-26,108.185,108.2,108.12,108.185,701,4526
2026-01-27,108.17,108.19,108.105,108.155,238,4568
2026-01-28,108.14,108.21,108.12,108.2,1283,5450
2026-01-29,108.22,108.33,108.22,108.245,141,5491
2026-01-30,108.23,108.335,108.23,108.27,735,5546
2026-02-02,108.285,108.345,108.17,108.185,381,5618
2026-02-03,108.185,108.255,108.14,108.245,132,5611
2026-02-04,108.21,108.26,108.175,108.21,587,5917
2026-02-05,108.2,108.315,108.2,108.295,1199,6015
2026-02-06,108.315,108.41,108.31,108.405,1369,6411
2026-02-09,108.41,108.49,108.385,108.455,555,6605
2026-02-10,108.45,108.46,108.395,108.45,1181,6743
2026-02-11,108.49,108.555,108.46,108.5,1767,7271
2026-02-12,108.51,108.6,108.5,108.545,415,7383
2026-02-13,108.5,108.595,108.42,108.54,1577,7646
2026-02-24,108.52,108.65,108.505,108.605,1573,8078
2026-02-25,108.645,108.67,108.46,108.49,3529,9289
2026-02-26,108.485,108.485,108.3,108.37,2411,9799
2026-02-27,108.375,108.4,108.315,108.39,2460,10273
2026-03-02,108.44,108.545,108.42,108.525,3182,10928
2026-03-03,108.525,108.525,108.465,108.515,2226,11419
2026-03-04,108.505,108.59,108.485,108.545,2455,11964
2026-03-05,108.545,108.585,108.505,108.54,1646,12238
2026-03-06,108.565,108.585,108.495,108.53,2388,12763
2026-03-09,108.47,108.47,108.265,108.3,5657,13453
2026-03-10,108.345,108.38,108.22,108.285,2900,13746
2026-03-11,108.24,108.27,108.22,108.25,2155,14362
2026-03-12,108.24,108.305,108.2,108.295,2870,14274
2026-03-13,108.285,108.285,108.2,108.2,2106,14594
2026-03-16,108.1849847349431,108.25005088352299,108.10990840965862,108.19999999999999,243,73
2026-03-17,108.26006106022759,108.26006106022759,108.1599592931816,108.18998982329539,588,197
2026-03-18,108.21001017670459,108.28008141363678,108.19499491164768,108.27007123693217,112,244
2026-03-19,108.19499491164768,108.37517809233046,108.19499491164768,108.35015265056896,245,386
2026-03-20,108.27507632528449,108.29509667869368,108.26006106022759,108.27507632528449,121,407
2026-03-23,108.25505597187528,108.28008141363678,108.1299287630678,108.18998982329539,544,455
2026-03-24,108.1849847349431,108.21501526505689,108.149949116477,108.1849847349431,12,460
2026-03-25,108.19499491164768,108.2300305301138,108.18998982329539,108.18998982329539,19,460
2026-03-26,108.18998982329539,108.28508650198907,108.18998982329539,108.25505597187528,250,421
2026-03-27,108.27007123693217,108.28508650198907,108.23503561846609,108.27507632528449,76,457
2026-03-30,108.28508650198907,108.37517809233046,108.28508650198907,108.37517809233046,57,465
2026-03-31,108.33013229715976,108.45525950596723,108.33013229715976,108.37517809233046,419,594
