date,open,high,low,close,volume,hold
2025-12-15,105.71,105.78,105.64,105.665,706,319
2025-12-16,105.7,105.705,105.645,105.66,627,704
2025-12-17,105.67,105.7,105.66,105.685,565,1086
2025-12-18,105.67,105.735,105.665,105.705,233,1120
2025-12-19,105.75,105.82,105.745,105.82,80,1176
2025-12-22,105.815,105.83,105.71,105.715,140,1200
2025-12-23,105.755,105.915,105.755,105.91,143,1283
2025-12-24,105.845,105.89,105.835,105.865,672,1483
2025-12-25,105.86,105.89,105.845,105.85,163,1494
2025-12-26,105.885,105.92,105.85,105.885,319,1621
2025-12-29,105.805,105.805,105.645,105.675,211,1734
2025-12-30,105.67,105.685,105.645,105.655,70,1731
2025-12-31,105.655,105.655,105.52,105.615,72,1757
2026-01-05,105.605,105.63,105.54,105.58,227,1860
2026-01-06,105.48,105.505,105.43,105.46,305,2018
2026-01-07,105.4,105.47,105.385,105.395,269,2165
2026-01-08,105.445,105.485,105.395,105.48,283,2247
2026-01-09,105.445,105.475,105.425,105.43,205,2292
2026-01-12,105.48,105.535,105.465,105.515,287,2252
2026-01-13,105.515,105.515,105.47,105.495,793,2612
2026-01-14,105.45,105.545,105.45,105.535,166,2626
2026-01-15,105.555,105.66,105.525,105.62,257,2675
2026-01-16,105.58,105.705,105.58,105.695,160,2724
2026-01-19,105.73,105.73,105.65,105.665,128,2751
2026-01-20,105.665,105.735,105.66,105.725,203,2877
2026-01-21,105.725,105.725,105.67,105.695,884,3441
2026-01-22,105.66,105.705,105.65,105.655,636,3726
2026-01-23,105.7,105.735,105.665,105.73,852,4069
2026-01-26,105.715,105.72,105.665,105.68,256,4218
2026-01-27,105.72,105.73,105.65,105.68,274,4244
2026-01-28,105.67,105.72,105.66,105.705,908,4762
2026-01-29,105.72,105.8,105.705,105.715,391,4850
2026-01-30,105.71,105.755,105.7,105.725,163,4886
2026-02-02,105.715,105.73,105.665,105.685,494,4828
2026-02-03,105.68,105.75,105.67,105.745,341,4917
2026-02-04,105.69,105.76,105.68,105.705,1251,5645
2026-02-05,105.72,105.77,105.675,105.745,266,5738
2026-02-06,105.765,105.82,105.73,105.82,290,5741
2026-02-09,105.805,105.885,105.8,105.88,294,5872
2026-02-10,105.855,105.89,105.845,105.885,1311,6796
2026-02-11,105.885,105.955,105.885,105.905,1237,7464
