code,day,open,high,low,close,volume,amount
300750,2026-09-11 09:31:00,333.06,335.66,331.5,334.75,1655836,551384243.174
300750,2026-09-11 09:32:00,335.01,335.01,332.06,333.11,401701,133829548.8864
300750,2026-09-11 09:33:00,333.36,333.36,331.3,332.31,482100,160018319.9805
300750,2026-09-11 09:34:00,332.39,332.99,332.0,332.8,175700,58443973.0313
300750,2026-09-11 09:35:00,332.88,333.24,332.33,332.47,238100,79265753.2891
300750,2026-09-11 09:36:00,332.47,333.2,331.35,332.22,395301,131229993.6059
300750,2026-09-11 09:37:00,332.22,332.41,331.45,332.21,313100,103922103.8984
300750,2026-09-11 09:38:00,332.16,333.9,332.1,333.2,204800,68153239.0703
300750,2026-09-11 09:39:00,333.19,333.37,332.71,332.73,183500,61115335.9922
300750,2026-09-11 09:40:00,332.71,332.77,332.23,332.27,112300,37343993.1328
300750,2026-09-11 09:41:00,332.38,332.6,331.8,331.86,156200,51868885.8516
300750,2026-09-11 09:42:00,331.88,332.0,331.0,331.06,309199,102518622.4727
300750,2026-09-11 09:43:00,331.0,331.23,330.55,330.61,289500,95794127.9063
300750,2026-09-11 09:44:00,330.62,330.99,330.51,330.76,204100,67490227.8518
300750,2026-09-11 09:45:00,330.8,330.92,330.2,330.52,267200,88293791.4922
300750,2026-09-11 09:46:00,330.53,331.0,330.06,331.0,198600,65603016.8984
300750,2026-09-11 09:47:00,330.91,331.25,330.72,330.76,135950,45005380.0156
300750,2026-09-11 09:48:00,330.74,331.3,330.5,330.67,302400,100063205.0234
300750,2026-09-11 09:49:00,330.62,330.78,330.01,330.08,253100,83625814.9375
300750,2026-09-11 09:50:00,330.08,330.24,329.52,329.52,499400,164811315.0078
300750,2026-09-11 09:51:00,329.51,329.96,329.3,329.93,351060,115679762.8594
300750,2026-09-11 09:52:00,329.92,330.45,329.83,330.16,167500,55280978.0313
300750,2026-09-11 09:53:00,330.16,331.22,330.1,331.22,173383,57344604.4922
300750,2026-09-11 09:54:00,330.92,331.46,330.83,331.01,114900,38030786.9453
300750,2026-09-11 09:55:00,331.02,331.3,330.63,330.82,145500,48153622.7734
300750,2026-09-11 09:56:00,330.69,330.9,330.64,330.65,76600,25333542.0234
300750,2026-09-11 09:57:00,330.66,331.21,330.64,330.97,84800,28056715.0156
300750,2026-09-11 09:58:00,330.97,331.25,330.94,330.99,96800,32045906.9453
300750,2026-09-11 09:59:00,330.99,331.21,330.6,330.6,111100,36755811.9531
300750,2026-09-11 10:00:00,330.65,330.84,330.58,330.68,82000,27115040.0859
300750,2026-09-11 10:01:00,330.67,331.11,330.41,331.01,139500,46139363.9844
300750,2026-09-11 10:02:00,331.02,331.06,330.79,330.87,56500,18694964.9297
300750,2026-09-11 10:03:00,330.87,331.4,330.82,330.83,131300,43466041.8984
300750,2026-09-11 10:04:00,330.82,331.06,330.64,330.78,123200,40756891.9922
300750,2026-09-11 10:05:00,330.78,330.79,330.5,330.51,76600,25328712.9688
300750,2026-09-11 10:06:00,330.5,330.54,330.08,330.09,72200,23850210.9609
300750,2026-09-11 10:07:00,330.09,330.09,329.44,329.44,264000,87075694.9844
300750,2026-09-11 10:08:00,329.44,329.6,329.3,329.41,261600,86169487.9141
300750,2026-09-11 10:09:00,329.42,330.01,329.39,329.84,202100,66592907.5234
300750,2026-09-11 10:10:00,329.9,330.19,329.7,329.95,93300,30786820.0703
300750,2026-09-11 10:11:00,329.97,330.11,329.94,330.0,58744,19384971.0
300750,2026-09-11 10:12:00,330.01,330.01,329.14,329.17,198000,65222291.9961
300750,2026-09-11 10:13:00,329.17,329.27,329.11,329.13,127500,41968650.4492
300750,2026-09-11 10:14:00,329.15,329.18,328.52,328.54,340800,112102184.4609
300750,2026-09-11 10:15:00,328.54,328.95,328.51,328.73,211461,69499985.2236
300750,2026-09-11 10:16:00,328.94,329.07,328.7,328.77,167800,55182570.1016
300750,2026-09-11 10:17:00,328.77,328.77,328.33,328.59,183800,60375698.8047
300750,2026-09-11 10:18:00,328.48,328.6,328.31,328.33,138000,45322194.8711
300750,2026-09-11 10:19:00,328.44,328.56,328.3,328.54,112200,36849654.0391
300750,2026-09-11 10:20:00,328.56,329.11,328.5,329.1,139200,45759535.9531
300750,2026-09-11 10:21:00,329.1,329.88,328.93,329.5,124900,41151108.9297
300750,2026-09-11 10:22:00,329.5,329.7,329.38,329.5,100700,33186680.0391
300750,2026-09-11 10:23:00,329.48,330.11,329.4,330.0,103700,34205121.0469
300750,2026-09-11 10:24:00,330.06,330.09,329.62,329.73,91955,30335431.3359
300750,2026-09-11 10:25:00,329.73,329.82,329.39,329.63,97900,32267431.0234
300750,2026-09-11 10:26:00,329.63,329.93,329.33,329.7,174900,57644733.2109
300750,2026-09-11 10:27:00,329.71,330.11,329.52,329.92,156600,51658531.1406
300750,2026-09-11 10:28:00,329.9,329.96,329.51,329.62,56000,18466577.0156
300750,2026-09-11 10:29:00,329.58,329.62,329.45,329.5,59400,19573666.9766
300750,2026-09-11 10:30:00,329.5,329.94,329.43,329.74,99100,32670967.9844
300750,2026-09-11 10:31:00,329.66,329.98,329.38,329.52,118400,39037226.9375
300750,2026-09-11 10:32:00,329.52,329.9,329.38,329.8,69700,22979172.9844
300750,2026-09-11 10:33:00,329.76,330.5,329.76,329.9,147107,48545716.7185
300750,2026-09-11 10:34:00,330.0,330.07,329.52,329.57,102900,33937339.9297
300750,2026-09-11 10:35:00,329.57,329.61,329.38,329.38,65800,21681615.0313
300750,2026-09-11 10:36:00,329.4,329.61,329.1,329.12,84080,27691368.8057
300750,2026-09-11 10:37:00,329.12,329.6,329.01,329.43,72400,23836060.9609
300750,2026-09-11 10:38:00,329.32,329.64,329.3,329.52,46600,15353647.0
300750,2026-09-11 10:39:00,329.52,330.0,329.42,329.51,91200,30065574.9922
300750,2026-09-11 10:40:00,329.51,329.6,329.31,329.52,50200,16539057.9375
300750,2026-09-11 10:41:00,329.42,329.52,329.15,329.25,59200,19492786.8984
300750,2026-09-11 10:42:00,329.16,329.25,328.6,328.69,149780,49270170.3809
300750,2026-09-11 10:43:00,328.68,328.92,328.59,328.73,99000,32545702.9922
300750,2026-09-11 10:44:00,328.72,328.93,328.59,328.74,92915,30537830.9995
300750,2026-09-11 10:45:00,328.78,328.96,328.61,328.76,89700,29492330.9375
300750,2026-09-11 10:46:00,328.79,329.32,328.7,329.19,86200,28361712.0938
300750,2026-09-11 10:47:00,329.24,329.64,329.18,329.59,61100,20132505.0
300750,2026-09-11 10:48:00,329.59,329.59,329.27,329.34,43200,14229994.0
300750,2026-09-11 10:49:00,329.34,329.83,329.28,329.72,89100,29365524.0078
300750,2026-09-11 10:50:00,329.74,329.99,329.5,329.55,59000,19454335.9922
300750,2026-09-11 10:51:00,329.55,329.56,329.3,329.48,38800,12782032.0
300750,2026-09-11 10:52:00,329.48,329.63,329.44,329.58,47087,15515007.5913
300750,2026-09-11 10:53:00,329.62,329.64,329.08,329.17,42000,13834427.9922
300750,2026-09-11 10:54:00,329.1,329.65,329.08,329.53,44600,14684590.0391
300750,2026-09-11 10:55:00,329.52,329.63,329.15,329.15,38000,12517000.0156
300750,2026-09-11 10:56:00,329.2,329.66,329.11,329.64,135400,44586476.0156
300750,2026-09-11 10:57:00,329.29,329.55,329.11,329.41,84700,27889589.344
300750,2026-09-11 10:58:00,329.26,329.92,329.26,329.92,85400,28156852.0156
300750,2026-09-11 10:59:00,329.8,330.5,329.8,330.32,139020,45906176.4873
300750,2026-09-11 11:00:00,330.29,330.52,330.07,330.25,86600,28610743.5146
300750,2026-09-11 11:01:00,330.26,330.65,330.02,330.11,93300,30820670.9443
300750,2026-09-11 11:02:00,330.14,330.7,330.1,330.37,88500,29233125.0781
300750,2026-09-11 11:03:00,330.44,330.6,330.31,330.53,63300,20919546.9844
300750,2026-09-11 11:04:00,330.44,330.44,330.0,330.2,66400,21920592.0
300750,2026-09-11 11:05:00,330.25,330.57,330.02,330.02,60100,19855624.9922
300750,2026-09-11 11:06:00,330.24,330.5,330.03,330.1,37000,12217925.0156
300750,2026-09-11 11:07:00,330.1,330.18,329.62,329.69,89500,29524288.0
300750,2026-09-11 11:08:00,329.71,329.85,329.62,329.82,33000,10880100.0078
300750,2026-09-11 11:09:00,329.81,329.99,329.77,329.9,51800,17087639.9922
300750,2026-09-11 11:10:00,329.83,330.15,329.7,329.78,61200,20191914.0469
300750,2026-09-11 11:11:00,329.78,330.38,329.71,330.0,93800,30954076.5801
300750,2026-09-11 11:12:00,330.03,330.12,329.75,329.99,85600,28242260.875
