股票代码,股票简称,净利润-净利润,净利润-同比增长,所处行业,最新公告日期
002216,三全食品,364790226.42,16.48,食品加工,2026-09-19
874885,鑫巨宏,272919771.26,365.55,,2026-09-18
874812,铁近科技,59948320.37,102.37,,2026-09-18
874673,金龙稀土,181854680.57,53.39,,2026-09-18
874496,贝昂智能,45721980.89,34.02,,2026-09-18
874332,文峰光电,54929243.17,12.97,,2026-09-18
300713,英可瑞,-41121390.67,-59.33,其他电源设备Ⅱ,2026-09-18
300549,优德精密,3355893.67,-27.3,专用设备,2026-09-18
002651,利君股份,31420112.0,-45.07,航空装备Ⅱ,2026-09-18
874776,兴盛迪,27085504.03,19.53,,2026-09-17
874717,鹰峰电子,32093935.63,1.21,,2026-09-17
874601,浙江亿得,131458798.61,80.65,,2026-09-17
603218,日月股份,162190386.39,-42.79,风电设备,2026-09-17
301569,联亚药业,141027688.95,36.8,,2026-09-17
874874,安保医疗,18925281.53,-3.8,,2026-09-16
874720,祥晋股份,37831956.79,8.05,,2026-09-16
430116,中矿华沃,4669552.9,-22.26,,2026-09-16
874729,深达威,38603453.0,5.42,,2026-09-15
874659,深鹏科技,17459587.94,4.18,,2026-09-15
872656,上易机械,949327.77,-60.27,,2026-09-15
835913,虎符科技,-1286241.33,-1462.1,,2026-09-15
301660,粤芯半导体,-1051889803.93,12.41,半导体,2026-09-15
002531,天顺风能,116027178.49,115.57,风电设备,2026-09-15
874870,武晓集团,116599371.96,94.88,,2026-09-14
874848,新派能源,61057735.31,-25.67,,2026-09-14
874847,美昱新材,47164019.9,40.97,,2026-09-14
874792,八环科技,56424929.98,8.6,,2026-09-14
874591,日信高科,47245814.45,67.65,,2026-09-14
873057,黄山振州,2830816.41,34.98,,2026-09-14
430555,英派瑞,35395832.98,4.61,,2026-09-14
002195,岩山科技,59506897.32,-11.33,IT服务Ⅱ,2026-09-12
000932,华菱钢铁,225323919.94,-87.11,普钢,2026-09-12
875078,聚能磁体,36699375.59,19.8,,2026-09-11
874860,帅特龙,55151427.38,3.0,,2026-09-11
874593,安特磁材,44162094.28,9.47,,2026-09-11
874387,百英生物,184390286.66,122.15,,2026-09-11
874379,舒友仪器,31270193.84,-2.85,,2026-09-11
874296,同晟股份,21971517.97,-17.16,,2026-09-11
001246,力勤资源,2738993442.77,91.87,能源金属,2026-09-10
874679,正大种业,12718345.23,6.51,,2026-09-09
874382,九目化学,82105791.76,-10.115827642,,2026-09-09
873464,皇裕精密,30235081.59,-15.44,,2026-09-09
873194,伯达装备,4262785.63,-53.19,,2026-09-09
834650,之维安,-581349.41,42.65,,2026-09-09
874959,英谷激光,51719947.4,264.62,,2026-09-08
874784,森泰英格,24194895.68,-12.3,,2026-09-08
874712,浙阿波罗,27039910.61,14.12,,2026-09-08
874484,中裕铁信,69097523.93,39.86,,2026-09-08
839211,海高通信,-2533595.81,-50.19,,2026-09-08
833979,天图投资,72235112.3,-4.96,,2026-09-08
301716,鸿富诚,176068923.12,94.6,非金属材料Ⅱ,2026-09-08
920157,宇特光电,36895653.22,-1.21,,2026-09-07
874786,嘉泰激光,54136002.4,36.22,,2026-09-07
874571,宇特光电,36895653.22,-1.21,,2026-09-07
870426,普英特,3806955.96,-35.42,,2026-09-07
603976,正川股份,12286599.84,-12.79,医疗器械,2026-09-05
875117,北变科技,36645903.53,83.82,,2026-09-04
875058,博涛智能,85286546.48,1.04,,2026-09-04
874800,玄机科技,76646634.46,20.99,,2026-09-04
874579,康华股份,51705145.52,11.88,,2026-09-04
874111,兢强科技,52623904.85,31.85,,2026-09-04
832010,亘古电缆,58370481.21,12.44,,2026-09-04
875019,一诺生物,112741600.22,35.84,,2026-09-02
301686,中塑股份,60635172.96,2.54,塑料,2026-09-02
002762,金发拉比,849879.56,104.74,服装家纺,2026-09-02
601091,沈鼓集团,279531581.15,-2.28,通用设备,2026-09-01
430318,四维文化,8666473.42,-78.39,,2026-09-01
002366,融发核电,-22640687.66,26.26,其他电源设备Ⅱ,2026-09-01
900922,三毛B股,12877642.71,13.55,综合Ⅱ,2026-08-31
900916,凤凰B股,35748675.23,-25.32,摩托车及其他,2026-08-31
900910,海立B股,163666630.61,390.69,家电零部件Ⅱ,2026-08-31
875208,燎原装备,57675005.82,1.33,,2026-08-31
875157,博益鑫成,50317913.76,148.18,,2026-08-31
875015,同心智医,6663983.36,46.23,,2026-08-31
875010,回水科技,-522771.18,-194.57,,2026-08-31
875000,江苏永成,62662832.86,26.79,,2026-08-31
874992,维衡股份,55859532.78,3.34,,2026-08-31
874967,东晓生物,129124850.13,-51.76,,2026-08-31
874939,创石钼业,63694161.16,134.21,,2026-08-31
874884,龙行天下,170151992.99,41.91,,2026-08-31
874813,擎科生物,39018826.91,42.04,,2026-08-31
874596,牛牌机电,63995497.03,-11.34,,2026-08-31
874321,力克川,33049916.43,21.0,,2026-08-31
874241,隆玛科技,3218817.94,-81.45,,2026-08-31
874003,瑞能集团,-78151.81,-101.07,,2026-08-31
873936,金龙电机,2466555.01,-85.91,,2026-08-31
873841,ST祥盛,-89613067.4,-73.1,,2026-08-31
873688,宇星股份,22469618.45,0.76,,2026-08-31
873511,ST金时为,-5899494.11,-169.0451275391,,2026-08-31
873486,三匹马,-933769.17,-661.0773667451,,2026-08-31
873236,领航股份,-1663393.01,-233.66,,2026-08-31
872839,锦星股份,-320604.26,51.53,,2026-08-31
872567,快玻科技,-920792.19,-202.0884516349,,2026-08-31
872496,四川赛狄,-24798831.74,-1302.33,,2026-08-31
872380,ST金鑫能,-2473346.5,-151.03,,2026-08-31
872324,ST西信,604490.72,158.67,,2026-08-31
872286,上元智能,-6575831.39,-554.31,,2026-08-31
872145,东日环保,-6759906.76,423.72,,2026-08-31
872085,群星明,7972982.31,1044.88,,2026-08-31
872077,恒泰铭业,-214477.93,56.56,,2026-08-31
871986,润生股份,-623054.3,-279.40220436,,2026-08-31
871880,招华智能,-2865458.38,-55.28,,2026-08-31
871870,天诚股份,17060814.41,-25.49,,2026-08-31
871806,成才教育,-126035.89,73.6,,2026-08-31
871748,新课堂,-3444973.8,72.08,,2026-08-31
871548,佰裕科技,3459880.1,1054.23,,2026-08-31
871482,ST南锅,-41516.17,-112.56,,2026-08-31
870818,ST莱斯达,-3910602.56,-104.48,,2026-08-31
870788,润雅科技,-468221.27,-195.36,,2026-08-31
870438,博融智库,-451182.11,-168.2517684293,,2026-08-31
870092,派沃股份,15506547.25,295.21,,2026-08-31
839825,讯网网络,-2407352.45,12.49,,2026-08-31
839646,恒诺生物,2141639.5,1277.52,,2026-08-31
839278,清大紫育,454832.79,469.87,,2026-08-31
838951,超然科技,936693.4,2159.4,,2026-08-31
837718,中泓在线,428858.31,-71.41,,2026-08-31
837595,ST坦程,-14101786.28,30.32,,2026-08-31
836667,ST乐智,-723421.42,-1561.08,,2026-08-31
836460,风云科技,-15668103.42,-1164.7,,2026-08-31
836033,元潮科技,-59582.35,0.3135365298,,2026-08-31
835889,ST开合,-2260096.66,-280.85,,2026-08-31
835462,苏恒牛帆,-118259.61,-104.74,,2026-08-31
833881,一森股份,-1307055.17,-79.39,,2026-08-31
832646,讯众股份,13265968.57,-48.22,,2026-08-31
832390,金海股份,-139149407.68,-2828.31,,2026-08-31
832251,众深股份,3393762.14,202.59,,2026-08-31
832207,永拓咨询,-23336230.1,-712.3179867049,,2026-08-31
831854,曼克斯,1670710.42,44.35,,2026-08-31
831633,那然生命,-16031901.02,-145.54,,2026-08-31
831477,菲达阀门,-139019.94,-135.4350048907,,2026-08-31
688809,强一股份,222408112.17,61.3,半导体,2026-08-31
688802,沐曦股份,612449523.3,429.4629301253,半导体,2026-08-31
688785,恒运昌,52350514.07,-24.51,其他电源设备Ⅱ,2026-08-31
688750,金天钛业,32817625.95,-19.04,小金属,2026-08-31
688605,先锋精科,55037908.35,-48.17,半导体,2026-08-31
688588,凌志软件,-24456984.91,-121.84,软件开发,2026-08-31
688584,上海合晶,26736576.51,-55.22,半导体,2026-08-31
688570,天玛智控,6661040.83,-90.42,自动化设备,2026-08-31
688559,海目星,51914998.3,107.3283714825,自动化设备,2026-08-31
688548,广钢气体,255888242.76,117.73,电子化学品Ⅱ,2026-08-31
688512,慧智微,-136686483.49,-109.3901064596,半导体,2026-08-31
688496,*ST清越,-229068438.53,-644.5770405304,光学光电子,2026-08-31
688485,九州一轨,-18439618.13,-764.4363065217,轨交设备Ⅱ,2026-08-31
688458,美芯晟,-5134320.71,-202.55,半导体,2026-08-31
688456,有研粉材,55352043.68,54.79,金属新材料,2026-08-31
688443,智翔金泰,-316162565.48,-9.2897322674,生物制品,2026-08-31
688409,富创精密,134168704.99,992.9,半导体,2026-08-31
688408,中信博,-203845520.89,-229.18,光伏设备,2026-08-31
688348,昱能科技,-132324988.52,-267.21,光伏设备,2026-08-31
688325,赛微微电,31165351.59,-20.79,半导体,2026-08-31
688293,奥浦迈,124032624.39,230.34,生物制品,2026-08-31
688221,前沿生物,148929627.03,252.9795924215,化学制药,2026-08-31
688211,中科微至,13003829.25,120.8125056298,专用设备,2026-08-31
688200,华峰测控,416226570.89,112.6,半导体,2026-08-31
688189,ST南新,-37161656.58,7.1012391069,化学制药,2026-08-31
688178,万德斯,1622576.34,105.7062087214,环境治理,2026-08-31
688171,纬德信息,-7781584.37,-350.43,软件开发,2026-08-31
688170,德龙激光,-38176008.3,-146.5455607185,自动化设备,2026-08-31
688166,博瑞医药,58932817.33,243.17,化学制药,2026-08-31
688150,莱特光电,110026666.3,-13.0,电子化学品Ⅱ,2026-08-31
688121,*ST卓然,-98611034.6,-44918.2020728608,专用设备,2026-08-31
688098,申联生物,-19146404.15,-48.7711660066,动物保健Ⅱ,2026-08-31
688062,迈威生物,-521707682.23,5.3710064503,化学制药,2026-08-31
688048,长光华芯,30337848.85,238.04,半导体,2026-08-31
688026,洁特生物,20816586.5,-55.08,医疗器械,2026-08-31
605398,新炬网络,-6399039.4,-187.66,IT服务Ⅱ,2026-08-31
605368,蓝天燃气,158892559.4,-22.35,燃气Ⅱ,2026-08-31
605366,宏柏新材,-30485497.03,-14.5834361817,化学制品,2026-08-31
605336,*ST帅电,-9943740.76,-401.52,厨卫电器,2026-08-31
605303,园林股份,-71072725.84,4.52,基础建设,2026-08-31
605268,王力安防,69223066.82,1.99,家居用品,2026-08-31
605177,东亚药业,-118376942.74,-291.6100120017,化学制药,2026-08-31
605168,三人行,78862810.26,-45.31,广告营销,2026-08-31
605123,派克新材,198890984.51,13.4,航空装备Ⅱ,2026-08-31
605100,华丰股份,18920829.37,43.86,通用设备,2026-08-31
605069,正和生态,-69408825.43,-387.54,环境治理,2026-08-31
605016,百龙创园,210635666.21,24.06,化学制品,2026-08-31
603959,ST百利,-129951718.12,-149.44,专业工程,2026-08-31
603949,雪龙集团,48132703.51,16.61,汽车零部件,2026-08-31
603885,吉祥航空,150299387.71,-70.27,航空机场,2026-08-31
603880,南卫股份,-17791545.38,-37.2,医疗器械,2026-08-31
603828,*ST利达,-45510924.14,-552.57,装修装饰Ⅱ,2026-08-31
603825,ST华扬,-123119426.9,41.0442618596,广告营销,2026-08-31
603800,洪田股份,-47244218.26,-33.045392769,专用设备,2026-08-31
603733,仙鹤股份,540351035.32,13.88,造纸,2026-08-31
603722,阿科力,-21241081.65,-299.9310551335,化学制品,2026-08-31
603668,天马科技,12327924.8,-79.53,饲料,2026-08-31
603638,艾迪精密,305737218.01,47.71,工程机械,2026-08-31
603628,清源股份,21055279.32,-75.74,光伏设备,2026-08-31
