code,name,kind,slip_mult
300750,宁德时代,stock,1.0
300308,中际旭创,stock,1.0
600519,贵州茅台,stock,1.0
601318,中国平安,stock,1.0
300502,新易盛,stock,1.0
601899,紫金矿业,stock,1.0
600036,招商银行,stock,1.0
000333,美的集团,stock,1.0
603259,药明康德,stock,1.0
600900,长江电力,stock,1.0
002371,北方华创,stock,1.0
601166,兴业银行,stock,1.0
002475,立讯精密,stock,1.0
600030,中信证券,stock,1.0
603986,兆易创新,stock,1.0
601398,工商银行,stock,1.0
601138,工业富联,stock,1.0
002384,东山精密,stock,1.0
300059,东方财富,stock,1.0
002594,比亚迪,stock,1.0
600183,生益科技,stock,1.0
000725,京东方A,stock,1.0
600276,恒瑞医药,stock,1.0
601211,国泰海通,stock,1.0
601288,农业银行,stock,1.0
601328,交通银行,stock,1.0
600919,江苏银行,stock,1.0
000651,格力电器,stock,1.0
300394,天孚通信,stock,1.0
002463,沪电股份,stock,1.0
600887,伊利股份,stock,1.0
603993,洛阳钼业,stock,1.0
300408,三环集团,stock,1.0
600150,中国船舶,stock,1.0
300476,胜宏科技,stock,1.0
601857,中国石油,stock,1.0
000338,潍柴动力,stock,1.0
601816,京沪高铁,stock,1.0
600309,万华化学,stock,1.0
000858,五 粮 液,stock,1.0
601088,中国神华,stock,1.0
300274,阳光电源,stock,1.0
002415,海康威视,stock,1.0
603019,中科曙光,stock,1.0
600000,浦发银行,stock,1.0
600031,三一重工,stock,1.0
300124,汇川技术,stock,1.0
000001,平安银行,stock,1.0
601688,华泰证券,stock,1.0
002142,宁波银行,stock,1.0
000063,中兴通讯,stock,1.0
601601,中国太保,stock,1.0
600584,长电科技,stock,1.0
601225,陕西煤业,stock,1.0
601919,中远海控,stock,1.0
000100,TCL科技,stock,1.0
600176,中国巨石,stock,1.0
000988,华工科技,stock,1.0
600111,北方稀土,stock,1.0
002916,深南电路,stock,1.0
300760,迈瑞医疗,stock,1.0
601728,中国电信,stock,1.0
301308,江波龙,stock,1.0
600089,特变电工,stock,1.0
600522,中天科技,stock,1.0
601229,上海银行,stock,1.0
601988,中国银行,stock,1.0
601939,建设银行,stock,1.0
600406,国电南瑞,stock,1.0
600660,福耀玻璃,stock,1.0
601668,中国建筑,stock,1.0
000792,盐湖股份,stock,1.0
600941,中国移动,stock,1.0
000938,紫光股份,stock,1.0
600016,民生银行,stock,1.0
000977,浪潮信息,stock,1.0
002028,思源电气,stock,1.0
600926,杭州银行,stock,1.0
002602,世纪华通,stock,1.0
600938,中国海油,stock,1.0
002050,三花智控,stock,1.0
300014,亿纬锂能,stock,1.0
002353,杰瑞股份,stock,1.0
600028,中国石化,stock,1.0
600690,海尔智家,stock,1.0
601169,北京银行,stock,1.0
300433,蓝思科技,stock,1.0
601600,中国铝业,stock,1.0
002352,顺丰控股,stock,1.0
601766,中国中车,stock,1.0
600489,中金黄金,stock,1.0
601985,中国核电,stock,1.0
601009,南京银行,stock,1.0
603501,豪威集团,stock,1.0
600999,招商证券,stock,1.0
300033,同花顺,stock,1.0
600547,山东黄金,stock,1.0
600050,中国联通,stock,1.0
002938,鹏鼎控股,stock,1.0
000425,徐工机械,stock,1.0
000776,广发证券,stock,1.0
601628,中国人寿,stock,1.0
000408,藏格矿业,stock,1.0
002460,赣锋锂业,stock,1.0
601872,招商轮船,stock,1.0
002241,歌尔股份,stock,1.0
603799,华友钴业,stock,1.0
600549,厦门钨业,stock,1.0
000657,中钨高新,stock,1.0
601658,邮储银行,stock,1.0
600809,山西汾酒,stock,1.0
000568,泸州老窖,stock,1.0
601006,大秦铁路,stock,1.0
000807,云铝股份,stock,1.0
603288,海天味业,stock,1.0
601818,光大银行,stock,1.0
601100,恒立液压,stock,1.0
600160,巨化股份,stock,1.0
300442,润泽科技,stock,1.0
600989,宝丰能源,stock,1.0
301177,迪阿股份,small,2.0
301665,泰禾股份,small,2.0
301632,广东建科,small,2.0
