date,open,high,low,close,volume,amount
2020-01-02,2.113,2.129,2.113,2.129,32685910,69265892
2020-01-03,2.134,2.158,2.129,2.151,37642598,80600358
2020-01-06,2.13,2.13,2.109,2.109,72132160,152549201
2020-01-07,2.119,2.124,2.116,2.118,71336657,151147063
2020-01-08,2.092,2.102,2.071,2.092,66562904,139372777
2020-01-09,2.115,2.12,2.113,2.117,92698720,196258831
2020-01-10,2.129,2.143,2.125,2.139,24271804,51779958
2020-01-13,2.125,2.137,2.124,2.133,62571319,133328624
2020-01-14,2.144,2.154,2.14,2.148,52409119,112492235
2020-01-15,2.143,2.143,2.13,2.141,50152400,107015865
2020-01-16,2.139,2.139,2.128,2.129,51118800,108975283
2020-01-17,2.143,2.148,2.135,2.136,54167600,115872833
2020-01-20,2.143,2.144,2.136,2.138,40457200,86615744
2020-01-21,2.138,2.14,2.135,2.138,77349000,165401406
2020-01-22,2.138,2.155,2.138,2.155,46801700,100640562
2020-01-23,2.144,2.154,2.139,2.148,85220580,183100501
2020-02-03,2.055,2.123,2.055,2.115,26009730,54962042
2020-02-04,2.13,2.133,2.116,2.129,26674000,56749175
2020-02-05,2.143,2.15,2.14,2.142,45840104,98262546
2020-02-06,2.169,2.181,2.168,2.18,50427300,109705336
2020-02-07,2.179,2.185,2.175,2.185,53605500,116818628
2020-02-10,2.175,2.189,2.172,2.189,29926955,65247135
2020-02-11,2.194,2.223,2.194,2.219,45738610,101232204
2020-02-12,2.226,2.26,2.222,2.258,33664400,75232899
2020-02-13,2.3,2.368,2.278,2.349,63950002,148562350
2020-02-14,2.33,2.33,2.24,2.248,62719500,143374794
2020-02-17,2.252,2.282,2.232,2.262,55627900,125729731
2020-02-18,2.253,2.256,2.227,2.23,38263660,85624104
2020-02-19,2.223,2.235,2.215,2.223,40754500,90804362
2020-02-20,2.239,2.246,2.226,2.238,65322300,145952579
2020-02-21,2.219,2.248,2.216,2.216,87355909,193989669
2020-02-24,2.18,2.183,2.166,2.168,67321800,146230463
2020-02-25,2.127,2.168,2.127,2.167,108357383,232300434
2020-02-26,2.088,2.128,2.087,2.11,46020856,97047799
2020-02-27,2.111,2.111,2.095,2.098,39656800,83298617
