date,open,high,low,close,volume,amount
2019-11-15,1.0070,1.0130,0.9980,1.0000,225816644,227331611
2019-11-18,1.0000,1.0050,0.9950,1.0020,37322335,37398584
2019-11-19,1.0000,1.0290,1.0000,1.0280,127371352,129757729
2019-11-20,1.0280,1.0360,1.0210,1.0220,46521517,47940913
2019-11-21,1.0190,1.0240,1.0140,1.0160,12063553,12268579
2019-11-22,1.0180,1.0290,0.9980,1.0000,19959257,20192466
2019-11-25,1.0000,1.0000,0.9820,0.9910,7891134,7808091
2019-11-26,0.9900,0.9990,0.9890,0.9940,5860834,5816433
2019-11-27,0.9900,0.9970,0.9880,0.9940,3084024,3061244
2019-11-28,0.9980,0.9980,0.9870,0.9900,1948834,1930549
2019-11-29,0.9850,0.9900,0.9710,0.9820,5362790,5257665
2019-12-02,0.9810,0.9870,0.9780,0.9800,7003134,6873537
2019-12-03,0.9770,0.9830,0.9690,0.9810,4157459,4049812
2019-12-04,0.9810,0.9860,0.9760,0.9820,2434600,2392498
2019-12-05,0.9850,1.0010,0.9850,0.9990,11360200,11322687
2019-12-06,0.9940,1.0060,0.9940,1.0060,11226600,11242719
2019-12-09,1.0070,1.0080,0.9990,1.0000,9265570,9287717
2019-12-10,0.9980,1.0110,0.9980,1.0090,12211222,12286908
2019-12-11,1.0090,1.0150,1.0050,1.0080,18636323,18824898
2019-12-12,1.0040,1.0130,1.0040,1.0060,12865395,12992921
2019-12-13,1.0150,1.0220,1.0110,1.0220,35821200,36446051
2019-12-16,1.0210,1.0370,1.0210,1.0360,46486323,47909599
2019-12-17,1.0370,1.0470,1.0350,1.0400,28928090,30105924
2019-12-18,1.0410,1.0490,1.0380,1.0420,28738845,29987857
2019-12-19,1.0420,1.0480,1.0330,1.0400,23085500,23968439
2019-12-20,1.0360,1.0430,1.0310,1.0310,19149590,19845183
2019-12-23,1.0310,1.0310,1.0130,1.0130,14323700,14642214
2019-12-24,1.0210,1.0330,1.0180,1.0330,8892000,9110357
2019-12-25,1.0330,1.0500,1.0290,1.0370,19267200,20101633
2019-12-26,1.0370,1.0480,1.0370,1.0460,10206200,10662969
2019-12-27,1.0450,1.0540,1.0360,1.0360,14064000,14723265
2019-12-30,1.0360,1.0490,1.0250,1.0480,6474992,6763251
2019-12-31,1.0460,1.0580,1.0460,1.0540,12609900,13289621
2020-01-02,1.0580,1.0810,1.0570,1.0770,33785300,36349768
2020-01-03,1.0780,1.0840,1.0740,1.0810,41221100,44515686
2020-01-06,1.0740,1.1010,1.0710,1.0880,28618900,31238458
2020-01-07,1.0870,1.0980,1.0860,1.0980,10520700,11506118
2020-01-08,1.0850,1.0950,1.0800,1.0850,10800773,11767635
2020-01-09,1.1400,1.1400,1.0870,1.1040,19288569,21234409
2020-01-10,1.1040,1.1170,1.1010,1.1060,14406100,15943544
2020-01-13,1.1060,1.1290,1.1060,1.1290,18065200,20210993
2020-01-14,1.1430,1.1430,1.1180,1.1200,15809344,17786956
2020-01-15,1.1160,1.1240,1.1080,1.1200,25361568,28330160
2020-01-16,1.1200,1.1280,1.1170,1.1250,22372400,25134548
2020-01-17,1.1250,1.1400,1.1240,1.1330,40582349,45913725
2020-01-20,1.1360,1.1580,1.1330,1.1570,14239900,16361899
2020-01-21,1.1570,1.1580,1.1430,1.1450,13645100,15695168
2020-01-22,1.1450,1.1750,1.1300,1.1750,17059030,19788230
2020-01-23,1.1680,1.1800,1.1250,1.1480,10407110,12019110
2020-02-03,1.0330,1.0600,1.0330,1.0330,28383660,29485382
2020-02-04,1.0300,1.1100,1.0300,1.1060,27606580,30146716
2020-02-05,1.1200,1.1520,1.1150,1.1400,29966100,34011400
