date,open,high,low,close,volume,amount
2026-04-24,1.0100,1.0180,1.0010,1.0110,92123383,93074507
2026-04-27,1.0110,1.0160,1.0040,1.0100,24233569,24541318
2026-04-28,1.0100,1.0170,1.0050,1.0150,20019580,20280398
2026-04-29,1.0130,1.0280,1.0130,1.0250,19859186,20312413
2026-04-30,1.0320,1.0360,1.0140,1.0300,19287090,19805460
2026-05-06,1.0100,1.0310,1.0100,1.0260,12049495,12339687
2026-05-07,1.0110,1.0250,1.0010,1.0030,8309235,8370385
2026-05-08,1.0000,1.0080,0.9950,1.0030,17773044,17808775
2026-05-11,1.0010,1.0030,0.9910,0.9990,10492856,10441977
2026-05-12,0.9990,1.0000,0.9890,0.9900,9279918,9209572
2026-05-13,0.9900,1.0020,0.9900,0.9990,6209303,6195622
2026-05-14,0.9900,0.9970,0.9880,0.9890,8277304,8212568
2026-05-15,0.9900,0.9920,0.9790,0.9850,10170124,10040020
2026-05-18,1.0000,1.0000,0.9760,0.9900,6667012,6584650
2026-05-19,0.9860,0.9900,0.9790,0.9900,6423665,6319277
2026-05-20,0.9900,0.9990,0.9900,0.9960,7802608,7748660
2026-05-21,0.9760,1.0050,0.9680,0.9690,8948804,8804338
2026-05-22,0.9720,0.9720,0.9620,0.9660,10162452,9805359
2026-05-25,0.9490,0.9680,0.9460,0.9470,8009150,7642034
2026-05-26,0.9470,0.9490,0.9350,0.9470,10185221,9613478
2026-05-27,0.9470,0.9470,0.9240,0.9310,8199303,7642913
2026-05-28,0.9280,0.9420,0.9280,0.9360,7637411,7136042
2026-05-29,0.9350,0.9350,0.9200,0.9250,8126155,7540372
2026-06-01,0.9220,0.9480,0.9220,0.9410,7203603,6791128
2026-06-02,0.9410,0.9440,0.9300,0.9330,7335004,6856472
2026-06-03,0.9200,0.9350,0.9200,0.9340,6137808,5695878
2026-06-04,0.9320,0.9430,0.9310,0.9350,9070305,8492550
2026-06-05,0.9340,0.9400,0.9260,0.9290,6912701,6454591
2026-06-08,0.9430,0.9440,0.9170,0.9250,7058005,6532664
2026-06-09,0.9180,0.9180,0.9010,0.9030,5779310,5231019
2026-06-10,0.9030,0.9030,0.8820,0.8890,6417416,5690918
2026-06-11,0.9000,0.9160,0.8870,0.8910,6482402,5774273
2026-06-12,0.8750,0.9160,0.8620,0.9060,5561025,5043079
2026-06-15,0.9060,0.9120,0.8970,0.9120,4352802,3952617
2026-06-16,0.9090,0.9090,0.8920,0.8930,5192709,4671737
2026-06-17,0.8850,0.9000,0.8850,0.8960,4123204,3694623
2026-06-18,0.8940,0.9060,0.8920,0.8940,4166702,3743033
2026-06-22,0.8950,0.9100,0.8930,0.9080,7629216,6853521
2026-06-23,0.9040,0.9140,0.8920,0.8940,6604007,5992197
2026-06-24,0.8830,0.8960,0.8830,0.8880,2473310,2206990
2026-06-25,0.9040,0.9040,0.8660,0.8690,7670229,6718039
2026-06-26,0.8650,0.8650,0.8480,0.8530,8595224,7365793
2026-06-29,0.8500,0.8500,0.8300,0.8410,8308600,6953813
2026-06-30,0.8390,0.8390,0.8260,0.8320,7392911,6154072
2026-07-01,0.8380,0.8520,0.8380,0.8400,9677000,8198163
2026-07-02,0.8360,0.8400,0.8300,0.8310,10104800,8434033
2026-07-03,0.8470,0.8580,0.8450,0.8560,9384201,8000538
2026-07-06,0.8820,0.8820,0.8610,0.8740,6817904,5957720
2026-07-07,0.8790,0.8790,0.8520,0.8570,7661209,6557465
2026-07-08,0.8830,0.8870,0.8480,0.8480,7293701,6262087
2026-07-09,0.8610,0.8660,0.8530,0.8600,7228203,6208649
2026-07-10,0.8630,0.8650,0.8420,0.8450,8479102,7203153
2026-07-13,0.8740,0.8740,0.8380,0.8400,7412717,6276184
2026-07-14,0.8430,0.8680,0.8430,0.8660,9872121,8456111
2026-07-15,0.8660,0.8710,0.8570,0.8590,7946302,6843913
2026-07-16,0.8500,0.8510,0.8380,0.8400,3213200,2707673
2026-07-17,0.8410,0.8420,0.8250,0.8290,9708000,8085603
2026-07-20,0.8700,0.8700,0.8480,0.8610,2927634,2512011
2026-07-21,0.8700,0.8700,0.8290,0.8550,8685814,7332938
2026-07-22,0.8510,0.8740,0.8510,0.8720,8999496,7817058
2026-07-23,0.8900,0.9120,0.8860,0.9110,17308605,15576650
2026-07-24,0.9420,0.9460,0.8830,0.8860,10357700,9417938
2026-07-27,0.8710,0.8930,0.8140,0.8920,9498405,8226033
2026-07-28,0.8770,0.8780,0.8630,0.8760,6445100,5620936
2026-07-29,0.8760,0.8910,0.8760,0.8840,5649704,4996993
2026-07-30,0.8970,0.8970,0.8790,0.8860,8845800,7827908
2026-07-31,0.8790,0.8970,0.8790,0.8950,8110300,7238578
2026-08-03,0.8880,0.9010,0.8880,0.8930,5552802,4956065
2026-08-04,0.8930,0.8980,0.8890,0.8940,5481400,4915093
2026-08-05,0.8840,0.9000,0.8830,0.8980,5878402,5262407
2026-08-06,0.8960,0.9010,0.8950,0.9010,5847504,5246962
2026-08-07,0.9090,0.9100,0.8970,0.9050,5848500,5297811
