code,board,first,last,ok_static,exclude_reason
000001,main,1991-01-02,2026-09-22,True,
000002,main,1991-01-02,2026-09-22,False,r1_loss
000006,main,1992-04-27,2026-09-22,False,r1_loss
000007,main,1992-04-13,2026-09-22,False,r1_loss
000008,main,1992-05-07,2026-09-22,False,r1_loss
000009,main,1991-06-25,2026-09-22,False,r1_loss
000010,main,1995-10-27,2026-09-22,False,r1_loss+r2_st
000011,main,1992-03-30,2026-09-22,False,r1_loss
000012,main,1992-02-28,2026-09-22,False,r1_loss
000014,main,1992-06-02,2026-09-22,False,r1_loss
000016,main,1992-03-27,2026-09-03,False,r1_loss+r2_st
000017,main,1992-03-31,2026-09-22,True,
000019,main,1992-10-12,2026-09-22,True,
000020,main,1992-04-28,2026-09-22,True,
000021,main,1994-02-02,2026-09-22,True,
000025,main,1993-06-21,2026-09-22,True,
000026,main,1993-06-03,2026-09-22,True,
000027,main,1993-09-03,2026-09-22,True,
000028,main,1993-08-09,2026-09-22,True,
000029,main,1993-09-15,2026-09-22,False,r1_loss
000030,main,1993-09-29,2026-09-22,True,
000031,main,1993-10-08,2026-09-22,False,r1_loss
000032,main,1993-10-28,2026-09-22,False,r1_loss
000034,main,1994-05-09,2026-09-22,True,
000035,main,1994-04-08,2026-09-22,True,
000036,main,1994-06-17,2026-09-22,True,
000037,main,1994-07-01,2026-09-22,True,
000039,main,1994-04-08,2026-09-22,False,r1_loss
000042,main,1994-09-21,2026-09-22,False,r1_loss
000045,main,1994-08-15,2026-09-22,True,
000048,main,1994-11-01,2026-09-22,False,r1_loss
000049,main,1995-03-20,2026-09-22,True,
000050,main,1995-03-15,2026-09-22,False,r1_loss
000055,main,1996-04-15,2026-09-22,False,r1_loss
000056,main,1996-07-08,2026-09-22,False,r1_loss+r2_st
000058,main,1996-12-26,2026-09-22,True,
000059,main,1997-01-30,2026-09-22,False,r1_loss
000060,main,1997-01-23,2026-09-22,True,
000061,main,1997-01-10,2026-09-22,True,
000062,main,1997-01-30,2026-09-22,True,
000063,main,1997-11-18,2026-09-22,True,
000065,main,1998-06-05,2026-09-22,True,
000066,main,1997-06-26,2026-09-22,False,r1_loss
000068,main,1997-06-11,2026-09-22,False,r1_loss
000069,main,1997-09-10,2026-09-22,False,r1_loss
000070,main,2000-05-11,2026-09-22,False,r1_loss
000078,main,1998-12-18,2026-09-22,False,r1_loss+r2_st
000088,main,1997-07-28,2026-09-22,True,
000089,main,1998-04-20,2026-09-22,True,
000090,main,1999-07-21,2026-09-22,False,r1_loss
000096,main,2000-07-24,2026-09-22,True,
000099,main,2000-07-31,2026-09-22,True,
000100,main,2004-01-30,2026-09-22,True,
000151,main,2000-09-06,2026-09-22,True,
000153,main,2000-09-20,2026-09-22,True,
000155,main,2000-09-26,2026-09-22,True,
000156,main,2000-09-06,2026-09-22,True,
000157,main,2000-10-12,2026-09-22,True,
000158,main,2000-07-24,2026-09-22,True,
000159,main,2000-09-26,2026-09-22,True,
000166,main,2015-01-26,2026-09-22,True,
000301,main,2000-05-29,2026-09-22,True,
000333,main,2013-09-18,2026-09-22,True,
000338,main,2007-04-30,2026-09-22,True,
000400,main,1997-04-18,2026-09-22,True,
000401,main,1996-06-14,2026-09-22,False,r1_loss
000402,main,1996-06-26,2026-09-22,False,r1_loss
000403,main,1996-06-28,2026-09-22,True,
000404,main,1996-06-19,2026-09-22,True,
000407,main,1996-07-03,2026-09-22,True,
000408,main,1996-06-28,2026-09-22,True,
000409,main,1996-06-27,2026-09-22,True,
000410,main,1996-07-18,2026-09-22,False,r1_loss
000411,main,1996-07-16,2026-09-22,True,
000415,main,1996-07-16,2026-09-22,False,r1_loss
000417,main,1996-08-12,2026-09-22,True,
000419,main,1996-08-16,2026-09-22,True,
000420,main,1996-08-02,2026-09-22,True,
000421,main,1996-08-06,2026-09-22,True,
000422,main,1996-08-15,2026-09-22,True,
000423,main,1996-07-29,2026-09-22,True,
000425,main,1996-08-28,2026-09-22,True,
000426,main,1996-08-28,2026-09-22,True,
000428,main,1996-08-08,2026-09-22,False,r1_loss
000429,main,1998-02-20,2026-09-22,True,
000430,main,1996-08-29,2026-09-22,False,r1_loss
000488,main,2000-11-20,2026-09-22,False,r1_loss+r2_st
000498,main,1997-06-09,2026-09-22,True,
000501,main,1992-11-20,2026-09-22,True,
000503,main,1992-11-30,2026-09-22,False,r1_loss
000504,main,1992-12-08,2026-09-22,True,
000505,main,1992-12-21,2026-09-22,False,r1_loss
000506,main,1993-03-12,2026-09-22,True,
000507,main,1993-03-26,2026-09-22,True,
000509,main,1993-05-07,2026-09-22,False,r1_loss
000510,main,1993-05-07,2026-09-22,False,r1_loss
000513,main,1993-10-28,2026-09-22,True,
000514,main,1993-07-12,2026-09-22,False,r1_loss
000516,main,1993-08-09,2026-09-22,False,r1_loss
000517,main,1993-08-06,2026-09-22,False,r1_loss
000518,main,1993-09-08,2026-09-22,False,r1_loss
000519,main,1993-10-08,2026-09-22,True,
000520,main,1993-10-25,2026-09-22,False,r1_loss
000521,main,1993-10-18,2026-09-22,True,
000523,main,1993-11-08,2026-09-22,True,
000524,main,1993-11-18,2026-09-22,True,
000525,main,1993-10-28,2026-09-22,False,r1_loss
000526,main,1993-11-01,2026-09-22,True,
000528,main,1993-11-18,2026-09-22,True,
000529,main,1993-11-18,2026-09-22,True,
000530,main,1993-12-08,2026-09-22,True,
000531,main,1994-01-06,2026-09-22,True,
000532,main,1994-01-03,2026-09-22,True,
000533,main,1994-01-03,2026-09-22,True,
000534,main,1994-01-10,2026-09-22,True,
000536,main,1993-11-26,2026-09-22,False,r1_loss
000537,main,1993-12-10,2026-09-22,True,
000538,main,1993-12-15,2026-09-22,True,
000539,main,1993-11-26,2026-09-22,True,
000541,main,1993-11-23,2026-09-22,True,
000543,main,1993-12-20,2026-09-22,True,
000544,main,1993-12-08,2026-09-22,True,
000545,main,1993-12-15,2026-09-22,False,r1_loss
000546,main,1993-12-15,2026-09-22,False,r1_loss
000547,main,1993-11-30,2026-09-22,False,r1_loss
000548,main,1993-12-20,2026-09-22,True,
000550,main,1993-12-01,2026-09-22,True,
000551,main,1994-01-06,2026-09-22,True,
000552,main,1994-01-06,2026-09-22,False,r1_loss
000553,main,1993-12-03,2026-09-22,False,r1_loss
000554,main,1993-12-15,2026-09-22,True,
000555,main,1994-04-08,2026-09-22,False,r1_loss
000557,main,1994-06-17,2026-09-22,True,
000558,main,1994-05-09,2026-09-22,False,r1_loss
000559,main,1994-01-10,2026-09-22,True,
000560,main,1994-02-02,2026-09-22,False,r1_loss
000561,main,1994-05-09,2026-09-22,False,r1_loss
000563,main,1994-01-10,2026-09-22,True,
000564,main,1994-01-10,2026-09-22,False,r1_loss
000565,main,1994-04-08,2026-09-22,True,
000566,main,1994-05-25,2026-09-22,False,r1_loss
000567,main,1994-05-25,2026-09-22,True,
000568,main,1994-05-09,2026-09-22,True,
000570,main,1994-07-01,2026-09-22,True,
000571,main,1994-05-25,2026-09-22,False,r1_loss
000572,main,1994-08-08,2026-09-22,False,r1_loss
000573,main,1994-08-15,2026-09-22,True,
000576,main,1994-09-07,2026-09-22,True,
000581,main,1998-09-24,2026-09-22,True,
000582,main,1995-11-02,2026-09-22,True,
000586,main,1995-12-20,2026-09-22,False,r1_loss
000589,main,1996-03-08,2026-09-22,True,
000590,main,1996-01-19,2026-09-22,False,r1_loss
000591,main,1996-02-08,2026-09-22,True,
000592,main,1996-03-27,2026-09-22,False,r1_loss
000593,main,1996-03-12,2026-09-22,True,
000595,main,1996-04-19,2026-09-22,False,r1_loss
000596,main,1996-09-27,2026-09-22,True,
000597,main,1996-05-23,2026-09-22,True,
000598,main,1996-05-29,2026-09-22,True,
000599,main,1996-04-30,2026-09-22,False,r1_loss
000600,main,1996-06-06,2026-09-22,True,
000601,main,1996-08-30,2026-09-22,True,
000603,main,1996-08-23,2026-09-22,True,
000605,main,1996-09-13,2026-09-22,True,
000607,main,1996-08-30,2026-09-22,False,r1_loss
000608,main,1996-09-19,2026-09-22,False,r1_loss
000609,main,1996-10-10,2026-09-22,False,r1_loss+r2_st
000610,main,1996-09-26,2026-09-22,False,r1_loss+r2_st
000612,main,1996-09-26,2026-09-22,True,
000615,main,1996-10-16,2026-09-22,False,r1_loss+r2_st
000617,main,1996-10-22,2026-09-22,True,
000619,main,1996-10-23,2026-09-22,False,r1_loss
000620,main,1996-10-29,2026-09-22,False,r1_loss
000623,main,1996-10-28,2026-09-22,True,
000625,main,1997-06-10,2026-09-22,True,
000626,main,1996-11-28,2026-09-22,False,r1_loss
000628,main,1996-11-18,2026-09-22,True,
000629,main,1996-11-15,2026-09-22,False,r1_loss
000630,main,1996-11-20,2026-09-22,True,
000631,main,1996-11-22,2026-09-22,True,
000632,main,1996-11-21,2026-09-22,False,r1_loss+r2_st
000633,main,1996-11-12,2026-09-22,True,
000635,main,1996-11-20,2026-09-22,False,r1_loss
000636,main,1996-11-29,2026-09-22,True,
000637,main,1996-11-14,2026-09-22,False,r1_loss
000639,main,1996-11-26,2026-09-22,False,r1_loss+r2_st
000650,main,1996-12-10,2026-09-22,True,
000651,main,1996-11-18,2026-09-22,True,
000652,main,1996-11-28,2026-09-22,False,r1_loss
000655,main,1996-11-28,2026-09-22,True,
000656,main,1996-11-28,2026-09-22,True,
000657,main,1996-12-05,2026-09-22,True,
000659,main,1996-12-03,2026-09-22,False,r1_loss
000661,main,1996-12-18,2026-09-22,False,r1_loss
000663,main,1996-12-06,2026-09-22,False,r1_loss
000665,main,1996-12-10,2026-09-22,False,r1_loss
000668,main,1996-12-10,2026-09-22,True,
000669,main,1996-12-10,2026-09-22,False,r2_st
000670,main,1996-12-17,2026-09-22,False,r1_loss
000672,main,1996-12-18,2026-09-22,True,
000676,main,1996-12-24,2026-09-22,True,
000677,main,1996-12-26,2026-09-22,False,r1_loss+r2_st
000678,main,1997-01-06,2026-09-22,False,r1_loss
000679,main,1997-01-24,2026-09-22,False,r1_loss
000680,main,1997-01-22,2026-09-22,True,
000681,main,1997-01-21,2026-09-22,True,
000682,main,1997-01-21,2026-09-22,True,
000683,main,1997-01-31,2026-09-22,True,
000685,main,1997-01-23,2026-09-22,True,
000686,main,1997-02-27,2026-09-22,True,
000688,main,1997-01-20,2026-09-22,True,
000690,main,1997-01-28,2026-09-22,True,
000691,main,1997-02-28,2026-09-22,False,r1_loss
000692,main,1997-02-27,2026-09-22,False,r1_loss
000695,main,1997-02-18,2026-09-22,False,r1_loss
000697,main,1997-03-25,2026-09-22,False,r1_loss
000698,main,1997-02-20,2026-09-22,False,r1_loss+r2_st
000700,main,1997-02-28,2026-09-22,True,
000701,main,1997-02-26,2026-09-22,True,
000702,main,1997-03-18,2026-09-22,False,r1_loss
000703,main,1997-03-28,2026-09-22,True,
000705,main,1997-04-10,2026-09-22,False,r1_loss
000707,main,1997-04-15,2026-09-22,False,r1_loss
