code,name,np_annual,np_interim,np_interim_prev,np_ttm,ttm_ok,r1_loss,r1_reason,r2_st,r2_source,eligible
000001,平安银行,42633000000.0,25696000000.0,24870000000.0,43459000000.0,True,False,,False,,True
000002,万科A,-88556470495.64,-14951268522.5,-11946573688.12,-91561165330.02,True,True,annual<0,False,,False
000006,深振业A,-42257500.5,-95731372.32,-70976610.99,-67012261.83,True,True,annual<0,False,,False
000007,全新好,1927223.06,-2774097.17,3388288.42,-4235162.529999999,True,True,ttm<0,False,,False
000008,神州高铁,-835213824.83,-53387478.45,-94968888.81,-793632414.47,True,True,annual<0,False,,False
000009,中国宝安,203041725.86,-29732872.5,243786781.48,-70477928.11999997,True,True,ttm<0,False,,False
000010,*ST美丽,-34564363.86,-17012351.34,-48644764.47,-2931950.730000004,True,True,annual<0,True,st_list+name_marker,False
000011,深物业A,33885110.58,-68175381.59,14428019.63,-48718290.64000001,True,True,ttm<0,False,,False
000012,南玻A,125668291.0,-421151211.0,74531505.0,-370014425.0,True,True,ttm<0,False,,False
000014,沙河股份,-150357687.09,-14106273.07,-3147244.81,-161316715.35,True,True,annual<0,False,,False
000016,*ST康佳A,-12582399856.8,-172780295.6,-383328019.43,-12371852132.97,True,True,annual<0,True,st_list+name_marker,False
000017,深中华A,41129172.17,10582965.53,18570777.64,33141360.060000002,True,False,,False,,True
000019,深粮控股,243215785.97,111864974.09,176015525.87,179065234.19,True,False,,False,,True
000020,深华发A,35440863.1,8405950.38,14339974.11,29506839.370000005,True,False,,False,,True
000021,深科技,1135679007.05,543453791.81,451817409.76,1227315389.1,True,False,,False,,True
000025,特力A,142865677.77,84686065.15,84013429.35,143538313.57000002,True,False,,False,,True
000026,飞亚达,87317829.63,100504370.41,82445500.03,105376700.00999999,True,False,,False,,True
000027,深圳能源,2103342043.54,1902740083.22,1704877034.43,2301205092.33,True,False,,False,,True
000028,国药一致,1135926834.84,606203553.4,665907312.44,1076223075.7999997,True,False,,False,,True
000029,深深房A,99956003.75,-8560110.26,103027646.42,-11631752.930000007,True,True,ttm<0,False,,False
000030,富奥股份,702615804.9,187923176.04,303891058.22,586647922.7199999,True,False,,False,,True
000031,大悦城,-2350270677.56,-722506899.6,108604844.31,-3181382421.47,True,True,annual<0,False,,False
000032,深桑达A,-127069431.4,-208402053.83,-97489074.55,-237982410.68,True,True,annual<0,False,,False
000034,神州数码,522943843.22,496057721.04,426388431.88,592613132.38,True,False,,False,,True
000035,中国天楹,283949932.62,213485560.7,211145525.13,286289968.19,True,False,,False,,True
000036,华联控股,70145408.95,27701514.82,2035639.08,95811284.69000001,True,False,,False,,True
000037,深南电A,161038200.4,19833302.46,-21739509.64,202611012.5,True,False,,False,,True
000039,中集集团,220820000.0,739512000.0,1278156000.0,-317824000.0,True,True,ttm<0,False,,False
000042,中洲控股,-902407022.03,988704532.47,189495896.19,-103198385.74999994,True,True,annual<0,False,,False
000045,深纺织A,68418663.02,50776164.37,35234765.52,83960061.86999997,True,False,,False,,True
000048,京基智农,152808661.82,-489244066.67,226097589.23,-562532994.08,True,True,ttm<0,False,,False
000049,德赛电池,292270104.15,205277265.25,97545269.94,400002099.46,True,False,,False,,True
000050,深天马A,167375926.83,-727846302.36,205898915.99,-766369291.52,True,True,ttm<0,False,,False
000055,方大集团,-515466884.24,54501089.34,17289598.23,-478255393.13,True,True,annual<0,False,,False
000056,*ST皇庭,-2729683196.27,-272226799.89,-185409588.39,-2816500407.77,True,True,annual<0,True,st_list+name_marker,False
000058,深赛格,69394739.7,52292494.67,50209649.25,71477585.12,True,False,,False,,True
000059,华锦股份,-1763294889.03,365157005.62,-989140830.64,-408997052.76999986,True,True,annual<0,False,,False
000060,中金岭南,801756079.53,1142015208.13,558839618.29,1384931669.3700001,True,False,,False,,True
000061,农产品,372470153.54,253526322.41,190490434.24,435506041.71000004,True,False,,False,,True
000062,深圳华强,462938895.43,391438713.35,235621212.83,618756395.9499999,True,False,,False,,True
000063,中兴通讯,5617745000.0,2752825000.0,5057571000.0,3312999000.0,True,False,,False,,True
000065,北方国际,723310917.63,326099559.33,308916806.51,740493670.45,True,False,,False,,True
000066,中国长城,-55724795.18,312048408.51,138251254.08,118072359.24999997,True,True,annual<0,False,,False
000068,华控赛格,-104510783.21,-40328493.84,-88775613.61,-56063663.44000001,True,True,annual<0,False,,False
000069,华侨城A,-14496107715.32,-3487628402.61,-2867734527.55,-15116001590.380001,True,True,annual<0,False,,False
000070,特发信息,-495591165.17,62066692.06,5604129.99,-439128603.1,True,True,annual<0,False,,False
000078,ST海王,-563060359.37,-203951781.96,31681707.71,-798693849.0400001,True,True,annual<0,True,st_list+name_marker,False
000088,盐田港,1447533202.29,696644306.62,653308570.68,1490868938.23,True,False,,False,,True
000089,深圳机场,525205361.13,736766609.67,312225495.48,949746475.3199999,True,False,,False,,True
000090,天健集团,223438935.79,-332896418.01,41423674.74,-150881156.96,True,True,ttm<0,False,,False
000096,广聚能源,114791143.74,68604938.94,9325424.13,174070658.55,True,False,,False,,True
000099,中信海直,308669167.81,125315742.17,153404771.5,280580138.48,True,False,,False,,True
000100,TCL科技,4516782000.0,3808272000.0,1883500000.0,6441554000.0,True,False,,False,,True
000151,中成股份,359573390.29,18762176.88,-50594487.02,428930054.19,True,False,,False,,True
000153,丰原药业,99415904.27,71286563.34,76278476.53,94423991.08000001,True,False,,False,,True
000155,川能动力,502494436.56,706033602.6,306005864.04,902522175.1200001,True,False,,False,,True
000156,华数传媒,466444967.68,210166102.2,253986762.54,422624307.34000003,True,False,,False,,True
000157,中联重科,4858487017.8,2102189130.77,2764778602.9,4195897545.6699996,True,False,,False,,True
000158,常山北明,33446475.79,-113396318.23,-92994423.25,13044580.810000002,True,False,,False,,True
000159,国际实业,38017209.31,15259805.7,24769797.32,28507217.690000005,True,False,,False,,True
000166,申万宏源,9507226300.42,5730431558.07,4284169415.95,10953488442.54,True,False,,False,,True
000301,东方盛虹,133746317.81,4500151589.93,386245051.32,4247652856.4200006,True,False,,False,,True
000333,美的集团,43945411000.0,26446037000.0,26013690000.0,44377758000.0,True,False,,False,,True
000338,潍柴动力,10930504451.02,7701265423.95,5643452988.9,12988316886.070002,True,False,,False,,True
000400,许继电气,1167210009.73,415877522.54,633915377.07,949172155.1999999,True,False,,False,,True
000401,金隅冀东,218704132.86,-957447011.62,-153623987.91,-585118890.85,True,True,ttm<0,False,,False
000402,金融街,-5384226184.53,-86540011.02,-1007916509.84,-4462849685.71,True,True,annual<0,False,,False
000403,派林生物,419266377.5,84300956.84,235792903.0,267774431.34000003,True,False,,False,,True
000404,长虹华意,494770408.88,250573246.37,257261657.32,488081997.93,True,False,,False,,True
000407,胜利股份,155774876.81,100585129.03,88442642.31,167917363.53,True,False,,False,,True
000408,藏格矿业,3852353240.98,3638081370.05,1800205233.31,5690229377.720001,True,False,,False,,True
000409,云鼎科技,82405100.57,37141588.99,41888879.01,77657810.55000001,True,False,,False,,True
000410,沈阳机床,-9590538.89,-19452050.45,40348540.91,-69391130.25,True,True,annual<0,False,,False
000411,英特集团,501237768.04,195202027.43,248519109.21,447920686.26,True,False,,False,,True
000415,渤海租赁,-405925000.0,3204487000.0,-2018780000.0,4817342000.0,True,True,annual<0,False,,False
000417,合百集团,160215070.45,60372488.48,170861149.51,49726409.41999999,True,False,,False,,True
000419,通程控股,122957539.4,73587128.09,83278710.21,113265957.28000002,True,False,,False,,True
000420,吉林化纤,22730386.5,32045961.28,22067212.18,32709135.6,True,False,,False,,True
000421,南京公用,48080325.78,82439383.33,31282985.5,99236723.61,True,False,,False,,True
000422,湖北宜化,808587873.83,319334194.62,398880278.09,729041790.3600001,True,False,,False,,True
000423,东阿阿胶,1738741090.72,860377588.81,814303895.42,1784814784.1099997,True,False,,False,,True
000425,徐工机械,6572221644.27,3962016329.45,4358409242.35,6175828731.370001,True,False,,False,,True
000426,兴业银锡,1704239280.88,2263056168.41,795675116.05,3171620333.24,True,False,,False,,True
000428,华天酒店,-210231321.94,-113166152.93,-106701808.74,-216695666.13,True,True,annual<0,False,,False
000429,粤高速A,1801337614.93,850129256.86,1057152854.14,1594314017.65,True,False,,False,,True
000430,张家界,-549413368.15,308359133.18,-33271350.32,-207782884.64999998,True,True,annual<0,False,,False
000488,ST晨鸣,-8295932402.88,-786475084.18,-3857953190.56,-5224454296.5,True,True,annual<0,True,st_list+name_marker,False
000498,山东路桥,2227194256.24,730973092.51,1028554078.02,1929613270.73,True,False,,False,,True
000501,武商集团,180432436.16,131125222.93,165246835.46,146310823.63000003,True,False,,False,,True
000503,国新健康,-403993560.02,-102268992.68,-99090685.4,-407171867.29999995,True,True,annual<0,False,,False
000504,南华生物,28828686.12,5992694.22,-3484412.87,38305793.21,True,False,,False,,True
000505,京粮控股,-266087957.92,8032416.0,17950174.11,-276005716.03,True,True,annual<0,False,,False
000506,招金黄金,158857625.01,226798249.89,44694599.05,340961275.84999996,True,False,,False,,True
