date,open,high,low,close,volume,oi,settle
2022-07-22,7050,7085.2,6857,6956.6,22153,17517,0
2022-07-25,6974.2,7015.8,6850,6878.6,22883,18747,0
2022-07-26,6898,6994,6844.8,6991,19269,20386,0
2022-07-27,6982,7074.4,6965.2,7066.2,19290,21390,0
2022-07-28,7110,7171.4,7072.4,7119,22464,24584,0
2022-07-29,7130,7152,7068,7087,25025,25557,0
2022-08-01,7070.2,7141,7004.4,7136.6,22084,24149,0
2022-08-02,7070,7075,6820.4,6948.2,37753,31769,0
2022-08-03,6990,7062,6860.8,6882.8,32325,29243,0
2022-08-04,6933,6942.8,6778.2,6890.8,35394,30899,0
2022-08-05,6903.4,7080.8,6903.4,7080,31492,28786,0
2022-08-08,7060,7145,7039.6,7132.2,20853,26514,0
2022-08-09,7120,7164.8,7084.4,7160.6,18871,25359,0
2022-08-10,7138,7202,7130,7168.4,21848,26391,0
2022-08-11,7201.4,7287.6,7179.6,7284.8,22671,24871,0
2022-08-12,7275,7306,7205.4,7222.4,19678,23573,0
2022-08-15,7210,7297.6,7206,7266,20698,23063,0
2022-08-16,7275,7361.4,7257.2,7311,21099,20891,0
2022-08-17,7317,7346.4,7263.8,7327.6,18274,17086,0
2022-08-18,7320,7370.4,7303,7358.8,14405,10606,0
2022-08-19,7319,7337,7183.2,7186.4,31515,41807,0
2022-08-22,7179.8,7252.8,7119.4,7232.4,27615,41665,0
2022-08-23,7224,7259.8,7208.6,7253.6,25221,40321,0
2022-08-24,7263,7277,6951.4,6969.8,43723,45038,0
2022-08-25,6995,6999,6865,6940.4,40047,44392,0
2022-08-26,6968.6,7032,6886.4,6911.6,34552,44639,0
2022-08-29,6810,6979,6805,6950,35892,45432,0
2022-08-30,6954.2,6965.4,6887.2,6941,30897,43960,0
2022-08-31,6918.4,6931.8,6699,6710.2,47768,48827,0
2022-09-01,6720,6787.2,6649.8,6682.6,38108,43659,0
2022-09-02,6706.4,6773.4,6669.8,6730.2,34760,42659,0
2022-09-05,6726.4,6810.8,6691.8,6747.2,30586,38945,0
2022-09-06,6770,6885,6738,6879.8,33895,40847,0
2022-09-07,6851,6954,6851,6920.2,27172,37445,0
2022-09-08,6921.4,6944.8,6864,6874.4,24336,36622,0
2022-09-09,6893,6918.8,6836.2,6913,31079,35762,0
2022-09-13,6935.2,6957.6,6872,6891.4,26519,30839,0
2022-09-14,6810,6851,6784.8,6826,27940,26703,0
2022-09-15,6855.4,6860,6524.4,6596.4,29581,17024,0
2022-09-16,6500,6557.8,6369.2,6383.2,42595,42941,0
2022-09-19,6373,6428.2,6257,6298.2,41542,44209,0
2022-09-20,6361,6464.8,6343,6388.8,37253,42171,0
2022-09-21,6368,6447.6,6303,6412.6,39329,43368,0
2022-09-22,6373.4,6506.8,6368,6435.8,40306,41743,0
2022-09-23,6437,6458.8,6246,6323.4,55619,47752,0
2022-09-26,6288,6391,6251.2,6255,41247,43783,0
2022-09-27,6289,6405,6270.8,6398.8,41677,42452,0
2022-09-28,6380.2,6393.2,6201.2,6202.6,48495,46383,0
2022-09-29,6275,6308,6180.2,6232.4,44555,44324,0
2022-09-30,6242,6247.4,6098.2,6103,42514,42279,0
2022-10-10,6121.6,6142.8,5941.4,5976,35148,40822,0
2022-10-11,5990,6030,5935,5994.2,35293,41560,0
2022-10-12,5985.6,6182.4,5895.2,6169.2,51182,42940,0
2022-10-13,6147.6,6305,6142.2,6242.4,39115,39171,0
2022-10-14,6300,6437.4,6273.2,6418,39202,36866,0
2022-10-17,6400,6487.4,6396.8,6448,31880,33532,0
2022-10-18,6466,6547.8,6432.4,6497.2,30270,29775,0
2022-10-19,6477,6545,6452.4,6462.4,29061,23707,0
2022-10-20,6435.2,6543.8,6328.6,6445.8,28712,16423,0
2022-10-21,6376,6424.8,6315,6377.4,36648,37244,0
2022-10-24,6370,6554.4,6267,6360,52094,42297,0
2022-10-25,6340,6389,6212.4,6340.8,51852,43255,0
2022-10-26,6348.2,6578,6336.2,6500.6,59542,46450,0
2022-10-27,6534.2,6560,6453,6473,42741,44611,0
2022-10-28,6426.2,6462.6,6202,6224.2,51221,49201,0
2022-10-31,6203,6360,6185.4,6286.6,48429,45610,0
2022-11-01,6317,6471,6271.4,6471,50479,47333,0
2022-11-02,6459,6561.8,6447,6532,35874,42370,0
2022-11-03,6493,6589,6493,6563.4,33815,44664,0
2022-11-04,6588,6750.8,6564.2,6746.6,43107,45654,0
2022-11-07,6731.4,6777,6661,6711.8,37120,44441,0
2022-11-08,6045.4,6717.8,6045.4,6707.6,28811,41036,0
2022-11-09,6700.4,6748,6660,6674.8,29093,41426,0
2022-11-10,6638,6667,6584,6616,33758,39501,0
2022-11-11,6800,6811.6,6641.8,6645,45127,41806,0
2022-11-14,6668,6714,6565.6,6592.2,36933,35029,0
2022-11-15,6595,6753.2,6582.6,6753,33028,29552,0
2022-11-16,6747.8,6774.6,6691.6,6698.2,23921,20940,0
2022-11-17,6682.4,6722,6634,6715.2,20540,13082,0
2022-11-18,6700.6,6760,6631.4,6646.4,41232,65843,0
2022-11-21,6606.2,6695.8,6581.2,6685,39569,63153,0
2022-11-22,6674,6686.8,6514.4,6557.2,51946,65524,0
2022-11-23,6563,6584,6422.2,6553.4,49857,62214,0
2022-11-24,6570,6595.6,6520.4,6559.2,38327,59758,0
2022-11-25,6545.2,6553.8,6485.8,6497,35966,59535,0
2022-11-28,6424.2,6500.6,6371.4,6492,42689,59330,0
2022-11-29,6502,6632.8,6501,6597,41900,58558,0
2022-11-30,6600.2,6623,6555.4,6582.8,31915,56213,0
2022-12-01,6656,6713.8,6637.8,6662,34834,55105,0
2022-12-02,6662.2,6747,6651.2,6681.8,30017,53280,0
2022-12-05,6729,6736,6673,6703,34433,53712,0
2022-12-06,6690.2,6747,6657,6697.8,35502,53057,0
2022-12-07,6689.8,6739,6671.6,6695.2,31060,50646,0
2022-12-08,6701.4,6701.4,6633.8,6663.8,29056,46919,0
2022-12-09,6666,6699.6,6613.2,6684.8,34377,48640,0
2022-12-12,6678,6691.6,6614,6654.6,36779,40334,0
2022-12-13,6659.8,6659.8,6590.6,6604.8,27158,36462,0
2022-12-14,6615,6638.4,6551.4,6573.6,30053,27501,0
2022-12-15,6564.8,6618.4,6547.6,6600.6,23979,15696,0
2022-12-16,6581,6597.8,6509.8,6515,14369,6155,0
2022-12-19,6524,6553.6,6377.2,6417,31461,44445,0
2022-12-20,6403,6418.6,6337.6,6350.4,31960,47112,0
2022-12-21,6356,6369.8,6248.8,6302.2,30254,46197,0
2022-12-22,6327.8,6333.6,6171.2,6206,32221,50546,0
2022-12-23,6182,6232.2,6130.4,6165.2,34624,49302,0
2022-12-26,6172.2,6305.4,6170.2,6285.2,33311,49953,0
2022-12-27,6305,6339,6265.4,6336.2,26878,46652,0
2022-12-28,6310,6318.4,6263.8,6293.4,22558,45214,0
2022-12-29,6279.8,6334.8,6260.8,6269.2,27458,46782,0
2022-12-30,6290.2,6304,6261,6285.8,21902,44071,0
2023-01-03,6280,6442.8,6276,6420,29613,46448,0
2023-01-04,6420,6439,6375,6414.4,22569,42870,0
2023-01-05,6433.8,6494,6408.2,6490.4,24379,42369,0
2023-01-06,6487.2,6543.6,6478.2,6505.2,23789,42744,0
2023-01-09,6518.2,6571,6513,6518.2,21905,41037,0
2023-01-10,6527,6546.6,6490.2,6532.2,17855,38530,0
2023-01-11,6539,6562.4,6481,6494.4,22001,38986,0
2023-01-12,6500,6541.6,6473.8,6492,24588,36807,0
2023-01-13,6509.8,6551.8,6481.2,6542.4,24189,33813,0
2023-01-16,6540,6658.8,6539.8,6597.4,31794,31869,0
2023-01-17,6606,6646.6,6592.6,6608.2,19735,26573,0
2023-01-18,6620.8,6653.8,6611.4,6621.2,18132,20699,0
2023-01-19,6607.8,6692.8,6587.4,6687.4,16681,13167,0
2023-01-20,6736.2,6777.6,6717.4,6777.6,23193,37954,0
2023-01-30,6881.2,6888,6791,6792.8,27391,40518,0
2023-01-31,6796.2,6848,6775.6,6818,23191,39733,0
2023-02-01,6831,6923,6822.2,6922.6,26743,41219,0
2023-02-02,6932.6,6983.4,6911.8,6928,28541,39990,0
2023-02-03,6910,6933,6825,6920,34786,41115,0
2023-02-06,6892.2,6924.6,6840.2,6893.6,30107,39194,0
2023-02-07,6907.4,6916,6840.8,6912.8,31160,40065,0
2023-02-08,6905.8,6926,6853,6865.8,26376,37234,0
2023-02-09,6841,7023,6838.4,7020.8,35972,41161,0
2023-02-10,7009.8,7023.8,6911,6977.6,34437,37468,0
2023-02-13,6968.4,7045,6960.2,7039.6,26143,33371,0
2023-02-14,7050.6,7065,7016,7055.6,19802,28634,0
2023-02-15,7051.4,7071.8,7025.6,7049.8,20524,23486,0
2023-02-16,7039.8,7077.8,6864.2,6909.2,49836,75848,0
2023-02-17,6928,6940.6,6842,6849.8,47096,79401,0
2023-02-20,6871,6928.8,6796,6922,45771,74754,0
2023-02-21,6925.4,6988.4,6890,6935.2,37792,73671,0
2023-02-22,6916,6989.8,6910.8,6968,32043,71937,0
2023-02-23,6968,6987.2,6883.8,6944.8,34847,72185,0
2023-02-24,6947,6966.4,6872.6,6928.6,31201,69442,0
2023-02-27,6903.2,6922.6,6830.8,6879.2,34001,70262,0
2023-02-28,6899,6954,6847.6,6937.4,35963,69823,0
2023-03-01,6927.4,6984.2,6912.4,6980.6,35047,66106,0
2023-03-02,6978,7013.6,6941.6,6961.6,30230,64064,0
2023-03-03,6955.2,6992.8,6899.4,6942,33740,64259,0
2023-03-06,6949,6990.8,6902.2,6956.4,31889,62252,0
2023-03-07,6950.8,6963.4,6844.8,6846.8,43995,67075,0
2023-03-08,6828,6889.6,6821.8,6871,31970,61834,0
2023-03-09,6876,6888.2,6833,6878.6,32424,61128,0
2023-03-10,6840.8,6863.8,6787.6,6798.4,38784,59243,0
2023-03-13,6792,6838,6744.4,6832.6,37275,53070,0
2023-03-14,6820.6,6830.6,6696.4,6775.8,43522,47626,0
2023-03-15,6800,6854.8,6786.8,6807.2,37688,32853,0
2023-03-16,6777,6791.8,6685.4,6706,31718,21210,0
2023-03-17,6742.4,6791.2,6726.2,6748.4,17456,7773,0
2023-03-20,6755,6762.4,6687,6719.8,31841,49582,0
2023-03-21,6740,6807.8,6731,6791.4,30156,47082,0
2023-03-22,6811,6841.8,6800.6,6825.6,22846,44365,0
2023-03-23,6816,6852.6,6808.8,6850.4,23663,45485,0
2023-03-24,6854.8,6870,6830,6857,21217,43286,0
2023-03-27,6857,6884.8,6815.8,6860,27156,44995,0
2023-03-28,6849,6861.8,6809,6827.4,26878,44055,0
2023-03-29,6849,6850,6786.8,6806,25258,44161,0
2023-03-30,6805,6821.6,6757.6,6821.6,30540,47259,0
2023-03-31,6824.2,6875,6813.2,6873.8,25374,43321,0
2023-04-03,6885,6959.8,6880,6940,27944,44490,0
2023-04-04,6946.4,6954.8,6907.6,6950.2,24433,41324,0
2023-04-06,6920,6967,6918,6959.4,23912,40626,0
2023-04-07,6973,7033.8,6961.4,7026.2,24909,38856,0
2023-04-10,7038,7047.6,6953.2,6971,28753,41153,0
2023-04-11,6981.4,6990.8,6946,6972.4,24815,38736,0
2023-04-12,6979,7012,6970.2,7002.2,23347,36965,0
2023-04-13,6995,7011.2,6959,6967,28815,38799,0
2023-04-14,6978.2,7015.8,6951,7004.2,31369,37197,0
2023-04-17,6999.6,7021.8,6985,7009.6,27294,32914,0
2023-04-18,6995,7006.2,6955.4,6980.2,28580,29928,0
2023-04-19,6973.6,7002.2,6945.8,6955.2,23503,22714,0
2023-04-20,6949.8,6963,6915.6,6955.8,20732,14165,0
2023-04-21,6950,6958.4,6808.2,6813.4,13464,4950,0
2023-04-24,6772.8,6775.4,6690.2,6722.2,33322,45278,0
2023-04-25,6705,6716.2,6523.4,6612,43556,55371,0
2023-04-26,6596.6,6665,6589.8,6629,38586,51289,0
2023-04-27,6601.2,6689.2,6601.2,6647.6,35246,53182,0
2023-04-28,6650,6743,6647.6,6738.4,30060,48065,0
2023-05-04,6723,6747.2,6689,6725.2,20870,45667,0
2023-05-05,6722.6,6724.6,6607.8,6650,30332,47530,0
2023-05-08,6660,6720.6,6657,6687.8,27149,44055,0
2023-05-09,6687.8,6703.2,6611.6,6613.6,31285,46862,0
2023-05-10,6613.8,6658,6580.8,6624.4,32100,45489,0
2023-05-11,6631.4,6655,6612,6615.6,21391,41262,0
2023-05-12,6604.6,6639.8,6528.8,6538.6,29289,42155,0
2023-05-15,6542.2,6586,6469.2,6577.2,33402,36453,0
2023-05-16,6587,6587,6497,6519.2,27729,31028,0
2023-05-17,6505,6566,6505,6544.8,25640,24501,0
2023-05-18,6565,6592.6,6548.2,6578.6,20494,15111,0
2023-05-19,6546,6608.2,6516,6590.6,40367,94122,0
2023-05-22,6585.2,6599.6,6531.8,6578.2,34161,89487,0
2023-05-23,6580,6593.4,6511.2,6513,35048,91477,0
2023-05-24,6503,6556.8,6467,6497,39161,90114,0
2023-05-25,6495,6539.8,6403.4,6476.8,43785,93782,0
2023-05-26,6470,6552.8,6431,6535.8,39756,87621,0
2023-05-29,6553,6578,6494.6,6525.4,31583,86931,0
2023-05-30,6520,6567.6,6454.2,6558,40319,88984,0
2023-05-31,6550,6573.6,6505,6547,34785,85351,0
2023-06-01,6530,6609.2,6510.4,6567.6,35493,86226,0
2023-06-02,6588.8,6635,6580.8,6612.4,31483,81837,0
2023-06-05,6620.4,6631.8,6595.6,6611.8,24732,79250,0
2023-06-06,6606,6606,6451,6467.8,43241,79589,0
2023-06-07,6479.8,6512,6456.6,6470.8,31666,72035,0
2023-06-08,6470.6,6471,6389.6,6438.4,39186,74478,0
2023-06-09,6449.8,6494,6418,6484,36363,67406,0
2023-06-12,6480,6540.8,6472.2,6513.2,37962,61749,0
2023-06-13,6503,6552.8,6503,6540,30729,49924,0
2023-06-14,6545.4,6581.6,6535.2,6566.6,35752,39532,0
2023-06-15,6579.6,6624.4,6560.2,6607.2,30058,22764,0
2023-06-16,6607.6,6671.8,6602.2,6665.4,16039,9968,0
2023-06-19,6639,6665.6,6635,6647.8,24948,53244,0
2023-06-20,6638.8,6679,6633.4,6652.2,23929,53015,0
2023-06-21,6637.6,6645,6524.8,6525.2,39072,59666,0
2023-06-26,6499,6519.2,6402,6427.2,44330,65924,0
2023-06-27,6434,6504.8,6422.8,6478.4,34201,61890,0
2023-06-28,6478.4,6478.4,6360,6463,44033,66545,0
2023-06-29,6453,6510.2,6447,6491.8,30886,59435,0
2023-06-30,6481.8,6596,6481.8,6575,30629,58677,0
2023-07-03,6599,6626,6556.8,6583.6,28321,55416,0
2023-07-04,6581.6,6614,6580,6613.4,19966,53072,0
2023-07-05,6609.6,6616,6552.8,6566.2,25538,54070,0
2023-07-06,6557,6606.8,6532,6535.6,28834,53982,0
2023-07-07,6531.6,6538.8,6468.2,6513,34158,57063,0
2023-07-10,6538,6551.8,6489.2,6520.4,25605,52112,0
2023-07-11,6528.2,6580,6508.4,6571,26892,52706,0
2023-07-12,6574.4,6578,6477.8,6483.8,30497,53020,0
2023-07-13,6501.2,6561.2,6501.2,6549.6,33558,53198,0
2023-07-14,6562,6571.6,6539,6541,23532,46673,0
