date,open,high,low,close,volume
2026-05-07,0.9196,0.9196,0.8985,0.8985,7328.0
2026-05-08,0.9208,0.9218,0.9208,0.9218,4823.0
2026-05-11,0.8718,0.9047,0.8388,0.8388,905381.0
2026-05-12,0.8445,0.8445,0.8415,0.8415,11494.0
2026-05-14,0.8357,0.8539,0.8357,0.852,552190.0
2026-05-15,0.9251,0.951,0.9088,0.9434,181895.0
2026-05-18,0.9331,0.9731,0.9331,0.9638,155536.0
2026-05-19,0.9876,1.006,0.9814,0.9858,89745.0
2026-05-20,0.9689,0.9689,0.963,0.963,101352.0
2026-05-21,0.8655,0.9712,0.8655,0.9712,110874.0
2026-05-22,0.9703,0.9703,0.9602,0.9602,96303.0
2026-05-25,0.9231,0.9331,0.9107,0.9108,23099.0
2026-05-26,0.9,0.9249,0.8832,0.8856,286076.0
2026-05-27,0.879,0.9998,0.879,0.9123,68397.0
2026-05-28,0.9556,0.9556,0.9006,0.9006,26462.0
2026-05-29,0.8797,0.9413,0.8797,0.9413,375304.0
2026-06-01,0.918,0.9496,0.902,0.9496,105521.0
2026-06-02,0.9362,0.9362,0.89,0.8916,86175.0
2026-06-03,0.8672,0.886,0.8672,0.886,72940.0
2026-06-04,0.8842,0.8842,0.8842,0.8842,5828.0
2026-06-05,0.909,0.9912,0.8942,0.9912,95721.0
2026-06-08,1.0847,1.0847,1.0847,1.0847,18960.0
2026-06-11,1.0511,1.0511,1.0511,1.0511,44070.0
2026-06-15,0.9516,0.956,0.9516,0.956,62670.0
2026-06-17,0.8974,0.8974,0.8852,0.8852,4800.0
2026-06-18,0.8448,0.8508,0.8433,0.8506,69830.0
2026-06-23,0.8331,0.9045,0.8331,0.9045,165846.0
2026-06-24,0.8612,0.871,0.8601,0.871,46561.0
2026-06-25,0.8153,0.8272,0.8153,0.8272,108680.0
2026-06-26,0.9658,0.9666,0.9259,0.9259,63818.0
2026-06-30,0.8882,0.8882,0.8882,0.8882,5182.0
2026-07-01,0.8562,0.8562,0.8175,0.8175,73388.0
2026-07-02,0.9315,0.9474,0.9273,0.9273,89578.0
2026-07-06,0.9335,0.9478,0.9318,0.9478,301950.0
2026-07-07,0.9932,0.9932,0.9806,0.9806,17174.0
2026-07-08,0.9431,0.9869,0.9431,0.9869,183690.0
2026-07-09,1.0134,1.0134,0.9065,0.9065,8773.0
2026-07-10,0.8675,0.9753,0.8675,0.9753,57383.0
2026-07-13,1.0194,1.045,1.0194,1.0435,44347.0
2026-07-14,1.0225,1.0225,0.9886,1.0208,39188.0
2026-07-15,0.9586,0.9844,0.9586,0.9715,159911.0
2026-07-16,1.0061,1.0279,1.0061,1.0279,4638.0
2026-07-17,1.1978,1.1978,1.1978,1.1978,2.0
2026-07-20,1.1212,1.1993,1.1212,1.1993,44473.0
2026-07-21,1.0573,1.0573,1.0573,1.0573,4323.0
2026-07-22,1.0,1.0158,1.0,1.0158,15057.0
2026-07-23,1.0105,1.0121,1.0046,1.0094,12724.0
2026-07-24,1.0585,1.0585,1.0332,1.0332,11544.0
2026-07-27,1.0769,1.0769,1.0332,1.0332,7853.0
2026-07-28,1.0617,1.1691,1.0617,1.1637,234999.0
2026-07-29,1.1771,1.1771,1.0987,1.0987,292127.0
2026-07-30,1.152,1.2497,1.1457,1.1457,531656.0
2026-07-31,1.0925,1.103,1.0925,1.103,52983.0
2026-08-03,1.1494,1.1589,1.1494,1.1589,110414.0
2026-08-04,1.1231,1.1231,1.12,1.12,22535.0
2026-08-05,1.1109,1.1109,1.038,1.0532,114116.0
2026-08-06,1.0525,1.0849,1.0525,1.0809,278655.0
2026-08-07,1.0626,1.0626,1.0285,1.0294,566155.0
2026-08-10,1.0203,1.0574,1.0203,1.0557,291822.0
2026-08-11,1.0148,1.0148,1.0148,1.0148,34470.0
2026-08-12,1.0375,1.0397,1.0375,1.0397,89810.0
2026-08-13,1.0014,1.0445,1.0014,1.0445,140823.0
2026-08-14,1.0567,1.0618,1.0567,1.0618,47736.0
2026-08-17,1.0416,1.0462,0.9827,0.9867,593163.0
2026-08-18,0.9843,1.0297,0.9823,1.0297,838087.0
2026-08-19,1.056,1.1358,1.056,1.1358,51196.0
2026-08-20,1.1208,1.1208,1.1208,1.1208,48280.0
2026-08-21,1.1572,1.1572,1.0823,1.0998,1346650.0
2026-08-24,1.0829,1.1625,1.0829,1.1625,154318.0
2026-08-25,1.1764,1.1764,1.1379,1.1379,329826.0
2026-08-26,1.1474,1.1474,1.0849,1.1071,1984354.0
2026-08-27,1.0915,1.0925,1.0708,1.0738,1084234.0
2026-08-28,1.0714,1.0831,1.0643,1.0831,93487.0
2026-08-31,1.1194,1.1354,1.0686,1.0704,1148509.0
2026-09-01,1.0785,1.0785,1.0627,1.0627,122830.0
2026-09-02,1.1478,1.1697,1.1358,1.1492,355971.0
2026-09-03,1.1226,1.1599,1.1167,1.1405,949865.0
2026-09-04,1.0937,1.1553,1.0878,1.1551,411341.0
2026-09-07,1.1111,1.1336,1.1111,1.1336,1817158.0
2026-09-08,1.1212,1.1344,1.1212,1.1344,30637.0
2026-09-09,1.1284,1.1401,1.1144,1.1144,759329.0
2026-09-10,1.1551,1.1551,1.1128,1.1325,1463404.0
2026-09-11,1.2049,1.2177,1.168,1.168,405590.0
2026-09-14,1.2065,1.2162,1.1854,1.198,1144095.0
2026-09-15,1.2129,1.2268,1.1851,1.2268,574119.0
2026-09-16,1.2494,1.252,1.205,1.205,104460.0
2026-09-17,1.2065,1.2202,1.2065,1.2202,8839.0
2026-09-18,1.1944,1.1953,1.1782,1.1792,217579.0
2026-09-21,1.1405,1.1635,1.1396,1.1495,37813.0
2026-09-22,1.0982,1.1272,1.0982,1.1272,6834.0
2026-09-23,1.1308,1.157,1.1291,1.1554,119476.0
