code,name,category,tracking_index,exchange,list_date,liquidity_tier,note
510050,华夏上证50ETF,broad,上证50,SSE,,A,
510300,华泰柏瑞沪深300ETF,broad,沪深300,SSE,,A,
510310,易方达沪深300ETF,broad,沪深300,SSE,,A,
510330,华夏沪深300ETF,broad,沪深300,SSE,,A,
510500,南方中证500ETF,broad,中证500,SSE,,A,
512100,南方中证1000ETF,broad,中证1000,SSE,,A,
159919,嘉实沪深300ETF,broad,沪深300,SZSE,,A,
159915,易方达创业板ETF,broad,创业板指,SZSE,,A,
159901,易方达深证100ETF,broad,深证100,SZSE,,A,
159949,华安创业板50ETF,broad,创业板50,SZSE,,A,
588000,华夏科创50ETF,broad,科创50,SSE,,A,
588080,易方达科创板50ETF,broad,科创50,SSE,,A,
512880,国泰证券ETF,industry,中证全指证券公司,SSE,,A,
512000,华宝券商ETF,industry,中证全指证券公司,SSE,,A,
512800,华宝银行ETF,industry,中证银行,SSE,,A,
512170,华宝医疗ETF,industry,中证医疗,SSE,,A,
512010,易方达医药ETF,industry,中证全指医药卫生,SSE,,B,
159928,汇添富消费ETF,industry,中证主要消费,SZSE,,A,
512690,鹏华酒ETF,industry,中证酒,SSE,,A,
512710,华夏军工ETF,industry,中证军工,SSE,,A,
512660,国泰军工ETF,industry,中证军工,SSE,,A,
512480,国联安半导体ETF,industry,中华半导体芯片,SSE,,A,
159995,华夏芯片ETF,industry,中华半导体芯片,SZSE,,A,
515050,华夏5GETF,industry,中证5G通信主题,SSE,,A,
515000,华夏科技ETF,industry,中证科技,SSE,,B,
512720,华夏计算机ETF,industry,中证计算机主题,SSE,,B,
512400,南方有色金属ETF,industry,中证申万有色金属,SSE,,B,
515790,光伏ETF,industry,中证光伏产业,SSE,,A,
515030,华夏新能源车ETF,industry,中证新能源汽车,SSE,,A,
159992,华夏创新药ETF,industry,中证创新药产业,SZSE,,A,
512980,广发传媒ETF,industry,中证传媒,SSE,,B,
512200,南方房地产ETF,industry,中证全指房地产,SSE,,B,
515220,国泰煤炭ETF,industry,中证煤炭,SSE,,B,
515170,华夏食品饮料ETF,industry,中证食品饮料,SSE,,B,
159996,华夏家电ETF,industry,中证全指家用电器,SZSE,,C,
513100,国泰纳指ETF,cross_border,纳斯达克100,SSE,,A,
513500,博时标普500ETF,cross_border,标普500,SSE,,A,
513050,易方达中概互联ETF,cross_border,中证海外中国互联网50,SSE,,A,
513180,华夏恒生科技ETF,cross_border,恒生科技指数,SSE,,A,
159920,华夏恒生ETF,cross_border,恒生指数,SZSE,,A,
513520,华夏日经ETF,cross_border,日经225,SSE,,B,
518880,华安黄金ETF,commodity,上海金集中定价,SSE,,A,
159934,易方达黄金ETF,commodity,上海金集中定价,SZSE,,A,
159980,大成有色期货ETF,commodity,有色金属期货价格指数,SZSE,,B,
159985,华夏豆粕ETF,commodity,大商所豆粕期货价格指数,SZSE,,B,
511260,国泰十年国债ETF,bond,上证10年期国债,SSE,,A,
511090,鹏华30年国债ETF,bond,上证30年期国债,SSE,,A,
511010,国泰5年国债ETF,bond,上证5年期国债,SSE,,B,
