industry,representative_etfs,sw_sector_note
非银金融,512880|512000,证券
银行,512800,银行
医药医疗,512170|512010|159992,医药生物
食品饮料,159928|512690|515170,食品饮料
军工,512710|512660,国防军工
半导体/芯片,512480|159995,电子
通信/5G,515050,通信
计算机/科技,515000|512720,计算机
有色金属,512400,有色金属
新能源,515030|515790,电力设备
传媒,512980,传媒
房地产,512200,房地产
煤炭,515220,煤炭
家电,159996,家用电器
黄金,518880|159934,有色金属(贵金属)
跨境/海外,513100|513500|513050|513180|159920|513520,海外资产
国债,511260|511090|511010,利率债
宽基-大盘,510050|510300|510310|510330|159919,跨行业
宽基-中盘,510500|159901,跨行业
宽基-小盘,512100,跨行业
宽基-成长,159915|159949|588000|588080,跨行业
