role,point,cost_mult,params,exit_patch,i_beats_rand_p95,ii_ann_pos,iii_dd_ok,iv_trades_ok,v_oos_ok,vi_beats_passive,decay_ok,green,full_sharpe,full_ann,full_dd,avg_hold_days,n_trades,oos_sharpe,oos_ann,worst_year,yearly
core,ce_base,1,"{""max_positions"": 5, ""position_size_pct"": 0.1}",,True,True,True,True,True,True,True,True,0.7583,0.019,-0.0569,9.4,814,1.3631,0.0302,,
core,ce_c2,1,"{""max_positions"": 5, ""position_size_pct"": 0.1}","{""loss_time_days"": 16}",True,True,True,True,True,True,True,True,0.8649,0.0217,-0.0543,10.55,731,1.9429,0.0424,,
core,ce_c3,1,"{""max_positions"": 5, ""position_size_pct"": 0.1, ""time_decay_period"": 25, ""time_decay_threshold"": 0.05}",,True,True,True,True,True,True,True,True,1.0867,0.0265,-0.0533,11.74,676,1.7885,0.0387,,
core,ce_c23,1,"{""max_positions"": 5, ""position_size_pct"": 0.1, ""time_decay_period"": 25, ""time_decay_threshold"": 0.05}","{""loss_time_days"": 16}",True,True,True,True,True,True,True,True,1.2109,0.0301,-0.0365,14.73,538,1.9555,0.0414,,
nbhd,ce_c23_L12,1,"{""max_positions"": 5, ""position_size_pct"": 0.1, ""time_decay_period"": 25, ""time_decay_threshold"": 0.05}","{""loss_time_days"": 12}",True,True,True,True,True,True,True,True,1.1093,0.0278,-0.0538,13.63,581,1.8937,0.0408,,
nbhd,ce_c23_L24,1,"{""max_positions"": 5, ""position_size_pct"": 0.1, ""time_decay_period"": 25, ""time_decay_threshold"": 0.05}","{""loss_time_days"": 24}",True,True,True,True,True,True,True,True,1.1987,0.0298,-0.0377,16.28,493,1.957,0.0414,,
nbhd,ce_c23_D20,1,"{""max_positions"": 5, ""position_size_pct"": 0.1, ""time_decay_period"": 20, ""time_decay_threshold"": 0.05}","{""loss_time_days"": 16}",True,True,True,True,True,True,True,True,1.089,0.0272,-0.0507,13.57,574,1.8815,0.0405,,
nbhd,ce_c23_D32,1,"{""max_positions"": 5, ""position_size_pct"": 0.1, ""time_decay_period"": 32, ""time_decay_threshold"": 0.05}","{""loss_time_days"": 16}",True,True,True,True,True,True,True,True,1.2109,0.0301,-0.0365,14.73,538,1.9555,0.0414,,
nbhd,ce_c23_tp1,1,"{""max_positions"": 5, ""position_size_pct"": 0.1, ""time_decay_period"": 25, ""time_decay_threshold"": 0.05, ""take_profit_levels"": [0.1, 0.25]}","{""loss_time_days"": 16, ""take_profit_fractions"": [0.5, 1.0]}",True,True,True,True,True,True,True,True,1.1824,0.0299,-0.0384,14.92,495,1.8592,0.0405,,
nbhd,ce_c23_trail4,1,"{""max_positions"": 5, ""position_size_pct"": 0.1, ""time_decay_period"": 25, ""time_decay_threshold"": 0.05, ""trailing_stop_activate"": 0.1}","{""loss_time_days"": 16}",True,True,True,True,True,True,True,True,1.2578,0.0307,-0.0378,15.24,522,2.0568,0.0424,,
stress,ce_c23_trail4_costx2,2,"{""max_positions"": 5, ""position_size_pct"": 0.1, ""time_decay_period"": 25, ""time_decay_threshold"": 0.05, ""trailing_stop_activate"": 0.1}","{""loss_time_days"": 16}",True,True,True,True,True,True,True,True,0.5338,0.0134,-0.0652,15.24,522,1.1659,0.0264,,
stress,ce_c23_trail4_costx3,3,"{""max_positions"": 5, ""position_size_pct"": 0.1, ""time_decay_period"": 25, ""time_decay_threshold"": 0.05, ""trailing_stop_activate"": 0.1}","{""loss_time_days"": 16}",False,False,True,True,True,False,False,,-0.1903,-0.0056,-0.1042,15.24,522,0.2928,0.0072,,
