cell,family,regime,kind,sharpe_full,annual_return,max_drawdown,worst_year,is2_sharpe,is2_annual,x2_full_sharpe,n_trades,n_entries,turnover,win_rate,line,line_ok,ci_ok,pass_v2
tsmom_120@daily,tsmom_120,daily,candidate,0.6096,0.1602,-0.7939,-0.6329,0.4398,0.007,0.5401,16764,8854,221322192580.0,0.6588,1.1463,False,False,False
tsmom_120@r20,tsmom_120,r20,candidate,0.3292,-0.062,-0.9109,-0.5738,0.1759,-0.226,0.3169,2652,711,18133947650.0,0.626,1.1463,False,False,False
tsmom_60@daily,tsmom_60,daily,candidate,0.7158,0.2724,-0.7912,-0.5106,-0.1549,-0.4181,0.6292,17778,9281,502419868530.0,0.6974,1.1463,False,True,False
tsmom_60@r20,tsmom_60,r20,candidate,0.2486,-0.126,-0.9323,-0.6448,0.0097,-0.2538,0.1987,2328,695,14493690990.0,0.5885,1.1463,False,False,False
tsmom_252@daily,tsmom_252,daily,candidate,0.6512,0.2145,-0.844,-0.4042,1.1118,0.7891,0.5739,12080,6580,99425674460.0,0.6485,1.1463,False,False,False
tsmom_252@r20,tsmom_252,r20,candidate,0.0265,-0.2126,-0.9307,-0.7096,0.177,-0.1128,-0.1559,900,356,2309056510.0,0.5092,1.1463,False,False,False
donchian_55_20@daily,donchian_55_20,daily,candidate,0.5324,0.0864,-0.8967,-0.6629,0.1049,-0.2803,0.4586,14237,7343,141399988800.0,0.7003,1.1463,False,False,False
donchian_55_20@r20,donchian_55_20,r20,candidate,0.0214,-0.2319,-0.9566,-0.7454,-0.1631,-0.237,0.0049,1007,396,4355746230.0,0.5237,1.1463,False,False,False
dual_ma_10_60@daily,dual_ma_10_60,daily,candidate,0.5966,0.1136,-0.8968,-0.4863,0.7291,0.2631,0.5432,15081,7947,120510303690.0,0.6686,1.1463,False,False,False
dual_ma_10_60@r20,dual_ma_10_60,r20,candidate,0.3741,-0.034,-0.8092,-0.5878,0.0452,-0.2773,0.3518,2759,774,21574861280.0,0.5798,1.1463,False,False,False
triple_ma_5_20_60@daily,triple_ma_5_20_60,daily,candidate,0.6149,0.1988,-0.7199,-0.3781,1.0692,0.7066,0.5492,9168,4721,98889814210.0,0.6488,1.1463,False,False,False
triple_ma_5_20_60@r20,triple_ma_5_20_60,r20,candidate,0.04,-0.2059,-0.9369,-0.5987,-0.3127,-0.3037,0.0394,966,436,7987574440.0,0.4623,1.1463,False,False,False
breakout_20@daily,breakout_20,daily,candidate,0.0304,-0.0941,-0.8942,-0.5239,0.9592,0.413,-0.5939,5391,2732,69344358020.0,0.4483,1.1463,False,False,False
breakout_20@r20,breakout_20,r20,candidate,0.0501,-0.0788,-0.8917,-0.4573,0.8823,0.2877,0.0223,433,212,8575693430.0,0.448,1.1463,False,False,False
vol_target_tsmom_60@daily,vol_target_tsmom_60,daily,candidate,0.7408,0.3164,-0.6635,-0.4006,-0.1471,-0.255,0.6499,15997,8321,458813408530.0,0.7121,1.1463,False,True,False
vol_target_tsmom_60@r20,vol_target_tsmom_60,r20,candidate,0.3179,-0.0207,-0.8423,-0.4757,0.328,-0.0031,0.2872,1332,582,15212458700.0,0.516,1.1463,False,False,False
null_0,random,r20,null,-0.0556,-0.1902,-0.9034,-0.5279,-0.4137,-0.334,,1007,480,9979339170.0,0.4915,,,,
null_1,random,r20,null,0.4737,0.1058,-0.7385,-0.4329,0.3769,0.0184,,1154,554,44973173320.0,0.5,,,,
null_2,random,r20,null,-0.2247,-0.2133,-0.9481,-0.6666,0.1325,-0.0263,,872,421,6426065630.0,0.4545,,,,
null_3,random,r20,null,-0.3197,-0.3003,-0.9751,-0.7113,-0.3046,-0.361,,943,400,8442483190.0,0.4254,,,,
null_4,random,r20,null,0.1817,-0.0706,-0.8896,-0.5368,0.3091,0.0281,,1237,541,23293762520.0,0.4325,,,,
null_5,random,r20,null,0.2581,-0.0347,-0.9039,-0.682,-0.0497,-0.2225,,1257,569,41792753270.0,0.4346,,,,
