cell,family,regime,kind,sharpe_full,annual_return,max_drawdown,worst_year,is2_sharpe,is2_annual,x2_full_sharpe,n_trades,n_entries,turnover,win_rate,line,line_ok,ci_ok,pass_v2
tsmom_120@daily,tsmom_120,daily,candidate,0.5417,0.0623,-0.9005,-0.7762,-0.0328,-0.3428,0.4696,14876,7842,268851034820.0,0.6321,1.4278,False,False,False
tsmom_120@r20,tsmom_120,r20,candidate,0.2176,-0.1685,-0.978,-0.614,-0.3974,-0.4922,0.2141,2205,590,18786254160.0,0.6043,1.4278,False,False,False
tsmom_60@daily,tsmom_60,daily,candidate,0.669,0.1898,-0.871,-0.6007,-0.6063,-0.6158,0.5756,16083,8352,490710696280.0,0.694,1.4278,False,True,False
tsmom_60@r20,tsmom_60,r20,candidate,0.0704,-0.2635,-0.9883,-0.7309,-1.0039,-0.5404,0.0603,1862,552,17215878330.0,0.574,1.4278,False,False,False
tsmom_252@daily,tsmom_252,daily,candidate,0.4512,0.0132,-0.8826,-0.4395,0.6644,0.2347,0.3952,8679,4619,31192554620.0,0.6148,1.4278,False,False,False
tsmom_252@r20,tsmom_252,r20,candidate,-0.2232,-0.3259,-0.9758,-0.6878,-1.1149,-0.4555,-0.2395,564,219,1449025830.0,0.4203,1.4278,False,False,False
donchian_55_20@daily,donchian_55_20,daily,candidate,0.5202,0.0421,-0.9013,-0.7116,-0.5197,-0.5859,0.4438,13843,7105,280812042730.0,0.6987,1.4278,False,False,False
donchian_55_20@r20,donchian_55_20,r20,candidate,-0.0662,-0.3155,-0.9775,-0.8198,-1.2456,-0.4144,-0.0717,881,336,4330668210.0,0.545,1.4278,False,False,False
dual_ma_10_60@daily,dual_ma_10_60,daily,candidate,0.5746,0.0457,-0.9563,-0.5272,0.367,-0.1098,0.5161,13992,7397,208349706960.0,0.6613,1.4278,False,False,False
dual_ma_10_60@r20,dual_ma_10_60,r20,candidate,0.1593,-0.2201,-0.9554,-0.6953,-0.8116,-0.5771,0.1387,2080,623,16177304900.0,0.5498,1.4278,False,False,False
triple_ma_5_20_60@daily,triple_ma_5_20_60,daily,candidate,0.5078,0.0903,-0.773,-0.4654,0.5286,0.1136,0.4392,8087,4122,92896651650.0,0.6462,1.4278,False,False,False
triple_ma_5_20_60@r20,triple_ma_5_20_60,r20,candidate,-0.0498,-0.2664,-0.9711,-0.681,-0.5924,-0.342,-0.0521,754,345,6742947570.0,0.4621,1.4278,False,False,False
breakout_20@daily,breakout_20,daily,candidate,-0.0725,-0.1531,-0.9009,-0.5078,0.4679,0.1141,-0.6841,4583,2327,64417079220.0,0.441,1.4278,False,False,False
breakout_20@r20,breakout_20,r20,candidate,-0.0479,-0.1372,-0.9049,-0.5379,-0.0514,-0.0711,-0.0581,392,189,8295688020.0,0.4138,1.4278,False,False,False
vol_target_tsmom_60@daily,vol_target_tsmom_60,daily,candidate,0.643,0.2303,-0.7422,-0.4639,-0.8483,-0.5165,0.5473,14653,7619,424776024940.0,0.709,1.4278,False,True,False
vol_target_tsmom_60@r20,vol_target_tsmom_60,r20,candidate,0.1633,-0.1387,-0.9578,-0.5537,-0.4024,-0.3097,0.1079,1119,485,17923466300.0,0.4968,1.4278,False,False,False
null_0,random,r20,null,0.5451,0.1506,-0.7684,-0.6051,-0.0546,-0.3218,,1218,486,72972065390.0,0.4508,,,,
null_1,random,r20,null,-0.0679,-0.2164,-0.9364,-0.6408,-1.1768,-0.5773,,1052,448,11099307330.0,0.4387,,,,
null_2,random,r20,null,-0.0944,-0.2338,-0.948,-0.8098,-1.1759,-0.643,,959,450,8657102280.0,0.4283,,,,
null_3,random,r20,null,-0.0261,-0.2015,-0.9129,-0.7574,-0.5912,-0.4803,,908,438,9594455240.0,0.4617,,,,
null_4,random,r20,null,-0.2703,-0.2986,-0.9813,-0.6877,-0.8702,-0.4091,,735,311,7535769710.0,0.441,,,,
null_5,random,r20,null,0.1972,-0.0715,-0.7641,-0.6064,0.1435,-0.0567,,1102,465,15379623480.0,0.4301,,,,
null_6,random,r20,null,-0.2315,-0.2958,-0.9767,-0.6866,-0.8409,-0.4689,,870,390,10562767890.0,0.4437,,,,
null_7,random,r20,null,0.3954,0.0462,-0.9214,-0.6286,0.3397,-0.0093,,1067,459,27078253790.0,0.4507,,,,
null_8,random,r20,null,0.7353,0.3083,-0.8812,-0.2383,0.6299,0.2182,,1146,492,110856772650.0,0.4755,,,,
null_9,random,r20,null,-0.7338,-0.4019,-0.9933,-0.7648,-0.4758,-0.0634,,561,236,3554346620.0,0.3692,,,,
null_10,random,r20,null,0.2399,-0.0504,-0.8718,-0.6844,0.4307,0.0805,,950,464,16229135350.0,0.465,,,,
null_11,random,r20,null,0.1611,-0.1231,-0.9204,-0.5462,0.7008,0.2673,,1069,460,14988090440.0,0.422,,,,
null_12,random,r20,null,0.216,-0.0833,-0.8817,-0.576,-0.8844,-0.5157,,1247,488,28927805720.0,0.4348,,,,
null_13,random,r20,null,-0.4921,-0.3689,-0.99,-0.6657,-0.0152,-0.0167,,612,264,7416542580.0,0.4397,,,,
null_14,random,r20,null,-0.9338,-0.4169,-0.9955,-0.8662,-0.0345,-0.0098,,426,190,3634804890.0,0.3856,,,,
null_15,random,r20,null,0.3194,-0.0051,-0.9224,-0.4918,0.1538,-0.0928,,1247,487,37535055980.0,0.4579,,,,
null_16,random,r20,null,-0.0631,-0.2001,-0.9577,-0.7567,0.5072,0.136,,830,364,8074974250.0,0.4592,,,,
null_17,random,r20,null,-0.4743,-0.3478,-0.9894,-0.7517,-0.9464,-0.1777,,600,280,4825198740.0,0.4156,,,,
null_18,random,r20,null,0.2563,-0.0501,-0.8823,-0.5876,-0.7176,-0.4208,,1174,478,38255876920.0,0.4612,,,,
null_19,random,r20,null,-0.1965,-0.2784,-0.9635,-0.5462,-0.7874,-0.4384,,927,409,10948919900.0,0.4131,,,,
null_20,random,r20,null,-0.3262,-0.3274,-0.9844,-0.7051,-0.7291,-0.5157,,647,313,3930076140.0,0.4251,,,,
null_21,random,r20,null,-0.0832,-0.2341,-0.9479,-0.6133,-1.069,-0.5785,,991,439,15987837430.0,0.4293,,,,
null_22,random,r20,null,-0.5789,-0.369,-0.9945,-0.8258,0.1877,0.0175,,514,227,6789784800.0,0.4042,,,,
null_23,random,r20,null,0.159,-0.0809,-0.9059,-0.708,0.037,-0.1012,,988,440,13636248910.0,0.438,,,,
null_24,random,r20,null,0.0029,-0.193,-0.936,-0.6513,-0.9701,-0.5703,,1018,428,14249128760.0,0.4424,,,,
null_25,random,r20,null,0.2554,-0.042,-0.9494,-0.5429,-0.7125,-0.5287,,1041,468,60843286270.0,0.4206,,,,
null_26,random,r20,null,0.069,-0.1536,-0.9343,-0.7305,1.3025,0.7678,,894,397,7428126490.0,0.3944,,,,
null_27,random,r20,null,0.3576,0.0214,-0.8798,-0.5,0.4146,0.0768,,1062,476,49270466660.0,0.4608,,,,
null_28,random,r20,null,-0.1907,-0.2582,-0.9882,-0.7884,0.4545,0.1078,,721,324,16507487280.0,0.4433,,,,
null_29,random,r20,null,-0.2654,-0.3048,-0.9784,-0.7044,-0.5145,-0.1847,,708,319,7000539970.0,0.4139,,,,
null_30,random,r20,null,0.2169,-0.0651,-0.8294,-0.4864,0.1645,-0.1012,,1049,480,24560088710.0,0.464,,,,
null_31,random,r20,null,0.3106,-0.0089,-0.9001,-0.5612,-0.3528,-0.3265,,1276,472,72404153340.0,0.4167,,,,
null_32,random,r20,null,0.3947,0.0471,-0.8657,-0.6716,1.2779,0.7689,,1019,464,11764267310.0,0.4829,,,,
null_33,random,r20,null,0.503,0.1246,-0.758,-0.4934,1.427,1.0426,,1033,477,21461180140.0,0.4299,,,,
null_34,random,r20,null,0.3949,0.0367,-0.8499,-0.6046,0.6016,0.1882,,1058,480,24529002640.0,0.436,,,,
null_35,random,r20,null,-0.4802,-0.3617,-0.9875,-0.7722,-0.5562,-0.1113,,616,278,4973356070.0,0.4053,,,,
null_36,random,r20,null,-0.0623,-0.2088,-0.971,-0.7045,0.6937,0.2212,,798,347,8466582510.0,0.4302,,,,
null_37,random,r20,null,0.3165,-0.0172,-0.8487,-0.5297,-0.483,-0.4139,,1255,517,35249426970.0,0.4363,,,,
null_38,random,r20,null,-0.1245,-0.2437,-0.9778,-0.6326,-0.4473,-0.2915,,979,419,21599171470.0,0.4143,,,,
null_39,random,r20,null,0.4648,0.092,-0.7813,-0.4108,0.668,0.2429,,1160,478,52203079060.0,0.4238,,,,
null_40,random,r20,null,0.0723,-0.1595,-0.9359,-0.8068,-2.0221,-0.7662,,1152,464,32797686540.0,0.4317,,,,
null_41,random,r20,null,-0.5704,-0.336,-0.9834,-0.7463,0.7315,0.1188,,572,246,3483560380.0,0.3957,,,,
null_42,random,r20,null,-0.1554,-0.2529,-0.9594,-0.6219,-1.8759,-0.6662,,1092,443,15797028940.0,0.4022,,,,
null_43,random,r20,null,0.2789,-0.056,-0.9583,-0.8948,0.1369,-0.1204,,1189,498,45886337120.0,0.4472,,,,
null_44,random,r20,null,-0.0803,-0.2229,-0.9367,-0.5988,-0.0305,-0.1033,,906,407,9302224020.0,0.4569,,,,
null_45,random,r20,null,-0.4609,-0.3348,-0.9843,-0.8851,-1.5131,-0.3043,,584,274,6391275120.0,0.4452,,,,
null_46,random,r20,null,0.1129,-0.1255,-0.9195,-0.6133,-0.0052,-0.1608,,1073,458,17711904720.0,0.4098,,,,
null_47,random,r20,null,0.1058,-0.1484,-0.948,-0.6742,-0.9492,-0.6198,,1054,490,20798861480.0,0.4397,,,,
null_48,random,r20,null,-0.3294,-0.2968,-0.9708,-0.5108,-0.5436,-0.2288,,751,309,5836595060.0,0.3891,,,,
null_49,random,r20,null,-0.3092,-0.3073,-0.974,-0.6598,-0.9068,-0.4003,,786,359,8731089960.0,0.4169,,,,
passive_long_r20,passive_long,passive_long_r20,passive,0.7594,0.3025,-0.8132,-0.4842,1.1789,0.8806,,2746,766,30447083570.0,0.5389,,,,
passive_long_monthly,passive_long,passive_long_monthly,passive,0.725,0.2579,-0.8547,-0.553,1.1664,0.8618,,2667,744,24890463740.0,0.5356,,,,
