cell,leg,family,regime,kind,sharpe_full,annual_return,max_drawdown,worst_year,is2_sharpe,is2_annual,deep_sharpe,wide_sharpe,x2_full_sharpe,x3_full_sharpe,n_trades,n_entries,turnover,win_rate,margin_usage_max_ratio,line,line_ok,ci_ok,pass_v2
tsmom_20@daily,A,tsmom_20,daily,candidate,0.6423,0.2103,-0.8126,-0.5706,0.788,0.3558,0.722,0.6,0.525,0.4022,27018,13941,4580093691590.0,0.6804,0.999714,1.0565,False,True,False
tsmom_20@r20,A,tsmom_20,r20,candidate,0.3031,-0.058,-0.9394,-0.8196,0.3345,-0.0424,0.2997,0.301,0.265,0.226,2381,973,19117958570.0,0.478,0.999986,1.0565,False,False,False
tsmom_40@daily,A,tsmom_40,daily,candidate,0.4943,0.0733,-0.9624,-0.8038,0.6146,0.1648,0.6641,0.386,0.4098,0.3253,22356,11479,512975322530.0,0.6748,0.998679,1.0565,False,True,False
tsmom_40@r20,A,tsmom_40,r20,candidate,-0.169,-0.2505,-0.9965,-0.7604,-0.4813,-0.0618,0.0064,-0.4168,-0.185,-0.1913,535,290,2046722520.0,0.3837,0.99913,1.0565,False,False,False
donchian_20_10@daily,A,donchian_20_10,daily,candidate,0.5508,0.1278,-0.9266,-0.8469,0.722,0.277,0.8527,0.3601,0.4553,0.3634,23136,11769,1063454735180.0,0.6779,0.999902,1.0565,False,True,False
donchian_20_10@r20,A,donchian_20_10,r20,candidate,0.231,-0.1014,-0.9722,-0.7207,0.4887,0.1176,0.4336,0.0688,0.2152,0.1986,1924,823,18156103170.0,0.4323,0.999995,1.0565,False,False,False
donchian_120_50@daily,A,donchian_120_50,daily,candidate,0.7098,0.2857,-0.826,-0.4394,0.4591,0.0511,0.7614,0.6839,0.664,0.6183,22906,12054,3654448286930.0,0.7433,0.999966,1.0565,False,True,False
donchian_120_50@r20,A,donchian_120_50,r20,candidate,0.2644,-0.0752,-0.9549,-0.6102,-0.8033,-0.5862,0.381,0.1772,0.2465,0.2461,1973,668,17150558960.0,0.59,0.999994,1.0565,False,False,False
dual_ma_20_100@daily,A,dual_ma_20_100,daily,candidate,0.62,0.1989,-0.7626,-0.617,-0.1113,-0.3519,0.5328,0.6896,0.5858,0.5518,22778,11856,1852378478180.0,0.6333,0.999835,1.0565,False,True,False
dual_ma_20_100@r20,A,dual_ma_20_100,r20,candidate,-0.0387,-0.2022,-0.9949,-0.8645,-0.5826,-0.1492,0.031,-0.1146,-0.0424,-0.0505,691,336,4261408420.0,0.5014,0.999355,1.0565,False,False,False
