member,cell,full_off,full_cell,d_full,oos_off,oos_cell,d_oos,ann_off,ann_cell,d_ann,dd_off,dd_cell,d_dd,trades_off,trades_cell,worst_year_off,worst_year_cell,win
COMPOSITE-CE-01,ov_tp_ladder,0.8101,0.8402,0.0301,1.602,1.7406,0.1386,0.0575,0.0559,-0.0016,-0.1633,-0.1592,0.0041,474,493,-0.1121,-0.1133,True
COMPOSITE-CE-01,ov_trail_peak,0.8101,0.752,-0.0581,1.602,1.4887,-0.1133,0.0575,0.0534,-0.0041,-0.1633,-0.1674,-0.0041,474,470,-0.1121,-0.1237,False
COMPOSITE-CE-01,ov_dd_control,0.8101,0.7109,-0.0992,1.602,1.5802,-0.0218,0.0575,0.0471,-0.0104,-0.1633,-0.147,0.0163,474,482,-0.1121,-0.1037,False
COMPOSITE-CE-01,ov_full,0.8101,0.7245,-0.0856,1.602,1.7253,0.1233,0.0575,0.0442,-0.0133,-0.1633,-0.1424,0.0209,474,492,-0.1121,-0.1042,False
COMPOSITE-CE-02,ov_tp_ladder,0.6073,0.6245,0.0172,1.4674,1.6358,0.1684,0.0687,0.0684,-0.0003,-0.2217,-0.2139,0.0078,795,825,0.0028,-0.0072,True
COMPOSITE-CE-02,ov_trail_peak,0.6073,0.5662,-0.0411,1.4674,1.2528,-0.2146,0.0687,0.0627,-0.006,-0.2217,-0.2291,-0.0074,795,793,0.0028,-0.0185,False
COMPOSITE-CE-02,ov_dd_control,0.6073,0.7464,0.1391,1.4674,1.47,0.0026,0.0687,0.0593,-0.0094,-0.2217,-0.169,0.0527,795,799,0.0028,-0.0548,True
COMPOSITE-CE-02,ov_full,0.6073,0.7815,0.1742,1.4674,1.6191,0.1517,0.0687,0.0598,-0.0089,-0.2217,-0.1614,0.0603,795,822,0.0028,-0.0576,True
DROUGHT-CE-01,ov_tp_ladder,0.7235,0.7201,-0.0034,1.2101,1.2036,-0.0065,0.0227,0.0226,-0.0001,-0.0476,-0.0477,-0.0001,120,121,-0.0136,-0.0136,False
DROUGHT-CE-01,ov_trail_peak,0.7235,0.7196,-0.0039,1.2101,1.2101,0.0,0.0227,0.0226,-0.0001,-0.0476,-0.0476,0.0,120,119,-0.0136,-0.0144,False
DROUGHT-CE-01,ov_dd_control,0.7235,0.7235,0.0,1.2101,1.2101,0.0,0.0227,0.0227,0.0,-0.0476,-0.0476,0.0,120,120,-0.0136,-0.0136,False
DROUGHT-CE-01,ov_full,0.7235,0.715,-0.0085,1.2101,1.2036,-0.0065,0.0227,0.0224,-0.0003,-0.0476,-0.0477,-0.0001,120,120,-0.0136,-0.0147,False
ENGULF-CE-01,ov_tp_ladder,0.5389,0.5422,0.0033,0.2937,0.2926,-0.0011,0.0172,0.017,-0.0002,-0.0423,-0.0403,0.002,143,146,-0.0128,-0.0118,False
ENGULF-CE-01,ov_trail_peak,0.5389,0.5549,0.016,0.2937,0.3564,0.0627,0.0172,0.018,0.0008,-0.0423,-0.0452,-0.0029,143,146,-0.0128,-0.0103,True
ENGULF-CE-01,ov_dd_control,0.5389,0.5389,0.0,0.2937,0.2937,0.0,0.0172,0.0172,0.0,-0.0423,-0.0423,0.0,143,143,-0.0128,-0.0128,False
ENGULF-CE-01,ov_full,0.5389,0.5535,0.0146,0.2937,0.3826,0.0889,0.0172,0.0177,0.0005,-0.0423,-0.0426,-0.0003,143,150,-0.0128,-0.0103,True
NEEDLE-DE-01,ov_tp_ladder,0.662,0.6576,-0.0044,0.4079,0.4108,0.0029,0.0167,0.0166,-0.0001,-0.0282,-0.0282,0.0,73,73,0.0,0.0,False
NEEDLE-DE-01,ov_trail_peak,0.662,0.5961,-0.0659,0.4079,0.2738,-0.1341,0.0167,0.015,-0.0017,-0.0282,-0.0283,-0.0001,73,70,0.0,-0.0013,False
NEEDLE-DE-01,ov_dd_control,0.662,0.662,0.0,0.4079,0.4079,0.0,0.0167,0.0167,0.0,-0.0282,-0.0282,0.0,73,73,0.0,0.0,False
NEEDLE-DE-01,ov_full,0.662,0.5897,-0.0723,0.4079,0.2988,-0.1091,0.0167,0.0148,-0.0019,-0.0282,-0.0284,-0.0002,73,71,0.0,-0.0001,False
VOLATILITY-CE-01,ov_tp_ladder,1.2465,1.2023,-0.0442,2.0009,2.023,0.0221,0.0304,0.029,-0.0014,-0.0378,-0.0394,-0.0016,522,525,-0.0123,-0.0153,False
VOLATILITY-CE-01,ov_trail_peak,1.2465,1.2341,-0.0124,2.0009,1.9838,-0.0171,0.0304,0.03,-0.0004,-0.0378,-0.0423,-0.0045,522,523,-0.0123,-0.0166,False
VOLATILITY-CE-01,ov_dd_control,1.2465,1.2465,0.0,2.0009,2.0009,0.0,0.0304,0.0304,0.0,-0.0378,-0.0378,0.0,522,522,-0.0123,-0.0123,False
VOLATILITY-CE-01,ov_full,1.2465,1.1927,-0.0538,2.0009,1.9998,-0.0011,0.0304,0.0287,-0.0017,-0.0378,-0.0439,-0.0061,522,526,-0.0123,-0.0195,False
