family,point,cost_mult,params,i_beats_rand_p95,ii_ann_pos,iii_dd_ok,iv_trades_ok,v_oos_ok,vi_beats_passive,decay_ok,green,full_sharpe,full_ann,full_dd,n_trades,oos_sharpe,oos_ann,worst_year,yearly
A,triple_ma_5_20_60,1,{},True,True,True,True,True,True,True,True,0.5481,0.0322,-0.0787,924,0.8884,0.0568,-0.0244,"{""2020"": 0.1355, ""2021"": -0.0037, ""2022"": -0.0134, ""2023"": -0.0082, ""2024"": 0.0065, ""2025"": 0.1141, ""2026"": -0.0244}"
A,triple_ma_3_20_60,1,{},True,True,True,True,True,True,False,False,0.4443,0.0265,-0.0886,983,0.369,0.0254,,
A,triple_ma_10_20_60,1,{},True,True,True,True,True,True,True,True,0.67,0.0383,-0.0703,869,0.8085,0.0512,,
A,triple_ma_5_10_60,1,{},False,True,True,True,True,False,False,False,0.3153,0.0185,-0.1161,1185,0.2851,0.0191,,
A,triple_ma_5_40_60,1,{},False,True,True,True,True,False,False,False,0.1181,0.0057,-0.169,799,0.2471,0.0174,,
A,triple_ma_5_20_40,1,{},False,True,True,True,True,False,False,False,0.2747,0.0165,-0.1022,942,0.6072,0.0457,,
A,triple_ma_5_20_120,1,{},False,True,True,True,True,False,True,False,0.1756,0.0093,-0.1539,870,0.8757,0.0659,,
B,high252_w252_k5_r20,1,"{""max_positions"": 5, ""position_size_pct"": 0.19}",True,True,True,True,True,True,True,True,0.4378,0.0428,-0.2646,575,0.8892,0.1081,-0.1857,"{""2020"": 0.0486, ""2021"": 0.0837, ""2022"": -0.1857, ""2023"": 0.0812, ""2024"": 0.089, ""2025"": 0.0965, ""2026"": 0.0716}"
B,high252_w126_k5_r20,1,"{""max_positions"": 5, ""position_size_pct"": 0.19}",True,True,True,True,True,True,True,True,0.6509,0.086,-0.1506,644,0.7584,0.0644,,
B,high252_w504_k5_r20,1,"{""max_positions"": 5, ""position_size_pct"": 0.19}",False,True,True,True,True,False,True,False,0.3027,0.0268,-0.2402,422,0.9581,0.1348,,
B,high252_w252_k3_r20,1,"{""max_positions"": 3, ""position_size_pct"": 0.3167}",True,True,True,True,True,True,False,False,0.5481,0.0476,-0.141,338,0.1265,0.0077,,
B,high252_w252_k8_r20,1,"{""max_positions"": 8, ""position_size_pct"": 0.1187}",True,True,True,True,True,True,False,False,0.4672,0.0543,-0.2783,929,0.565,0.0565,,
B,high252_w252_k5_r10,1,"{""max_positions"": 5, ""position_size_pct"": 0.19}",True,True,True,True,True,True,False,False,0.4237,0.0373,-0.1605,639,0.1494,0.0111,,
B,high252_w252_k5_r40,1,"{""max_positions"": 5, ""position_size_pct"": 0.19}",False,True,True,True,True,False,False,False,0.1589,0.0119,-0.3306,527,0.5743,0.0753,,
A,triple_ma_5_20_60_costx2,2,{},False,True,True,True,True,False,False,False,0.1428,0.0073,-0.1612,924,0.4947,0.0345,,
A,triple_ma_5_20_60_costx3,3,{},False,False,True,True,True,False,False,,-0.2603,-0.0215,-0.2671,924,0.1012,0.005,,
B,high252_prox_top5_r20_costx2,2,"{""max_positions"": 5, ""position_size_pct"": 0.19}",False,True,True,True,True,False,False,False,0.2581,0.0231,-0.2815,565,0.6219,0.0785,,
B,high252_prox_top5_r20_costx3,3,"{""max_positions"": 5, ""position_size_pct"": 0.19}",False,False,True,True,True,False,False,,0.0574,-0.0006,-0.2843,542,0.3241,0.038,,
