name,exit_regime,cost_face,status,n_trades,n_entries,annual_return,sharpe,max_drawdown,oos_sharpe,oos_annual_return,skill_line,g1_pass,d6_registered_ok,d6_same_batch,max_corr_vs_registered,note
grid_channel_harvest,default,x1,ok,691,641,-0.051,-0.4091,-0.4491,-0.1403,-0.0179,1.1068,False,True,unique,0.3301,
grid_channel_harvest,default,x2,ok,676,625,-0.0502,-0.1958,-0.5441,-0.8626,-0.092,1.1068,False,True,unique,0.3301,
grid_channel_harvest,ce,x1,ok,520,470,-0.0007,0.0683,-0.4166,-0.054,-0.0101,1.1068,False,True,unique,0.2419,
grid_channel_harvest,ce,x2,ok,472,429,-0.0856,-0.7303,-0.5203,-0.6633,-0.0724,1.1068,False,True,unique,0.2419,
rand_default_p0.02_s0,default,x1,ok,,,-0.0088,-0.0834,-0.1908,-0.0073,-0.0035,,,,,,p=0.02 seed=55500
rand_default_p0.02_s1,default,x1,ok,,,0.0042,0.0972,-0.2132,1.0827,0.0791,,,,,,p=0.02 seed=55501
rand_default_p0.02_s2,default,x1,ok,,,0.0378,0.4314,-0.2225,1.1029,0.0642,,,,,,p=0.02 seed=55502
rand_default_p0.02_s3,default,x1,ok,,,0.0102,0.1823,-0.1339,0.4401,0.0297,,,,,,p=0.02 seed=55503
rand_default_p0.02_s4,default,x1,ok,,,-0.0115,-0.0938,-0.3621,1.0831,0.0841,,,,,,p=0.02 seed=55504
rand_default_p0.02_s5,default,x1,ok,,,0.0031,0.0789,-0.2375,0.6715,0.0484,,,,,,p=0.02 seed=55505
rand_default_p0.02_s6,default,x1,ok,,,0.0051,0.1087,-0.1542,0.4417,0.0303,,,,,,p=0.02 seed=55506
rand_default_p0.02_s7,default,x1,ok,,,-0.0212,-0.2348,-0.2654,0.2283,0.0171,,,,,,p=0.02 seed=55507
rand_default_p0.02_s8,default,x1,ok,,,0.0088,0.1526,-0.2457,1.725,0.1305,,,,,,p=0.02 seed=55508
rand_default_p0.02_s9,default,x1,ok,,,0.0317,0.4418,-0.1768,1.5445,0.0924,,,,,,p=0.02 seed=55509
rand_default_p0.02_s10,default,x1,ok,,,-0.0242,-0.2559,-0.2997,0.4561,0.0364,,,,,,p=0.02 seed=55510
rand_default_p0.02_s11,default,x1,ok,,,-0.0383,-0.3726,-0.3644,0.3026,0.0267,,,,,,p=0.02 seed=55511
rand_default_p0.02_s12,default,x1,ok,,,0.0059,0.1154,-0.2652,0.8627,0.0649,,,,,,p=0.02 seed=55512
rand_default_p0.02_s13,default,x1,ok,,,-0.0099,-0.0562,-0.2994,0.5512,0.0454,,,,,,p=0.02 seed=55513
rand_default_p0.02_s14,default,x1,ok,,,-0.013,-0.1297,-0.2787,1.2378,0.0961,,,,,,p=0.02 seed=55514
rand_default_p0.02_s15,default,x1,ok,,,0.002,0.0636,-0.2325,0.9447,0.0759,,,,,,p=0.02 seed=55515
rand_default_p0.02_s16,default,x1,ok,,,-0.014,-0.1655,-0.1848,0.0941,0.0044,,,,,,p=0.02 seed=55516
rand_default_p0.02_s17,default,x1,ok,,,0.0263,0.3657,-0.205,1.2328,0.0832,,,,,,p=0.02 seed=55517
rand_default_p0.02_s18,default,x1,ok,,,-0.0116,-0.1166,-0.2735,0.5029,0.0368,,,,,,p=0.02 seed=55518
rand_default_p0.02_s19,default,x1,ok,,,-0.0249,-0.2571,-0.2727,0.1081,0.0058,,,,,,p=0.02 seed=55519
rand_default_p0.02_s20,default,x1,ok,,,-0.0117,-0.1224,-0.245,0.6548,0.054,,,,,,p=0.02 seed=55520
rand_default_p0.02_s21,default,x1,ok,,,0.0366,0.3912,-0.1873,0.721,0.0428,,,,,,p=0.02 seed=55521
rand_default_p0.02_s22,default,x1,ok,,,-0.0235,-0.2772,-0.2795,0.464,0.0367,,,,,,p=0.02 seed=55522
rand_default_p0.02_s23,default,x1,ok,,,-0.0055,-0.0399,-0.2268,0.0832,0.0034,,,,,,p=0.02 seed=55523
rand_default_p0.02_s24,default,x1,ok,,,-0.004,-0.0166,-0.2379,1.1323,0.0887,,,,,,p=0.02 seed=55524
rand_default_p0.05_s25,default,x1,ok,,,-0.035,-0.3092,-0.3742,0.6248,0.0596,,,,,,p=0.05 seed=55525
rand_default_p0.05_s26,default,x1,ok,,,-0.0038,-0.0118,-0.2345,0.7353,0.0571,,,,,,p=0.05 seed=55526
rand_default_p0.05_s27,default,x1,ok,,,0.0196,0.3071,-0.1825,0.915,0.0686,,,,,,p=0.05 seed=55527
rand_default_p0.05_s28,default,x1,ok,,,-0.0212,-0.2129,-0.292,0.067,0.0017,,,,,,p=0.05 seed=55528
rand_default_p0.05_s29,default,x1,ok,,,-0.029,-0.3051,-0.3152,0.2044,0.0152,,,,,,p=0.05 seed=55529
rand_default_p0.05_s30,default,x1,ok,,,-0.0169,-0.1359,-0.3947,1.6101,0.1558,,,,,,p=0.05 seed=55530
rand_default_p0.05_s31,default,x1,ok,,,0.0317,0.3752,-0.1274,1.1355,0.0789,,,,,,p=0.05 seed=55531
rand_default_p0.05_s32,default,x1,ok,,,-0.0075,-0.0535,-0.2237,0.5801,0.0463,,,,,,p=0.05 seed=55532
