cell,kind,sharpe_full,annual_return,max_drawdown,worst_year,is2_sharpe,is2_annual,x2_full_sharpe,x3_full_sharpe,jul2026_x2_month_ret,n_trades,n_entries,turnover,win_rate,skill_line,line_ok,ci_ok,entries_ok,pass_v2,d6_max_abs_corr,d6_reject,survival_ok,g2_eligible
carry_pair_always_on,candidate,-0.136,-0.0239,-0.2054,-0.0454,-0.1147,-0.0235,-0.3663,-0.1378,-0.0148,244,122,322777760.0,0.5246,2.278,False,False,True,False,0.0889,False,True,False
spread_reversion_ma60,candidate,0.5676,0.0359,-0.1292,0.0,1.3979,0.0848,0.5634,0.5185,0.0047,58,30,326234000.0,0.5357,2.278,False,False,True,False,0.1003,False,True,False
null_0,null,-0.1463,-0.02,-0.1375,-0.0558,0.1732,0.0132,,,,101,51,1089521240.0,0.5,,,,,,,,,
null_1,null,0.5916,0.0555,-0.1055,-0.0209,0.4568,0.0487,,,,101,52,1456552160.0,0.5306,,,,,,,,,
null_2,null,-0.9979,-0.1122,-0.4356,-0.2056,-1.7236,-0.1911,,,,93,49,962943240.0,0.4545,,,,,,,,,
null_3,null,-0.3724,-0.0418,-0.2533,-0.1422,-0.4412,-0.0454,,,,96,46,1130247160.0,0.52,,,,,,,,,
null_4,null,0.101,0.0051,-0.1134,-0.0589,0.7988,0.0843,,,,95,46,1030876320.0,0.4898,,,,,,,,,
null_5,null,0.1117,0.0063,-0.2175,-0.0963,-0.7119,-0.0846,,,,102,51,1225030000.0,0.4902,,,,,,,,,
null_6,null,-0.3228,-0.0409,-0.2641,-0.1357,-0.3377,-0.0408,,,,102,50,1184336800.0,0.4615,,,,,,,,,
null_7,null,0.6972,0.0607,-0.1317,-0.0411,1.3696,0.1148,,,,86,45,1120736400.0,0.5122,,,,,,,,,
null_8,null,0.4496,0.0427,-0.1174,-0.0586,0.6697,0.076,,,,113,61,1393165000.0,0.4615,,,,,,,,,
null_9,null,-0.3051,-0.0369,-0.2142,-0.0582,-0.3316,-0.037,,,,104,54,1121380320.0,0.52,,,,,,,,,
null_10,null,-0.5711,-0.0571,-0.2693,-0.1386,-0.1465,-0.0164,,,,94,48,1031503560.0,0.5,,,,,,,,,
null_11,null,-0.1455,-0.0199,-0.2925,-0.1448,-0.6678,-0.0762,,,,92,50,1113848360.0,0.4762,,,,,,,,,
null_12,null,0.4545,0.0429,-0.1173,-0.0431,0.8926,0.0904,,,,119,63,1609005400.0,0.5,,,,,,,,,
null_13,null,0.8903,0.0885,-0.0828,-0.0402,0.6098,0.0625,,,,108,57,1500919960.0,0.5098,,,,,,,,,
null_14,null,0.3115,0.0251,-0.1497,-0.0441,-0.3456,-0.0434,,,,94,51,1223259080.0,0.5349,,,,,,,,,
null_15,null,0.44,0.0437,-0.1672,-0.0107,0.4724,0.0463,,,,106,53,1430903400.0,0.5472,,,,,,,,,
null_16,null,-0.0688,-0.0106,-0.2168,-0.144,-0.4208,-0.0489,,,,93,47,1217610880.0,0.5,,,,,,,,,
null_17,null,-0.6077,-0.0658,-0.2605,-0.0846,-0.4554,-0.0595,,,,103,51,1035713280.0,0.5192,,,,,,,,,
null_18,null,0.4854,0.0421,-0.0723,-0.0203,0.2486,0.0207,,,,90,47,1105595520.0,0.4651,,,,,,,,,
null_19,null,-0.1465,-0.0193,-0.1712,-0.0769,-0.0266,-0.0108,,,,100,52,1125540760.0,0.5,,,,,,,,,
