kind,id,cost_mult,full_sharpe,full_ann,full_dd,n_trades,n_entries,is2_sharpe,is2_ann,worst_year,anchor_ok
member,COMPOSITE-CE-01,1,0.8114,0.0576,-0.1633,474,392,1.6085,0.1441,-0.1121,True
member,COMPOSITE-CE-01,2,0.5228,0.0377,-0.1805,464,382,1.2661,0.1234,-0.1246,True
member,COMPOSITE-CE-02,1,0.6099,0.0691,-0.2217,795,626,1.4853,0.1089,0.0028,True
member,COMPOSITE-CE-02,2,0.4311,0.0489,-0.2531,791,623,1.1075,0.0885,-0.0151,True
member,DROUGHT-CE-01,1,0.724,0.0228,-0.0476,120,116,1.213,0.0408,-0.0136,True
member,DROUGHT-CE-01,2,0.5902,0.0185,-0.05,120,116,1.0462,0.0354,-0.0192,True
member,ENGULF-CE-01,1,0.5392,0.0172,-0.0423,143,119,0.2944,0.0091,-0.0128,True
member,ENGULF-CE-01,2,0.4023,0.0128,-0.0464,143,119,0.1301,0.0038,-0.0174,True
member,NEEDLE-DE-01,1,0.6624,0.0168,-0.0282,73,62,0.4089,0.0119,0.0,True
member,NEEDLE-DE-01,2,0.5738,0.0144,-0.0297,73,62,0.3199,0.0093,0.0,True
member,VOLATILITY-CE-01,1,1.2578,0.0307,-0.0378,522,483,2.0568,0.0424,-0.0123,True
member,VOLATILITY-CE-01,2,0.5338,0.0134,-0.0652,522,483,1.1659,0.0264,-0.0322,True
portfolio,IV6,1,1.3702,0.0279,-0.0242,2127,1798,1.7119,0.042,0.0001,
portfolio,IV6,2,0.8989,0.0186,-0.034,2127,1798,1.2387,0.0316,-0.0078,
portfolio-repro,EW6-repro,1,1.1438,0.0368,-0.0567,2127,1798,1.7727,0.0624,-0.0094,
portfolio-repro,EW6-repro,2,0.7574,0.0248,-0.072,2127,1798,1.3171,0.0488,-0.0188,
