name,family,exit_regime,status,n_trades,oos_trades,annual_return,sharpe,max_drawdown,win_rate,oos_sharpe,oos_annual_return,oos_max_drawdown,i_bar,vi_bar,g1_pass,sleeve_tag,x2_full_sharpe,x2_oos_sharpe,max_corr,note
low_vol_60_k1,low_vol,default,ok,141,38,-0.0039,-1.908,-0.0258,0.4752,-3.2889,-0.0061,-0.0104,0.8411,1.0898,False,False,-3.9,-5.1496,0.1513,"{""COMPOSITE-CE-01"": 0.0253, ""COMPOSITE-CE-02"": -0.0037, ""VOLATILITY-CE-01"": 0.1513}"
low_vol_60_k1,low_vol,ce,ok,71,20,-0.0011,-0.5617,-0.0083,0.5493,-1.9473,-0.0035,-0.0061,1.285,1.0898,False,False,-1.7966,-3.1328,0.1749,"{""COMPOSITE-CE-01"": 0.0555, ""COMPOSITE-CE-02"": 0.0075, ""VOLATILITY-CE-01"": 0.1749}"
low_vol_60_k2,low_vol,default,ok,275,76,-0.0066,-1.5327,-0.0456,0.4764,-3.0902,-0.013,-0.0221,0.8411,1.0898,False,False,-3.6838,-5.1198,0.1662,"{""COMPOSITE-CE-01"": 0.0076, ""COMPOSITE-CE-02"": -0.0177, ""VOLATILITY-CE-01"": 0.1662}"
low_vol_60_k2,low_vol,ce,ok,139,39,-0.0007,-0.1695,-0.0132,0.518,-1.7532,-0.0071,-0.0124,1.285,1.0898,False,False,-1.4039,-2.9145,0.2011,"{""COMPOSITE-CE-01"": 0.0328, ""COMPOSITE-CE-02"": -0.0083, ""VOLATILITY-CE-01"": 0.2011}"
low_vol_120_k1,low_vol,default,ok,131,37,-0.003,-1.6341,-0.0203,0.4885,-3.2411,-0.0059,-0.01,0.8411,1.0898,False,False,-3.6386,-5.1143,0.151,"{""COMPOSITE-CE-01"": 0.0266, ""COMPOSITE-CE-02"": -0.0044, ""VOLATILITY-CE-01"": 0.151}"
low_vol_120_k1,low_vol,ce,ok,65,19,-0.0003,-0.1887,-0.0059,0.5692,-1.8792,-0.0034,-0.0059,1.285,1.0898,False,False,-1.4328,-2.9764,0.2052,"{""COMPOSITE-CE-01"": 0.0652, ""COMPOSITE-CE-02"": 0.011, ""VOLATILITY-CE-01"": 0.2052}"
low_vol_120_k2,low_vol,default,ok,263,76,-0.0056,-1.3915,-0.0363,0.4905,-3.0902,-0.0129,-0.022,0.8411,1.0898,False,False,-3.5401,-5.1198,0.1691,"{""COMPOSITE-CE-01"": 0.01, ""COMPOSITE-CE-02"": -0.0177, ""VOLATILITY-CE-01"": 0.1691}"
low_vol_120_k2,low_vol,ce,ok,132,39,0.0002,0.0415,-0.0123,0.5455,-1.7532,-0.0071,-0.0123,1.285,1.0898,False,False,-1.2295,-2.9145,0.2081,"{""COMPOSITE-CE-01"": 0.0343, ""COMPOSITE-CE-02"": -0.0099, ""VOLATILITY-CE-01"": 0.2081}"
composite_t1_r40,composite,default,ok,29,19,-0.0091,-0.8602,-0.0651,0.4138,-2.2384,-0.0382,-0.0651,0.8411,1.0898,False,False,-0.8958,-1.7591,0.1116,"{""COMPOSITE-CE-01"": -0.0013, ""COMPOSITE-CE-02"": -0.0023, ""VOLATILITY-CE-01"": 0.1116}"
composite_t1_r40,composite,ce,ok,28,23,-0.0065,-0.5113,-0.0669,0.4286,-1.7958,-0.039,-0.0669,1.285,1.0898,False,False,-0.7328,-2.0801,0.0984,"{""COMPOSITE-CE-01"": -0.0486, ""COMPOSITE-CE-02"": -0.0333, ""VOLATILITY-CE-01"": 0.0984}"
composite_t1_r20,composite,default,ok,30,19,-0.0094,-0.8356,-0.0722,0.3667,-2.4762,-0.0421,-0.0714,0.8411,1.0898,False,False,-0.7911,-1.8079,0.0979,"{""COMPOSITE-CE-01"": -0.0273, ""COMPOSITE-CE-02"": -0.0139, ""VOLATILITY-CE-01"": 0.0979}"
composite_t1_r20,composite,ce,ok,23,17,-0.0077,-0.7034,-0.0628,0.3043,-2.2753,-0.0375,-0.0624,1.285,1.0898,False,False,-0.7691,-2.107,0.1099,"{""COMPOSITE-CE-01"": -0.0235, ""COMPOSITE-CE-02"": -0.0103, ""VOLATILITY-CE-01"": 0.1099}"
composite_t2_r40,composite,default,ok,99,77,-0.005,-0.3384,-0.0837,0.4747,-2.3073,-0.0479,-0.0837,0.8411,1.0898,False,False,-1.1176,-4.0021,0.1379,"{""COMPOSITE-CE-01"": 0.0172, ""COMPOSITE-CE-02"": 0.0001, ""VOLATILITY-CE-01"": 0.1379}"
composite_t2_r40,composite,ce,ok,51,41,0.0042,0.2948,-0.0516,0.4118,-1.2621,-0.0259,-0.0516,1.285,1.0898,False,False,-0.3605,-2.3914,0.1541,"{""COMPOSITE-CE-01"": 0.039, ""COMPOSITE-CE-02"": 0.0061, ""VOLATILITY-CE-01"": 0.1541}"
composite_t2_r20,composite,default,ok,103,82,-0.0078,-0.4928,-0.0962,0.3981,-1.5641,-0.0414,-0.0962,0.8411,1.0898,False,False,-1.205,-2.7033,0.1532,"{""COMPOSITE-CE-01"": 0.0525, ""COMPOSITE-CE-02"": 0.0079, ""VOLATILITY-CE-01"": 0.1532}"
composite_t2_r20,composite,ce,ok,55,44,0.0012,0.0842,-0.0555,0.4182,-0.5488,-0.0142,-0.0555,1.285,1.0898,False,False,-0.5704,-1.6955,0.1486,"{""COMPOSITE-CE-01"": 0.0492, ""COMPOSITE-CE-02"": 0.0025, ""VOLATILITY-CE-01"": 0.1486}"
tsmom_200,ts_trend,default,ok,499,178,0.0095,0.3938,-0.0601,0.519,0.7605,0.0279,-0.0601,0.8411,1.0898,False,False,-0.3045,0.1816,0.3978,"{""COMPOSITE-CE-01"": 0.3651, ""COMPOSITE-CE-02"": 0.193, ""VOLATILITY-CE-01"": 0.3978}"
tsmom_200,ts_trend,ce,ok,317,120,0.0206,0.9169,-0.0404,0.5552,1.0889,0.0357,-0.0404,1.285,1.0898,False,False,0.4575,0.7059,0.4109,"{""COMPOSITE-CE-01"": 0.3672, ""COMPOSITE-CE-02"": 0.1981, ""VOLATILITY-CE-01"": 0.4109}"
donchian_55_20,ts_trend,default,ok,402,189,0.0096,0.4188,-0.0714,0.5622,0.6221,0.0247,-0.0714,0.8411,1.0898,False,False,-0.168,0.061,0.3413,"{""COMPOSITE-CE-01"": 0.3413, ""COMPOSITE-CE-02"": 0.2015, ""VOLATILITY-CE-01"": 0.3291}"
donchian_55_20,ts_trend,ce,ok,232,117,0.0169,0.7777,-0.0477,0.6293,0.9979,0.0367,-0.0477,1.285,1.0898,False,False,0.4327,0.6655,0.3393,"{""COMPOSITE-CE-01"": 0.3393, ""COMPOSITE-CE-02"": 0.1988, ""VOLATILITY-CE-01"": 0.3377}"
rand_default_p0.02_s0,random_baseline,default,ok,118,41,0.0049,0.5034,-0.0242,0.5678,0.2878,0.0042,-0.0242,,,False,,,,,p=0.02 seed=30000
rand_default_p0.02_s1,random_baseline,default,ok,142,49,0.0041,0.366,-0.0298,0.5282,0.8424,0.0141,-0.0298,,,False,,,,,p=0.02 seed=30001
rand_default_p0.02_s2,random_baseline,default,ok,132,43,0.0025,0.2453,-0.0302,0.5682,-0.417,-0.006,-0.0264,,,False,,,,,p=0.02 seed=30002
rand_default_p0.02_s3,random_baseline,default,ok,151,47,0.0114,0.9556,-0.013,0.5695,2.1244,0.0339,-0.0112,,,False,,,,,p=0.02 seed=30003
rand_default_p0.02_s4,random_baseline,default,ok,144,46,0.0027,0.2381,-0.0243,0.5278,-0.012,-0.0003,-0.0243,,,False,,,,,p=0.02 seed=30004
rand_default_p0.02_s5,random_baseline,default,ok,146,52,0.0096,0.9251,-0.0104,0.5753,1.3198,0.0184,-0.0104,,,False,,,,,p=0.02 seed=30005
rand_default_p0.02_s6,random_baseline,default,ok,117,39,-0.0011,-0.1009,-0.0312,0.5043,0.1459,0.0017,-0.0167,,,False,,,,,p=0.02 seed=30006
rand_default_p0.02_s7,random_baseline,default,ok,134,44,-0.0014,-0.1358,-0.037,0.4701,0.3323,0.0049,-0.037,,,False,,,,,p=0.02 seed=30007
rand_default_p0.02_s8,random_baseline,default,ok,134,47,0.0066,0.6311,-0.0197,0.597,0.9791,0.015,-0.0197,,,False,,,,,p=0.02 seed=30008
rand_default_p0.02_s9,random_baseline,default,ok,157,50,0.0071,0.5766,-0.0246,0.5541,0.9408,0.0147,-0.0246,,,False,,,,,p=0.02 seed=30009
rand_default_p0.02_s10,random_baseline,default,ok,136,36,0.0028,0.28,-0.0215,0.5074,-0.5206,-0.0065,-0.0215,,,False,,,,,p=0.02 seed=30010
rand_default_p0.02_s11,random_baseline,default,ok,126,41,0.0107,1.0781,-0.0108,0.6349,1.438,0.016,-0.0095,,,False,,,,,p=0.02 seed=30011
rand_default_p0.02_s12,random_baseline,default,ok,111,38,0.0023,0.1925,-0.0417,0.5405,0.2016,0.0039,-0.0417,,,False,,,,,p=0.02 seed=30012
rand_default_p0.02_s13,random_baseline,default,ok,137,32,0.0001,0.0174,-0.0232,0.4599,-0.3927,-0.0057,-0.0177,,,False,,,,,p=0.02 seed=30013
rand_default_p0.02_s14,random_baseline,default,ok,143,52,0.0039,0.334,-0.0233,0.5455,0.1859,0.0031,-0.0233,,,False,,,,,p=0.02 seed=30014
rand_default_p0.02_s15,random_baseline,default,ok,133,46,0.001,0.0929,-0.0319,0.5489,-0.0023,-0.0002,-0.0319,,,False,,,,,p=0.02 seed=30015
rand_default_p0.02_s16,random_baseline,default,ok,137,45,0.0007,0.0705,-0.0254,0.5182,0.4348,0.0058,-0.0144,,,False,,,,,p=0.02 seed=30016
rand_default_p0.02_s17,random_baseline,default,ok,151,51,0.0068,0.5528,-0.0321,0.6026,0.2625,0.0046,-0.0321,,,False,,,,,p=0.02 seed=30017
rand_default_p0.02_s18,random_baseline,default,ok,119,35,-0.0017,-0.1806,-0.0398,0.5042,0.5842,0.0075,-0.0146,,,False,,,,,p=0.02 seed=30018
rand_default_p0.02_s19,random_baseline,default,ok,126,35,0.0062,0.7384,-0.0144,0.5159,0.4189,0.004,-0.0115,,,False,,,,,p=0.02 seed=30019
