family,point,cost_mult,params,exit_patch,i_beats_rand_p95,ii_ann_pos,iii_dd_ok,iv_trades_ok,v_oos_ok,vi_beats_passive,decay_ok,green,full_sharpe,full_ann,full_dd,avg_hold_days,n_trades,oos_sharpe,oos_ann,worst_year,yearly
LC-A,lowvol_n60_k5_daily,1,"{""max_positions"": 5, ""position_size_pct"": 0.1}",,True,True,True,True,True,True,True,True,0.7583,0.019,-0.0569,9.4,814,1.3631,0.0302,,
LC-A,lowvol_n60_k5_r20,1,"{""max_positions"": 5, ""position_size_pct"": 0.1}",,False,True,True,True,False,False,False,False,0.3295,0.0103,-0.0659,10.38,760,-0.0265,-0.0021,,
LC-A,lowvol_n60_k5_r40,1,"{""max_positions"": 5, ""position_size_pct"": 0.1}",,False,True,True,True,False,False,False,False,0.2906,0.0091,-0.0583,10.31,751,-0.2476,-0.0118,,
LC-A,lowvol_n60_k5_r60,1,"{""max_positions"": 5, ""position_size_pct"": 0.1}",,False,True,True,True,False,False,False,False,0.2906,0.0084,-0.0486,10.47,759,-0.2286,-0.0086,,
LC-A,lowvol_n80_k5_r20,1,"{""max_positions"": 5, ""position_size_pct"": 0.1}",,True,True,True,True,True,False,False,False,0.3611,0.0115,-0.0578,10.59,741,0.0326,0.0004,,
LC-A,lowvol_n80_k5_r40,1,"{""max_positions"": 5, ""position_size_pct"": 0.1}",,True,True,True,True,True,False,False,False,0.3821,0.0113,-0.0569,10.71,732,0.3907,0.0138,,
LC-A,lowvol_n80_k5_r60,1,"{""max_positions"": 5, ""position_size_pct"": 0.1}",,True,True,True,True,True,False,False,False,0.3995,0.0116,-0.0429,10.59,730,0.277,0.0093,,
LC-B,comp_N3_r40,1,"{""max_positions"": 3, ""position_size_pct"": 0.3167}",,True,True,True,True,True,True,True,True,0.7308,0.0452,-0.1022,10.19,414,1.5068,0.1335,,
LC-B,comp_N3_r60,1,"{""max_positions"": 3, ""position_size_pct"": 0.3167}",,False,True,True,True,True,False,False,False,0.1179,0.0063,-0.2193,10.01,351,0.6811,0.0572,,
LC-B,comp_N3_r80,1,"{""max_positions"": 3, ""position_size_pct"": 0.3167}",,False,True,True,True,True,False,False,False,0.2414,0.0173,-0.2002,10.23,361,0.6553,0.0581,,
LC-B,comp_N5_r40,1,"{""max_positions"": 5, ""position_size_pct"": 0.19}",,True,True,True,True,True,True,True,True,0.8174,0.0566,-0.1034,10.49,706,1.2211,0.1223,,
LC-B,comp_N5_r60,1,"{""max_positions"": 5, ""position_size_pct"": 0.19}",,False,True,True,True,True,False,True,False,0.2089,0.0135,-0.1911,10.36,641,0.781,0.0793,,
LC-B,comp_N5_r80,1,"{""max_positions"": 5, ""position_size_pct"": 0.19}",,False,True,True,True,True,False,False,False,0.1423,0.0088,-0.1842,10.07,665,0.3318,0.036,,
LC-B,comp_N8_r40,1,"{""max_positions"": 8, ""position_size_pct"": 0.1187}",,True,True,True,True,True,True,True,True,0.507,0.057,-0.2043,10.3,1160,1.2083,0.1126,,
LC-B,comp_N8_r60,1,"{""max_positions"": 8, ""position_size_pct"": 0.1187}",,False,False,True,True,True,False,False,False,-0.0343,-0.0082,-0.331,10.15,1024,0.4514,0.0448,,
LC-B,comp_N8_r80,1,"{""max_positions"": 8, ""position_size_pct"": 0.1187}",,False,True,True,True,True,False,False,False,0.3167,0.0352,-0.2624,10.11,1168,0.5377,0.0551,,
LC-C,lc_c1_tp_sparser,1,"{""max_positions"": 5, ""position_size_pct"": 0.1, ""take_profit_levels"": [0.1, 0.25]}","{""take_profit_fractions"": [0.5, 1.0]}",True,True,True,True,True,True,True,True,0.7436,0.019,-0.0576,9.28,769,1.3303,0.0303,,
LC-C,lc_c2_losstime16,1,"{""max_positions"": 5, ""position_size_pct"": 0.1}","{""loss_time_days"": 16}",True,True,True,True,True,True,True,True,0.8649,0.0217,-0.0543,10.55,731,1.9429,0.0424,,
LC-C,lc_c3_decay_loose,1,"{""max_positions"": 5, ""position_size_pct"": 0.1, ""time_decay_period"": 25, ""time_decay_threshold"": 0.05}",,True,True,True,True,True,True,True,True,1.0867,0.0265,-0.0533,11.74,676,1.7885,0.0387,,
LC-C,lc_c4_trail_late,1,"{""max_positions"": 5, ""position_size_pct"": 0.1, ""trailing_stop_activate"": 0.1}",,True,True,True,True,True,True,True,True,0.7833,0.0193,-0.0594,9.71,795,1.4248,0.031,,
LC-A,lowvol_n60_k5_daily_costx2,2,"{""max_positions"": 5, ""position_size_pct"": 0.1}","""""",False,False,True,True,False,False,False,False,-0.3914,-0.0113,-0.1181,9.4,814,-0.0017,-0.0004,,
LC-A,lowvol_n60_k5_daily_costx3,3,"{""max_positions"": 5, ""position_size_pct"": 0.1}","""""",False,False,True,True,False,False,False,,-1.5155,-0.0477,-0.2878,9.4,814,-1.31,-0.0434,,
LC-B,comp_N5_r40_costx2,2,"{""max_positions"": 5, ""position_size_pct"": 0.19}","""""",False,True,True,True,True,False,True,False,0.2911,0.0202,-0.1518,10.24,681,0.7485,0.0863,,
LC-B,comp_N5_r40_costx3,3,"{""max_positions"": 5, ""position_size_pct"": 0.19}","""""",False,False,True,True,True,False,False,,-0.3172,-0.0298,-0.2636,10.3,620,0.1005,0.0044,,
LC-C,lc_c3_decay_loose_costx2,2,"{""max_positions"": 5, ""position_size_pct"": 0.1, ""time_decay_period"": 25, ""time_decay_threshold"": 0.05}","""""",False,True,True,True,True,False,False,False,0.1368,0.0033,-0.0989,11.74,676,0.6703,0.0164,,
LC-C,lc_c3_decay_loose_costx3,3,"{""max_positions"": 5, ""position_size_pct"": 0.1, ""time_decay_period"": 25, ""time_decay_threshold"": 0.05}","""""",False,False,True,True,False,False,False,,-0.7952,-0.0233,-0.1775,11.74,676,-0.4132,-0.0124,,
