name,family,exit_regime,status,n_trades,oos_trades,annual_return,sharpe,max_drawdown,win_rate,oos_sharpe,oos_annual_return,oos_max_drawdown,i_bar,vi_bar,g1_pass,sleeve_tag,x2_full_sharpe,x2_oos_sharpe,max_corr,note
tsmom_200,transfer,default,ok,922,280,-0.0036,-0.0122,-0.1783,0.5206,0.5376,0.0472,-0.0833,0.3521,0.4004,False,False,-0.4069,0.1826,0.3869,P1: ts_mom_200; LFC CE star
tsmom_200,transfer,ce,ok,611,187,0.0005,0.0416,-0.1569,0.5286,0.5236,0.0439,-0.0742,0.4229,0.4004,False,False,-0.2136,0.3029,0.3918,P1: ts_mom_200; LFC CE star
donchian_20_10,transfer,default,ok,1013,259,0.0037,0.0858,-0.2457,0.5607,0.8297,0.0748,-0.085,0.3521,0.4004,False,True,-0.2429,0.5107,0.2664,P1 original params
donchian_20_10,transfer,ce,ok,651,172,0.0005,0.0515,-0.2446,0.5745,0.5898,0.0506,-0.0824,0.4229,0.4004,False,True,-0.143,0.3938,0.2801,P1 original params
donchian_55_20,transfer,default,ok,948,267,-0.0117,-0.0867,-0.2911,0.5464,0.5897,0.0566,-0.1147,0.3521,0.4004,False,False,-0.4147,0.2729,0.2928,LFC-tested variant
donchian_55_20,transfer,ce,ok,603,173,-0.0184,-0.1656,-0.3066,0.5605,0.3708,0.0334,-0.1023,0.4229,0.4004,False,False,-0.3614,0.1839,0.2985,LFC-tested variant
dual_ma_5_20,transfer,default,ok,1269,331,-0.0036,0.0013,-0.3034,0.5217,1.2123,0.1037,-0.0732,0.3521,0.4004,False,False,-0.4638,0.7068,0.3913,state-hold semantics (vs 432 event)
dual_ma_5_20,transfer,ce,ok,933,240,-0.0132,-0.1277,-0.2895,0.5316,0.5576,0.0461,-0.0679,0.4229,0.4004,False,False,-0.4949,0.223,0.4716,state-hold semantics (vs 432 event)
triple_ma_5_20_60,transfer,default,ok,1224,351,0.0109,0.1893,-0.1601,0.5261,0.6217,0.0492,-0.0982,0.3521,0.4004,False,False,-0.3395,0.1403,0.3505,
triple_ma_5_20_60,transfer,ce,ok,924,273,0.0322,0.5481,-0.0787,0.5379,0.8884,0.0568,-0.0585,0.4229,0.4004,True,False,0.1428,0.4947,0.3646,
double_bottom_20,transfer,default,ok,1465,404,0.0154,0.1881,-0.2422,0.4648,0.5492,0.0362,-0.0804,0.3521,0.4004,False,True,-0.1985,-0.1554,0.2226,event family rep
double_bottom_20,transfer,ce,ok,1308,362,0.021,0.2402,-0.2224,0.4702,0.6897,0.0442,-0.0796,0.4229,0.4004,False,True,-0.1067,0.0753,0.2203,event family rep
price_volume_trend_20,transfer,default,ok,1451,370,0.007,0.1236,-0.2249,0.5196,1.3773,0.1142,-0.0627,0.3521,0.4004,False,True,-0.39,0.8116,0.2725,P1 watchlist OOS 1.377
price_volume_trend_20,transfer,ce,ok,1142,292,0.021,0.3097,-0.1541,0.5289,1.2903,0.0907,-0.0508,0.4229,0.4004,False,True,-0.1329,0.8366,0.2756,P1 watchlist OOS 1.377
amount_rank_20_10,transfer,default,ok,1012,249,0.026,0.2704,-0.1781,0.5208,0.6045,0.0357,-0.0551,0.3521,0.4004,False,False,0.0294,0.1654,0.6232,top_k=10 vs max_pos=5: engine fills first 5 by column order
amount_rank_20_10,transfer,ce,ok,681,162,0.032,0.3312,-0.1531,0.536,0.7877,0.0442,-0.039,0.4229,0.4004,False,False,0.1761,0.5056,0.623,top_k=10 vs max_pos=5: engine fills first 5 by column order
high252_prox_top5_r20,new_design,default,ok,796,282,0.0204,0.2284,-0.3313,0.5729,0.9093,0.1328,-0.1116,0.3521,0.4004,False,False,-0.3051,0.0146,0.4849,George-Hwang 52wk-high proximity; frozen 20d membership
high252_prox_top5_r20,new_design,ce,ok,575,197,0.0428,0.4378,-0.2646,0.6539,0.8892,0.1081,-0.0954,0.4229,0.4004,True,False,0.2581,0.6219,0.4778,George-Hwang 52wk-high proximity; frozen 20d membership
sharpe_mom_120_top5_r20,new_design,default,ok,1007,334,-0.0111,0.0278,-0.3495,0.6137,0.1306,-0.0014,-0.2665,0.3521,0.4004,False,False,-0.4591,-0.5113,0.3783,risk-adjusted momentum; frozen 20d
sharpe_mom_120_top5_r20,new_design,ce,ok,730,260,-0.0093,0.0278,-0.32,0.6274,0.1125,-0.0025,-0.32,0.4229,0.4004,False,False,-0.2948,-0.4997,0.3464,risk-adjusted momentum; frozen 20d
trend_r2_120_top5_r20,new_design,default,ok,990,327,0.0002,0.0761,-0.3279,0.6061,0.155,0.0102,-0.2449,0.3521,0.4004,False,False,-0.4423,-0.2907,0.4113,R^2 x sign(slope) trend quality; frozen 20d
trend_r2_120_top5_r20,new_design,ce,ok,652,224,0.0063,0.1159,-0.3009,0.6258,0.0656,-0.0062,-0.2111,0.4229,0.4004,False,False,-0.2117,-0.0563,0.4151,R^2 x sign(slope) trend quality; frozen 20d
tsmom_consensus_200_50,new_design,default,ok,959,302,-0.0049,-0.0311,-0.1582,0.5297,0.1979,0.0147,-0.1367,0.3521,0.4004,False,False,-0.4444,-0.161,0.3856,multi-horizon ts-momentum consensus state
tsmom_consensus_200_50,new_design,ce,ok,650,218,-0.0117,-0.1296,-0.1587,0.5477,-0.0974,-0.0143,-0.1429,0.4229,0.4004,False,False,-0.406,-0.3481,0.3896,multi-horizon ts-momentum consensus state
rand_default_p0.02_s0,random_baseline,default,ok,793,240,0.0248,0.3378,-0.1644,0.5725,1.033,0.0676,-0.043,,,False,,,,,p=0.02 seed=40000
rand_default_p0.02_s1,random_baseline,default,ok,787,243,-0.0378,-0.434,-0.327,0.5197,0.6061,0.0561,-0.0877,,,False,,,,,p=0.02 seed=40001
rand_default_p0.02_s2,random_baseline,default,ok,761,234,-0.0148,-0.146,-0.2876,0.5558,1.0655,0.0868,-0.0604,,,False,,,,,p=0.02 seed=40002
rand_default_p0.02_s3,random_baseline,default,ok,835,238,-0.0158,-0.1838,-0.2212,0.5581,-0.5854,-0.0487,-0.1593,,,False,,,,,p=0.02 seed=40003
rand_default_p0.02_s4,random_baseline,default,ok,759,247,-0.0178,-0.1693,-0.3295,0.5336,0.6776,0.0636,-0.067,,,False,,,,,p=0.02 seed=40004
rand_default_p0.02_s5,random_baseline,default,ok,802,236,0.0293,0.3309,-0.2047,0.5786,0.6884,0.0457,-0.0576,,,False,,,,,p=0.02 seed=40005
rand_default_p0.02_s6,random_baseline,default,ok,810,241,0.0271,0.4113,-0.185,0.5938,1.4743,0.1038,-0.0426,,,False,,,,,p=0.02 seed=40006
rand_default_p0.02_s7,random_baseline,default,ok,834,248,0.0332,0.4259,-0.1631,0.5552,1.3703,0.0892,-0.0387,,,False,,,,,p=0.02 seed=40007
rand_default_p0.02_s8,random_baseline,default,ok,764,252,0.0062,0.1228,-0.2392,0.5641,1.083,0.0807,-0.0861,,,False,,,,,p=0.02 seed=40008
rand_default_p0.02_s9,random_baseline,default,ok,747,248,-0.0266,-0.2918,-0.3289,0.5475,0.6238,0.0601,-0.0946,,,False,,,,,p=0.02 seed=40009
rand_default_p0.02_s10,random_baseline,default,ok,743,248,-0.0319,-0.3251,-0.3502,0.533,0.9066,0.0954,-0.0956,,,False,,,,,p=0.02 seed=40010
rand_default_p0.02_s11,random_baseline,default,ok,789,251,0.0167,0.2784,-0.1893,0.5843,1.6076,0.1294,-0.0559,,,False,,,,,p=0.02 seed=40011
rand_default_p0.02_s12,random_baseline,default,ok,777,239,-0.008,-0.0747,-0.2009,0.5302,0.7993,0.0615,-0.0587,,,False,,,,,p=0.02 seed=40012
rand_default_p0.02_s13,random_baseline,default,ok,829,244,0.0205,0.2396,-0.2097,0.5778,0.7068,0.0475,-0.0554,,,False,,,,,p=0.02 seed=40013
rand_default_p0.02_s14,random_baseline,default,ok,826,239,-0.0237,-0.2236,-0.3626,0.5593,0.8585,0.0733,-0.0658,,,False,,,,,p=0.02 seed=40014
rand_default_p0.02_s15,random_baseline,default,ok,806,250,0.0445,0.485,-0.1523,0.5968,1.3034,0.0746,-0.043,,,False,,,,,p=0.02 seed=40015
rand_default_p0.02_s16,random_baseline,default,ok,772,239,0.0202,0.2304,-0.1896,0.5583,0.6164,0.0428,-0.067,,,False,,,,,p=0.02 seed=40016
rand_default_p0.02_s17,random_baseline,default,ok,748,232,-0.0032,0.0096,-0.2232,0.5468,0.3519,0.0246,-0.1119,,,False,,,,,p=0.02 seed=40017
rand_default_p0.02_s18,random_baseline,default,ok,809,252,0.009,0.1613,-0.1912,0.56,0.9918,0.0825,-0.0477,,,False,,,,,p=0.02 seed=40018
rand_default_p0.02_s19,random_baseline,default,ok,814,248,-0.0012,0.0204,-0.2428,0.5577,0.8348,0.064,-0.0636,,,False,,,,,p=0.02 seed=40019
rand_default_p0.02_s20,random_baseline,default,ok,815,242,0.0019,0.0632,-0.2308,0.5742,0.6256,0.0507,-0.0842,,,False,,,,,p=0.02 seed=40020
rand_default_p0.02_s21,random_baseline,default,ok,797,239,-0.0333,-0.3138,-0.395,0.5508,0.8136,0.0792,-0.1038,,,False,,,,,p=0.02 seed=40021
rand_default_p0.02_s22,random_baseline,default,ok,758,229,-0.0104,-0.0579,-0.2982,0.558,0.435,0.031,-0.0585,,,False,,,,,p=0.02 seed=40022
rand_default_p0.02_s23,random_baseline,default,ok,758,222,-0.0309,-0.3845,-0.2853,0.5475,-0.5536,-0.0541,-0.1278,,,False,,,,,p=0.02 seed=40023
rand_default_p0.02_s24,random_baseline,default,ok,766,248,0.0132,0.1794,-0.1009,0.547,0.1472,0.0077,-0.082,,,False,,,,,p=0.02 seed=40024
rand_default_p0.05_s25,random_baseline,default,ok,859,265,-0.0111,-0.102,-0.2345,0.5506,0.7876,0.0668,-0.0812,,,False,,,,,p=0.05 seed=40025
rand_default_p0.05_s26,random_baseline,default,ok,920,255,0.0287,0.4433,-0.1547,0.5826,1.2149,0.0824,-0.0462,,,False,,,,,p=0.05 seed=40026
rand_default_p0.05_s27,random_baseline,default,ok,896,244,-0.0297,-0.3019,-0.2915,0.5592,-0.4301,-0.0432,-0.1584,,,False,,,,,p=0.05 seed=40027
rand_default_p0.05_s28,random_baseline,default,ok,877,257,0.0038,0.0884,-0.1647,0.5656,0.5141,0.0389,-0.0741,,,False,,,,,p=0.05 seed=40028
rand_default_p0.05_s29,random_baseline,default,ok,859,253,0.0204,0.2529,-0.1466,0.5553,0.5912,0.0373,-0.0854,,,False,,,,,p=0.05 seed=40029
