cell,family,moneyness,style,kind,sharpe_full,annual_return,max_drawdown,worst_year,x2_full_sharpe,x3_full_sharpe,n_trades,n_entries,turnover,win_rate,premium_paid,line,line_ok,ci_ok,pass_v2
covered_call_m3@weekly,covered_call,0.03,weekly,candidate,-1.317,-0.1525,-0.0998,-0.0998,-2.5976,-3.7203,147,34,5.0582,0.5,0,1.6196,False,False,False
covered_call_m3@monthly,covered_call,0.03,monthly,candidate,-0.2997,-0.0451,-0.0589,-0.0289,-0.6133,-0.8732,37,8,2.354,0.6875,0,1.6196,False,False,False
covered_call_m5@weekly,covered_call,0.05,weekly,candidate,-1.0384,-0.1355,-0.0883,-0.0883,-2.014,-2.9514,142,34,4.0637,0.4706,0,1.6196,False,False,False
covered_call_m5@monthly,covered_call,0.05,monthly,candidate,-0.3171,-0.0492,-0.0584,-0.0316,-0.5815,-0.8151,39,8,2.3491,0.6875,0,1.6196,False,False,False
covered_call_m10@weekly,covered_call,0.1,weekly,candidate,-0.7758,-0.1157,-0.0751,-0.0751,-1.3938,-1.9955,140,34,3.0278,0.4559,0,1.6196,False,False,False
covered_call_m10@monthly,covered_call,0.1,monthly,candidate,-0.2503,-0.0462,-0.0643,-0.0296,-0.3904,-0.5362,35,8,1.844,0.6875,0,1.6196,False,False,False
protective_put_m3@weekly,protective_put,0.03,weekly,candidate,-5.6575,-0.2939,-0.1983,-0.1983,-7.5996,-8.1598,143,34,7.5216,0.3676,1611399.0,1.6196,False,False,False
protective_put_m3@monthly,protective_put,0.03,monthly,candidate,-1.9228,-0.1107,-0.0736,-0.0718,-2.7661,-3.1975,40,8,3.1519,0.375,434848.0,1.6196,False,False,False
protective_put_m5@weekly,protective_put,0.05,weekly,candidate,-6.7015,-0.3522,-0.2409,-0.2409,-8.0683,-8.3469,144,34,9.252,0.3134,1970108.0,1.6196,False,False,False
protective_put_m5@monthly,protective_put,0.05,monthly,candidate,-2.1258,-0.1181,-0.0801,-0.0767,-2.9201,-3.2843,38,8,3.277,0.375,514366.0,1.6196,False,False,False
protective_put_m10@weekly,protective_put,0.1,weekly,candidate,-7.097,-0.44,-0.308,-0.308,-8.0131,-8.153,145,34,12.545,0.2615,2664559.0,1.6196,False,False,False
protective_put_m10@monthly,protective_put,0.1,monthly,candidate,-2.5348,-0.1454,-0.0954,-0.0949,-3.3146,-3.5723,40,8,4.3384,0.375,766518.0,1.6196,False,False,False
cash_secured_put_m3@weekly,cash_secured_put,0.03,weekly,candidate,-2.8712,-0.2891,-0.2035,-0.1948,-4.9375,-6.2542,136,34,5.9747,0.3824,0,1.6196,False,False,False
cash_secured_put_m3@monthly,cash_secured_put,0.03,monthly,candidate,-0.6752,-0.0856,-0.0836,-0.0553,-1.2155,-1.6466,32,8,1.4873,0.4375,0,1.6196,False,False,False
cash_secured_put_m5@weekly,cash_secured_put,0.05,weekly,candidate,-2.9566,-0.3177,-0.2238,-0.2155,-5.0738,-6.3932,134,34,7.2476,0.3881,0,1.6196,False,False,False
cash_secured_put_m5@monthly,cash_secured_put,0.05,monthly,candidate,-0.7739,-0.1029,-0.0851,-0.0666,-1.341,-1.841,32,8,1.774,0.375,0,1.6196,False,False,False
cash_secured_put_m10@weekly,cash_secured_put,0.1,weekly,candidate,-3.9247,-0.409,-0.2873,-0.2839,-6.2717,-7.2791,130,34,10.2839,0.3077,0,1.6196,False,False,False
cash_secured_put_m10@monthly,cash_secured_put,0.1,monthly,candidate,-1.0362,-0.136,-0.1034,-0.0886,-1.7832,-2.2756,32,8,2.5907,0.3125,0,1.6196,False,False,False
null_0,random,,weekly,null,-1.328,-0.111,-0.0923,,,,150,25,26.0221,0.42,,,,,
null_1,random,,weekly,null,-1.7629,-0.1583,-0.1255,,,,140,23,25.0471,0.4783,,,,,
null_2,random,,weekly,null,-0.0193,-0.0057,-0.0446,,,,148,25,26.4695,0.4,,,,,
null_3,random,,weekly,null,-3.3984,-0.2822,-0.1898,,,,156,25,28.5068,0.4,,,,,
null_4,random,,weekly,null,-2.8971,-0.2027,-0.1372,,,,153,26,26.9322,0.3654,,,,,
null_5,random,,weekly,null,-2.2603,-0.1651,-0.1129,,,,137,22,31.0918,0.3864,,,,,
null_6,random,,weekly,null,-3.0101,-0.1921,-0.1266,,,,135,22,28.2546,0.3409,,,,,
null_7,random,,weekly,null,-2.2848,-0.1964,-0.1296,,,,143,22,34.42,0.4773,,,,,
null_8,random,,weekly,null,-2.8766,-0.1933,-0.1298,,,,149,25,29.1106,0.3,,,,,
null_9,random,,weekly,null,-2.0153,-0.1595,-0.1197,,,,133,22,27.1143,0.4186,,,,,
null_10,random,,weekly,null,-3.7313,-0.287,-0.1932,,,,146,25,29.7797,0.4694,,,,,
null_11,random,,weekly,null,-2.6091,-0.2115,-0.1401,,,,143,26,22.7411,0.3846,,,,,
null_12,random,,weekly,null,-2.8183,-0.2032,-0.1343,,,,137,23,25.1442,0.4348,,,,,
null_13,random,,weekly,null,-3.0474,-0.254,-0.17,,,,148,27,18.1872,0.4151,,,,,
null_14,random,,weekly,null,-2.0297,-0.1736,-0.1161,,,,143,26,22.7505,0.2941,,,,,
null_15,random,,weekly,null,-4.0408,-0.2651,-0.1776,,,,125,20,28.7966,0.55,,,,,
null_16,random,,weekly,null,-1.8345,-0.1708,-0.1276,,,,134,22,26.3887,0.3864,,,,,
null_17,random,,weekly,null,-2.6313,-0.1816,-0.1227,,,,139,25,23.2025,0.42,,,,,
null_18,random,,weekly,null,-2.3007,-0.1882,-0.124,,,,131,22,26.3979,0.3256,,,,,
null_19,random,,weekly,null,-3.1364,-0.2708,-0.1817,,,,158,27,25.3885,0.463,,,,,
null_20,random,,weekly,null,-1.9764,-0.1763,-0.1339,,,,148,25,29.954,0.4286,,,,,
null_21,random,,weekly,null,-2.2432,-0.1859,-0.1277,,,,110,19,24.0093,0.3333,,,,,
null_22,random,,weekly,null,-2.7116,-0.201,-0.1328,,,,136,22,29.1252,0.4318,,,,,
null_23,random,,weekly,null,-1.6883,-0.1547,-0.1223,,,,143,26,21.5415,0.4423,,,,,
null_24,random,,weekly,null,-1.5105,-0.1195,-0.1069,,,,131,20,32.7179,0.4,,,,,
null_25,random,,weekly,null,-2.1406,-0.2069,-0.1369,,,,146,27,19.4082,0.3519,,,,,
null_26,random,,weekly,null,-1.9777,-0.1398,-0.0912,,,,131,22,23.9208,0.3182,,,,,
null_27,random,,weekly,null,-2.5244,-0.1894,-0.1248,,,,144,24,28.7075,0.4255,,,,,
null_28,random,,weekly,null,-1.2729,-0.1227,-0.0903,,,,150,27,20.7281,0.4074,,,,,
null_29,random,,weekly,null,-2.4208,-0.2092,-0.1414,,,,139,24,24.8971,0.3542,,,,,
null_30,random,,weekly,null,-1.9222,-0.1636,-0.1257,,,,155,25,28.5093,0.34,,,,,
null_31,random,,weekly,null,-2.2571,-0.1925,-0.127,,,,151,24,29.6432,0.3542,,,,,
null_32,random,,weekly,null,-2.3753,-0.2203,-0.1498,,,,158,26,27.2438,0.5,,,,,
null_33,random,,weekly,null,-4.1125,-0.2558,-0.1711,,,,128,19,34.2877,0.3684,,,,,
null_34,random,,weekly,null,-1.4998,-0.1209,-0.0828,,,,125,21,23.9302,0.4762,,,,,
null_35,random,,weekly,null,-4.2307,-0.2614,-0.175,,,,130,23,20.1122,0.5,,,,,
null_36,random,,weekly,null,-2.2402,-0.1895,-0.1282,,,,151,26,20.7339,0.3462,,,,,
null_37,random,,weekly,null,-3.4706,-0.2648,-0.1902,,,,132,23,22.589,0.3696,,,,,
null_38,random,,weekly,null,-2.4482,-0.1945,-0.1283,,,,156,26,24.8372,0.3462,,,,,
null_39,random,,weekly,null,-2.0019,-0.1855,-0.1239,,,,140,24,30.6792,0.3404,,,,,
