family,point,cost_mult,params,i_beats_rand_p95,ii_ann_pos,iii_dd_ok,iv_trades_ok,v_oos_ok,vi_beats_passive,decay_ok,green,full_sharpe,full_ann,full_dd,n_trades,oos_sharpe,oos_ann,worst_year,yearly
low_vol,lowvol_n40_k3,1,"{""max_positions"": 3, ""position_size_pct"": 0.1667}",False,True,True,True,False,False,False,False,0.0416,0.0006,-0.0557,477,-2.1113,-0.0305,,
low_vol,lowvol_n40_k5,1,"{""max_positions"": 5, ""position_size_pct"": 0.1}",True,True,True,True,True,True,False,False,0.4716,0.0126,-0.0475,902,0.7743,0.018,,
low_vol,lowvol_n40_k8,1,"{""max_positions"": 8, ""position_size_pct"": 0.0625}",True,True,True,True,True,False,False,False,0.393,0.016,-0.105,1436,0.455,0.0134,,
low_vol,lowvol_n60_k3,1,"{""max_positions"": 3, ""position_size_pct"": 0.1667}",False,False,True,True,False,False,False,False,-0.1077,-0.0022,-0.0526,465,-2.0855,-0.0306,,
low_vol,lowvol_n60_k5,1,"{""max_positions"": 5, ""position_size_pct"": 0.1}",True,True,True,True,True,True,True,True,0.7583,0.019,-0.0569,814,1.3631,0.0302,-0.0275,"{""2020"": 0.0445, ""2021"": -0.0034, ""2022"": -0.0275, ""2023"": 0.0244, ""2024"": 0.0358, ""2025"": 0.0303, ""2026"": 0.0169}"
low_vol,lowvol_n60_k8,1,"{""max_positions"": 8, ""position_size_pct"": 0.0625}",True,True,True,True,True,True,True,True,0.5837,0.0234,-0.1165,1333,1.2937,0.0372,,
low_vol,lowvol_n80_k3,1,"{""max_positions"": 3, ""position_size_pct"": 0.1667}",False,False,True,True,False,False,False,False,-0.2574,-0.0051,-0.0779,447,-2.8583,-0.0453,,
low_vol,lowvol_n80_k5,1,"{""max_positions"": 5, ""position_size_pct"": 0.1}",True,True,True,True,True,True,True,True,1.0527,0.026,-0.046,758,1.0312,0.0216,,
low_vol,lowvol_n80_k8,1,"{""max_positions"": 8, ""position_size_pct"": 0.0625}",True,True,True,True,True,True,False,False,0.4773,0.02,-0.1091,1306,0.6011,0.0231,,
low_vol,lowvol_n120_k3,1,"{""max_positions"": 3, ""position_size_pct"": 0.1667}",False,False,True,True,False,False,False,False,-0.2028,-0.0043,-0.0592,406,-2.2302,-0.0337,,
low_vol,lowvol_n120_k5,1,"{""max_positions"": 5, ""position_size_pct"": 0.1}",True,True,True,True,True,True,True,True,0.7043,0.0178,-0.0657,761,1.2081,0.0261,,
low_vol,lowvol_n120_k8,1,"{""max_positions"": 8, ""position_size_pct"": 0.0625}",False,True,True,True,True,False,False,False,0.1405,0.0054,-0.117,1245,0.0663,0.0019,,
composite,comp_N3_r10,1,"{""max_positions"": 3, ""position_size_pct"": 0.3167}",False,False,True,True,True,False,True,False,-0.1843,-0.0196,-0.3282,380,1.3238,0.1041,,
composite,comp_N3_r20,1,"{""max_positions"": 3, ""position_size_pct"": 0.3167}",False,False,True,True,True,False,False,False,-0.0531,-0.0098,-0.3247,360,0.6388,0.0672,,
composite,comp_N3_r40,1,"{""max_positions"": 3, ""position_size_pct"": 0.3167}",True,True,True,True,True,True,True,True,0.7308,0.0452,-0.1022,414,1.5068,0.1335,,
composite,comp_N5_r10,1,"{""max_positions"": 5, ""position_size_pct"": 0.19}",True,True,True,True,True,True,True,True,0.7497,0.0502,-0.1823,748,2.2334,0.1694,,
composite,comp_N5_r20,1,"{""max_positions"": 5, ""position_size_pct"": 0.19}",True,True,True,True,True,True,True,True,0.4225,0.0307,-0.1952,707,0.9727,0.0979,-0.1342,"{""2020"": 0.0126, ""2021"": 0.0122, ""2022"": -0.1342, ""2023"": 0.0206, ""2024"": 0.1415, ""2025"": 0.1637, ""2026"": -0.0025}"
composite,comp_N5_r40,1,"{""max_positions"": 5, ""position_size_pct"": 0.19}",True,True,True,True,True,True,True,True,0.8174,0.0566,-0.1034,706,1.2211,0.1223,,
composite,comp_N8_r10,1,"{""max_positions"": 8, ""position_size_pct"": 0.1187}",True,True,True,True,True,True,True,True,0.4846,0.0519,-0.2106,1241,1.1915,0.0877,,
composite,comp_N8_r20,1,"{""max_positions"": 8, ""position_size_pct"": 0.1187}",True,True,True,True,True,True,True,True,0.4327,0.0502,-0.2551,1188,1.0405,0.0939,-0.0187,"{""2020"": 0.0209, ""2021"": 0.0252, ""2022"": -0.0187, ""2023"": 0.0279, ""2024"": 0.1005, ""2025"": 0.1033, ""2026"": 0.0433}"
composite,comp_N8_r40,1,"{""max_positions"": 8, ""position_size_pct"": 0.1187}",True,True,True,True,True,True,True,True,0.507,0.057,-0.2043,1160,1.2083,0.1126,,
low_vol,low_vol_long_60_costx2,2,"{""max_positions"": 5, ""position_size_pct"": 0.1}",False,False,True,True,False,False,False,False,-0.3914,-0.0113,-0.1181,814,-0.0017,-0.0004,,
low_vol,low_vol_long_60_costx3,3,"{""max_positions"": 5, ""position_size_pct"": 0.1}",False,False,True,True,False,False,False,,-1.5155,-0.0477,-0.2878,814,-1.31,-0.0434,,
composite,composite_top5_costx2,2,"{""max_positions"": 5, ""position_size_pct"": 0.19}",False,False,True,True,True,False,False,False,-0.1027,-0.0136,-0.253,650,0.3749,0.0406,,
composite,composite_top5_costx3,3,"{""max_positions"": 5, ""position_size_pct"": 0.19}",False,False,False,True,False,False,False,,-0.6842,-0.0689,-0.4057,532,-0.2865,-0.0494,,
composite,composite_top8_costx2,2,"{""max_positions"": 8, ""position_size_pct"": 0.1187}",False,True,True,True,True,False,False,False,0.1917,0.0179,-0.268,1185,0.5226,0.0515,,
