kind,id,scheme,cost_mult,weights,full_sharpe,full_ann,full_dd,n_trades,oos_sharpe,oos_ann,benefit,dr,worst_year,x2_survive,anchor_ok
member,COMPOSITE-CE-01,,1,,0.8114,0.0576,-0.1633,474,1.6085,0.1441,,,-0.1121,,True
member,COMPOSITE-CE-01,,2,,0.5228,0.0377,-0.1805,464,1.2661,0.1234,,,-0.1246,,True
member,COMPOSITE-CE-02,,1,,0.6099,0.0691,-0.2217,795,1.4853,0.1089,,,0.0028,,True
member,COMPOSITE-CE-02,,2,,0.4311,0.0489,-0.2531,791,1.1075,0.0885,,,-0.0151,,True
member,VOLATILITY-CE-01,,1,,1.2578,0.0307,-0.0378,522,2.0568,0.0424,,,-0.0123,,True
member,VOLATILITY-CE-01,,2,,0.5338,0.0134,-0.0652,522,1.1659,0.0264,,,-0.0322,,True
portfolio,EW,EW,1,"{""COMPOSITE-CE-01"": 0.333333, ""COMPOSITE-CE-02"": 0.333333, ""VOLATILITY-CE-01"": 0.333333}",0.9229,0.0531,-0.1247,1791,1.7334,0.0996,0.0299,1.0334,-0.0408,,
portfolio,EW,EW,2,"{""COMPOSITE-CE-01"": 0.333333, ""COMPOSITE-CE-02"": 0.333333, ""VOLATILITY-CE-01"": 0.333333}",0.5754,0.0339,-0.1507,1777,1.2828,0.0803,,,-0.0575,True,
portfolio,IV,IV,1,"{""COMPOSITE-CE-01"": 0.24250806291972876, ""COMPOSITE-CE-02"": 0.12143197176271885, ""VOLATILITY-CE-01"": 0.6360599653175524}",1.1726,0.0425,-0.0801,1791,1.9733,0.0765,0.1017,1.095,-0.0351,,
portfolio,IV,IV,2,"{""COMPOSITE-CE-01"": 0.24250806291972876, ""COMPOSITE-CE-02"": 0.12143197176271885, ""VOLATILITY-CE-01"": 0.6360599653175524}",0.6461,0.0242,-0.1011,1777,1.3848,0.0586,,,-0.0529,True,
