name,sharpe,annual_return,max_drawdown,n_trades,oos_sharpe,oos_annual,oos_max_dd,vi_line,i_line_oos,g1_prime_pass
oversold_N20_X20,0.4062,0.0099,-0.039,69,0.0867,0.0023,-0.039,0.4796,1.2558,False
oversold_N60_X20,0.3843,0.0168,-0.0913,232,0.3818,0.0159,-0.0446,0.4796,1.2558,False
oversold_N10_X8,0.3633,0.0209,-0.0941,440,0.0901,0.0037,-0.0941,0.4796,1.2558,False
oversold_N20_X12,0.294,0.015,-0.1106,302,0.8716,0.0512,-0.0386,0.4796,1.2558,False
oversold_N10_X12,0.2267,0.0093,-0.081,159,0.4484,0.0159,-0.0459,0.4796,1.2558,False
dca_pulse_W20_mom20,0.1734,0.0074,-0.0955,509,0.5791,0.0301,-0.0456,0.4796,1.2558,False
turnover_z1.5,0.0981,0.0046,-0.2008,981,0.7435,0.0574,-0.0686,0.4796,1.2558,False
dca_pulse_W20_mom60,-0.0401,-0.0031,-0.1411,492,0.1733,0.0083,-0.0638,0.4796,1.2558,False
lowprox_W252_P3,-0.0482,-0.0072,-0.2623,518,-0.3515,-0.0134,-0.0801,0.4796,1.2558,False
dca_pulse_W10_mom20,-0.0555,-0.0054,-0.1763,741,-0.0483,-0.006,-0.069,0.4796,1.2558,False
turnover_z2.0,-0.112,-0.0134,-0.2213,930,-0.3099,-0.0343,-0.1169,0.4796,1.2558,False
lowprox_W120_P8,-0.1281,-0.0086,-0.1774,758,0.2721,0.0122,-0.046,0.4796,1.2558,False
dca_pulse_W5_mom20,-0.1369,-0.0125,-0.2111,850,0.1003,0.0048,-0.0894,0.4796,1.2558,False
lowprox_W252_P8,-0.1904,-0.011,-0.1428,676,-0.1804,-0.0082,-0.07,0.4796,1.2558,False
dca_pulse_W5_mom60,-0.214,-0.0187,-0.2822,806,0.3694,0.0285,-0.0948,0.4796,1.2558,False
lowprox_W252_P5,-0.2297,-0.014,-0.2218,593,0.4317,0.0164,-0.0626,0.4796,1.2558,False
dca_pulse_W10_mom60,-0.2538,-0.02,-0.284,709,0.1259,0.0068,-0.0815,0.4796,1.2558,False
oversold_N20_X8,-0.2764,-0.0272,-0.2987,573,0.4443,0.0392,-0.0978,0.4796,1.2558,False
oversold_N10_X20,-0.2784,-0.0017,-0.0204,6,0.0,0.0,0.0,0.4796,1.2558,False
oversold_N60_X12,-0.3138,-0.0286,-0.2579,568,0.2206,0.015,-0.0649,0.4796,1.2558,False
lowprox_W120_P3,-0.3767,-0.0249,-0.2526,671,-0.1936,-0.0125,-0.0646,0.4796,1.2558,False
oversold_N60_X8,-0.4486,-0.0504,-0.392,738,-0.049,-0.0123,-0.0953,0.4796,1.2558,False
turnover_z2.5,-0.4607,-0.0457,-0.2995,793,-0.0801,-0.0144,-0.119,0.4796,1.2558,False
lowprox_W120_P5,-0.6067,-0.038,-0.2667,729,-0.062,-0.0059,-0.0684,0.4796,1.2558,False
