trader,start,n_listed,partial_12m,ret_3m,ret_6m,ret_12m,p_ret_3m,p_ret_6m,p_ret_12m,sharpe_3m,sharpe_6m,sharpe_12m,dd_3m,dd_6m,dd_12m,trades_6m,beat_3m,beat_6m,beat_12m
COMPOSITE-CE-01,2021-01-28,46,False,0.037016,0.026979,0.055415,-0.084835,-0.049572,-0.141125,1.9245,0.7681,0.8569,-0.0359,-0.0359,-0.0359,43,True,True,True
COMPOSITE-CE-01,2021-03-05,46,False,0.03136,0.045787,0.074286,0.010342,-0.015876,-0.139814,1.8769,1.4547,1.1203,-0.0165,-0.0292,-0.0292,37,True,True,True
COMPOSITE-CE-01,2021-04-14,46,False,0.010567,0.021865,-0.0447,0.069029,0.047418,-0.189339,0.6312,0.6896,-0.3556,-0.0313,-0.0313,-0.1187,40,False,False,True
COMPOSITE-CE-01,2021-06-01,47,False,-0.009486,0.009332,-0.075772,-0.027974,-0.017878,-0.178204,-0.5821,0.3406,-0.6525,-0.0316,-0.0316,-0.1274,36,True,True,True
COMPOSITE-CE-01,2021-07-02,47,False,0.013699,0.045231,-0.099784,-0.010054,-0.016444,-0.153761,1.0276,1.5654,-0.9122,-0.02,-0.0257,-0.1674,34,True,True,True
COMPOSITE-CE-01,2021-08-19,47,False,0.028809,0.044801,-0.085344,0.022067,-0.075861,-0.171312,2.0303,1.501,-0.7715,-0.0268,-0.0268,-0.1644,33,True,True,True
COMPOSITE-CE-01,2021-10-08,47,False,0.03044,-0.05679,-0.108548,-0.009966,-0.176532,-0.181516,2.0524,-0.7355,-1.0085,-0.0162,-0.1197,-0.1672,39,True,True,True
COMPOSITE-CE-01,2021-11-11,47,False,0.008713,-0.073286,-0.095907,-0.098651,-0.188715,-0.175768,0.6008,-0.9626,-0.8567,-0.0232,-0.1268,-0.1631,37,True,True,True
COMPOSITE-CE-01,2021-12-22,47,False,0.027238,-0.11908,-0.095204,-0.143739,-0.12241,-0.160684,1.3647,-1.6689,-0.8487,-0.0299,-0.1549,-0.172,43,True,True,True
COMPOSITE-CE-01,2022-02-16,47,False,-0.071472,-0.097161,-0.087035,-0.10636,-0.055922,-0.050894,-1.4274,-1.3645,-0.7976,-0.1188,-0.1606,-0.1606,35,True,False,False
COMPOSITE-CE-01,2022-03-16,47,False,-0.110545,-0.152913,-0.111224,0.018871,-0.011744,0.021007,-2.3532,-2.2868,-1.0385,-0.1256,-0.1673,-0.1682,30,False,False,False
