code,class,source,in_core48,rows,first_date,last_date,tail60_avg_amount,L1,L2,H1,F1,twin_overlap_rows,twin_close_mismatches,twin_pref_first_date
158000,其他,prefixed,False,20,2026-08-26,2026-09-22,18028888.0,False,False,False,True,,,
158001,其他,prefixed,False,19,2026-08-27,2026-09-22,10802915.842105264,False,False,False,True,,,
158003,其他,prefixed,False,25,2026-08-19,2026-09-22,25042225.68,True,False,False,True,,,
158005,其他,prefixed,False,22,2026-08-24,2026-09-22,8617977.727272727,False,False,False,True,,,
158006,其他,prefixed,False,33,2026-08-07,2026-09-22,6878927.181818182,False,False,False,True,,,
158008,其他,prefixed,False,18,2026-08-28,2026-09-22,8957948.5,False,False,False,True,,,
158009,其他,prefixed,False,34,2026-08-06,2026-09-22,12855734.05882353,False,False,False,True,,,
158010,其他,prefixed,False,19,2026-08-27,2026-09-22,13119218.52631579,False,False,False,True,,,
158011,其他,prefixed,False,13,2026-09-04,2026-09-22,15443989.461538462,False,False,False,True,,,
158012,其他,prefixed,False,24,2026-08-20,2026-09-22,9062061.083333334,False,False,False,True,,,
158013,其他,prefixed,False,12,2026-09-07,2026-09-22,17165411.333333332,False,False,False,True,,,
158017,其他,prefixed,False,19,2026-08-27,2026-09-22,22367490.0,True,False,False,True,,,
158019,其他,prefixed,False,19,2026-08-27,2026-09-22,9692269.421052631,False,False,False,True,,,
158022,其他,prefixed,False,3,2026-09-18,2026-09-22,51029874.0,True,True,False,True,,,
158023,其他,prefixed,False,12,2026-09-07,2026-09-22,22796947.833333332,True,False,False,True,,,
158027,其他,prefixed,False,15,2026-09-02,2026-09-22,9489961.4,False,False,False,True,,,
158028,其他,prefixed,False,8,2026-09-11,2026-09-22,7545405.25,False,False,False,True,,,
158031,其他,prefixed,False,1,2026-09-22,2026-09-22,133559385.0,True,True,False,True,,,
158032,其他,prefixed,False,7,2026-09-14,2026-09-22,9371000.42857143,False,False,False,True,,,
158038,其他,prefixed,False,5,2026-09-16,2026-09-22,29780679.2,True,False,False,True,,,
158041,其他,prefixed,False,4,2026-09-17,2026-09-22,254954779.5,True,True,False,True,,,
158049,其他,prefixed,False,1,2026-09-22,2026-09-22,810142117.0,True,True,False,True,,,
158050,其他,prefixed,False,3,2026-09-18,2026-09-22,513302351.6666667,True,True,False,True,,,
158061,其他,prefixed,False,5,2026-09-16,2026-09-22,206313476.0,True,True,False,True,,,
159001,深市ETF(码段),prefixed,False,2894,2014-10-30,2026-09-22,678549903.8,True,True,True,True,,,
159003,深市ETF(码段),prefixed,False,2894,2014-10-30,2026-09-22,34002634.166666664,True,False,True,True,,,
159005,深市ETF(码段),prefixed,False,2706,2015-08-04,2026-09-22,14198357.4,False,False,True,True,,,
159007,深市ETF(码段),prefixed,False,109,2026-04-17,2026-09-22,17007952.633333333,False,False,False,True,,,
159008,深市ETF(码段),prefixed,False,102,2026-04-28,2026-09-22,9092936.75,False,False,False,True,,,
159009,深市ETF(码段),prefixed,False,112,2026-04-14,2026-09-22,2699841.55,False,False,False,True,,,
159010,深市ETF(码段),prefixed,False,94,2026-05-13,2026-09-22,8373324.3,False,False,False,True,,,
159011,深市ETF(码段),prefixed,False,70,2026-06-16,2026-09-22,8202904.783333333,False,False,False,True,,,
159012,深市ETF(码段),prefixed,False,89,2026-05-20,2026-09-22,9827216.283333333,False,False,False,True,,,
