corps,method,full_sharpe,full_ann,full_dd,is_sharpe,is2_sharpe,n_trades,n_entries,worst_year,benefit,dr,line_ok,ci_lb_pos,entries_ok,clauses_all,x2_full_sharpe,x2_survive,d6_max_abs,d6_ok,g1_pass,eligible,winner
attack,a_EW,0.0746,-0.0065,-0.4249,-0.25,0.6946,775,508,-0.2053,-0.2258,0.2483,False,False,True,False,-0.2564,False,0.3777,True,False,False,False
attack,b_IC,0.1456,0.0097,-0.306,0.2698,-0.2038,784,528,-0.1939,-0.1548,0.4847,False,False,True,False,-0.0378,False,0.7518,False,False,False,False
attack,c_INVVOL,0.0746,-0.0065,-0.4249,-0.25,0.6946,775,508,-0.2053,-0.2258,0.2483,False,False,True,False,-0.2564,False,0.3777,True,False,False,False
attack,d_FACTMOM,-0.1793,-0.0483,-0.429,-0.4016,0.2014,660,483,-0.1857,-0.4797,-0.5969,False,False,True,False,-0.6087,False,0.3165,True,False,False,False
attack,e_REGIME,0.3395,0.0538,-0.2622,0.2309,0.7048,842,551,-0.0751,0.0391,1.1302,False,False,True,False,0.2142,False,0.7562,False,False,False,False
defense,a_EW,-0.3658,-0.096,-0.5841,-0.3144,-0.4201,798,560,-0.2816,-0.6662,-1.2177,False,False,True,False,-0.5794,False,0.2955,True,False,False,False
defense,b_IC,1.3084,0.0744,-0.1335,1.3502,1.1415,506,419,-0.0705,1.008,4.3555,True,True,True,True,0.8671,True,0.6908,True,True,True,True
defense,c_INVVOL,-0.3658,-0.096,-0.5841,-0.3144,-0.4201,798,560,-0.2816,-0.6662,-1.2177,False,False,True,False,-0.5794,False,0.2955,True,False,False,False
defense,d_FACTMOM,-0.5142,-0.1149,-0.6083,-0.351,-0.8113,655,499,-0.3471,-0.8146,-1.7117,False,False,True,False,-0.6868,False,0.285,True,False,False,False
defense,e_REGIME,0.1333,0.0086,-0.3016,0.0047,0.4378,714,528,-0.077,-0.1671,0.4437,False,False,True,False,-0.3806,False,0.3858,True,False,False,False
chop,a_EW,-0.1638,-0.0647,-0.5016,-0.2485,0.0083,872,592,-0.3101,-0.4642,-0.5453,False,False,True,False,-0.1761,False,0.2975,True,False,False,False
chop,b_IC,0.6653,0.0876,-0.1571,0.5893,1.2657,622,504,-0.0026,0.3649,2.2147,False,True,True,True,0.4594,True,0.8706,False,False,False,False
chop,c_INVVOL,-0.1638,-0.0647,-0.5016,-0.2485,0.0083,872,592,-0.3101,-0.4642,-0.5453,False,False,True,False,-0.1761,False,0.2975,True,False,False,False
chop,d_FACTMOM,-0.4131,-0.089,-0.5732,-0.4142,-0.4033,712,540,-0.1544,-0.7135,-1.3752,False,False,True,False,-0.591,False,0.3468,True,False,False,False
chop,e_REGIME,0.276,0.0386,-0.2155,0.2197,0.4609,835,588,-0.0777,-0.0244,0.9188,False,False,True,False,0.1212,False,0.707,False,False,False,False
