factor,status,skip_reason,compute_s,h5_full_ic,h5_full_ir,h5_full_n,h5_is_ic,h5_is_ir,h5_is_n,h5_oos_ic,h5_oos_ir,h5_oos_n,h5_pass,h5_strong,h10_full_ic,h10_full_ir,h10_full_n,h10_is_ic,h10_is_ir,h10_is_n,h10_oos_ic,h10_oos_ir,h10_oos_n,h10_pass,h10_strong,h20_full_ic,h20_full_ir,h20_full_n,h20_is_ic,h20_is_ir,h20_is_n,h20_oos_ic,h20_oos_ir,h20_oos_n,h20_pass,h20_strong,in_pool,strong_tier
alpha191_001,ok,,0.02,0.0029,0.016,1620.0,-0.0089,-0.048,1206.0,0.0373,0.197,414.0,False,False,0.0023,0.012,1615.0,-0.0121,-0.065,1206.0,0.0448,0.236,409.0,False,False,-0.0001,-0.001,1605.0,-0.0054,-0.028,1206.0,0.016,0.089,399.0,False,False,False,False
alpha191_002,ok,,0.0,-0.0052,-0.018,1625.0,-0.0072,-0.025,1211.0,0.0009,0.003,414.0,False,False,-0.0024,-0.009,1620.0,-0.0024,-0.009,1211.0,-0.0025,-0.009,409.0,False,False,0.0012,0.004,1610.0,0.0007,0.003,1211.0,0.0025,0.009,399.0,False,False,False,False
alpha191_003,ok,,0.01,0.0112,0.041,1621.0,0.0058,0.022,1207.0,0.027,0.091,414.0,False,False,0.0135,0.05,1616.0,0.0072,0.028,1207.0,0.032,0.109,409.0,False,False,0.0118,0.044,1606.0,0.0036,0.014,1207.0,0.0365,0.124,399.0,False,False,False,False
alpha191_004,ok,,0.02,0.0022,0.01,1604.0,0.0106,0.049,1191.0,-0.0222,-0.103,413.0,False,False,-0.003,-0.013,1599.0,0.0001,0.0,1191.0,-0.012,-0.053,408.0,False,False,-0.0109,-0.05,1589.0,-0.0096,-0.045,1191.0,-0.0146,-0.064,398.0,False,False,False,False
alpha191_005,error,TypeError: Rolling.rank() got an unexpected keyword argument 'axis',0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha191_006,ok,,0.0,-0.0031,-0.012,1619.0,-0.0009,-0.003,1205.0,-0.0097,-0.036,414.0,False,False,-0.0109,-0.04,1614.0,-0.01,-0.037,1205.0,-0.0135,-0.05,409.0,False,False,-0.0243,-0.091,1604.0,-0.0209,-0.08,1205.0,-0.0347,-0.124,399.0,True,True,True,True
alpha191_007,ok,,0.01,0.0062,0.029,1623.0,0.0065,0.03,1209.0,0.0053,0.025,414.0,False,False,0.006,0.028,1618.0,0.0054,0.025,1209.0,0.008,0.037,409.0,False,False,0.0086,0.04,1608.0,0.0071,0.033,1209.0,0.0129,0.06,399.0,False,False,False,False
alpha191_008,ok,,0.0,0.0055,0.02,1622.0,0.0007,0.003,1208.0,0.0195,0.065,414.0,False,False,0.012,0.042,1617.0,0.007,0.025,1208.0,0.0268,0.088,409.0,False,False,0.0137,0.051,1607.0,0.0072,0.028,1208.0,0.0331,0.114,399.0,False,False,False,False
alpha191_009,ok,,0.0,0.0112,0.048,1625.0,0.009,0.039,1211.0,0.0176,0.07,414.0,False,False,0.0143,0.06,1620.0,0.0138,0.06,1211.0,0.016,0.061,409.0,True,True,0.027,0.117,1610.0,0.0276,0.124,1211.0,0.0251,0.098,399.0,True,True,True,True
alpha191_010,ok,,0.0,0.0186,0.089,1588.0,0.0203,0.096,1184.0,0.0135,0.068,404.0,True,True,0.0149,0.071,1583.0,0.0153,0.072,1184.0,0.0139,0.067,399.0,True,True,0.0203,0.097,1573.0,0.0186,0.088,1184.0,0.0256,0.125,389.0,True,True,True,True
