alpha,ret_type,ic_is_h5_n,ic_is_h5_mean,ic_is_h5_std,ic_is_h5_ir,ic_is_h5_pos_pct,ic_oos_h5_n,ic_oos_h5_mean,ic_oos_h5_std,ic_oos_h5_ir,ic_oos_h5_pos_pct,ic_is_h10_n,ic_is_h10_mean,ic_is_h10_std,ic_is_h10_ir,ic_is_h10_pos_pct,ic_oos_h10_n,ic_oos_h10_mean,ic_oos_h10_std,ic_oos_h10_ir,ic_oos_h10_pos_pct,ic_is_h20_n,ic_is_h20_mean,ic_is_h20_std,ic_is_h20_ir,ic_is_h20_pos_pct,ic_oos_h20_n,ic_oos_h20_mean,ic_oos_h20_std,ic_oos_h20_ir,ic_oos_h20_pos_pct,coverage_days,v1_bar,v1,v2,v3,pass,direction
alpha191_138,float,174,-0.0091,0.4826,-0.019,0.443,12,,,,,175,-0.068,0.4536,-0.15,0.451,12,,,,,175,0.0591,0.4441,0.133,0.566,12,,,,,190,0.02,True,False,False,False,-
alpha191_081,float,1212,-0.0509,0.2465,-0.206,0.416,414,-0.0262,0.1954,-0.134,0.442,1212,-0.0657,0.2436,-0.27,0.37,409,-0.0407,0.2011,-0.202,0.416,1212,-0.0781,0.2427,-0.322,0.365,399,-0.0485,0.2206,-0.22,0.393,1631,0.02,True,False,True,False,-
alpha191_100,float,1193,-0.0482,0.2416,-0.2,0.414,414,-0.0231,0.1942,-0.119,0.447,1193,-0.0639,0.2375,-0.269,0.372,409,-0.0397,0.1936,-0.205,0.406,1193,-0.0782,0.2354,-0.332,0.365,399,-0.0498,0.2112,-0.236,0.449,1612,0.02,True,False,True,False,-
alpha191_097,float,1203,-0.0474,0.2411,-0.197,0.408,414,-0.0151,0.1921,-0.079,0.464,1203,-0.0602,0.2368,-0.254,0.37,409,-0.0262,0.1939,-0.135,0.438,1203,-0.074,0.2369,-0.312,0.362,399,-0.0355,0.2135,-0.166,0.449,1622,0.02,True,False,False,False,-
alpha191_159,float,1188,-0.0485,0.3725,-0.13,0.434,414,0.0301,0.4156,0.072,0.539,1188,-0.0591,0.362,-0.163,0.414,409,0.0317,0.4158,0.076,0.562,1188,-0.0843,0.3678,-0.229,0.395,399,0.0283,0.391,0.072,0.579,1607,0.02,True,False,False,False,-
alpha191_165,float,1071,-0.0441,0.3005,-0.147,0.433,414,-0.0358,0.2874,-0.124,0.449,1071,-0.0586,0.298,-0.197,0.43,409,-0.0449,0.2835,-0.159,0.46,1071,-0.0834,0.2709,-0.308,0.356,399,-0.0389,0.277,-0.14,0.444,1490,0.02,True,False,True,False,-
alpha191_149,float,960,-0.0303,0.2586,-0.117,0.456,414,0.0313,0.1785,0.175,0.563,960,-0.0538,0.2515,-0.214,0.397,409,0.0364,0.1843,0.197,0.557,960,-0.0708,0.2496,-0.284,0.381,399,0.0511,0.1997,0.256,0.596,1379,0.02,True,False,False,False,-
alpha191_158,float,1212,-0.039,0.3618,-0.108,0.464,414,0.0233,0.3772,0.062,0.539,1212,-0.0502,0.3543,-0.142,0.429,409,0.0134,0.3799,0.035,0.543,1212,-0.0669,0.3557,-0.188,0.421,399,0.0165,0.3575,0.046,0.541,1631,0.02,True,False,False,False,-
alpha191_127,float,1190,-0.0312,0.3276,-0.095,0.44,414,-0.0092,0.3214,-0.029,0.493,1190,-0.0488,0.3121,-0.156,0.434,409,-0.0186,0.3062,-0.061,0.482,1190,-0.0616,0.3281,-0.188,0.409,399,-0.0385,0.3157,-0.122,0.466,1609,0.02,True,False,False,False,-
alpha191_166,float,1173,0.0223,0.3211,0.07,0.538,414,0.0105,0.3445,0.031,0.546,1173,0.0442,0.313,0.141,0.562,409,0.0257,0.3266,0.079,0.535,1173,0.0453,0.3041,0.149,0.557,399,0.0543,0.3237,0.168,0.591,1592,0.02,True,False,True,False,+
alpha191_054,float,1203,-0.0333,0.2737,-0.122,0.472,414,-0.0291,0.2569,-0.113,0.478,1203,-0.044,0.2612,-0.168,0.437,409,-0.0263,0.2675,-0.098,0.469,1203,-0.0544,0.2722,-0.2,0.408,399,-0.0372,0.262,-0.142,0.444,1622,0.02,True,False,True,False,-
alpha191_132,float,1193,-0.0286,0.1763,-0.162,0.426,414,-0.0158,0.1484,-0.107,0.442,1193,-0.0429,0.1733,-0.248,0.393,409,-0.033,0.1535,-0.215,0.401,1193,-0.0568,0.1749,-0.324,0.38,399,-0.0414,0.1392,-0.298,0.378,1612,0.02,True,False,True,False,-
alpha191_095,float,1193,-0.0277,0.1813,-0.153,0.421,414,-0.0157,0.151,-0.104,0.435,1193,-0.0429,0.1759,-0.244,0.387,409,-0.0341,0.1546,-0.221,0.408,1193,-0.0551,0.1759,-0.313,0.374,399,-0.0448,0.1498,-0.299,0.376,1612,0.02,True,False,True,False,-
alpha191_070,float,1207,-0.0246,0.1862,-0.132,0.438,414,-0.0122,0.1467,-0.083,0.464,1207,-0.0382,0.1822,-0.21,0.416,409,-0.0216,0.1507,-0.143,0.423,1207,-0.0466,0.1834,-0.254,0.412,399,-0.0301,0.148,-0.203,0.444,1626,0.02,True,False,True,False,-
alpha191_125,float,1098,-0.0309,0.2495,-0.124,0.458,414,-0.0305,0.2453,-0.124,0.447,1098,-0.0381,0.2359,-0.161,0.443,409,-0.0261,0.2363,-0.11,0.425,1098,-0.042,0.2171,-0.194,0.424,399,-0.0419,0.2294,-0.183,0.406,1517,0.02,True,False,True,False,-
alpha191_082,float,1207,-0.0314,0.3212,-0.098,0.442,414,-0.0568,0.3173,-0.179,0.413,1207,-0.0379,0.3102,-0.122,0.442,409,-0.0654,0.301,-0.217,0.386,1207,-0.0369,0.3061,-0.121,0.437,399,-0.0621,0.2989,-0.208,0.391,1626,0.02,True,False,True,False,-
alpha191_075,float,1163,0.0266,0.3291,0.081,0.533,414,-0.017,0.2949,-0.058,0.486,1163,0.0373,0.3265,0.114,0.545,409,-0.0132,0.2998,-0.044,0.482,1163,0.0538,0.3131,0.172,0.574,399,-0.0266,0.3074,-0.087,0.451,1582,0.02,True,False,False,False,+
alpha191_023,float,1193,0.0238,0.301,0.079,0.534,414,0.0452,0.3043,0.148,0.56,1193,0.0359,0.2891,0.124,0.55,409,0.0479,0.2805,0.171,0.557,1193,0.0396,0.2765,0.143,0.573,399,0.0463,0.2741,0.169,0.574,1612,0.02,True,False,True,False,+
alpha191_072,float,1207,-0.0275,0.3145,-0.087,0.47,414,-0.059,0.3187,-0.185,0.406,1207,-0.0354,0.3051,-0.116,0.447,409,-0.0694,0.2997,-0.232,0.372,1207,-0.0343,0.3014,-0.114,0.446,399,-0.0691,0.303,-0.228,0.401,1626,0.02,True,False,True,False,-
alpha191_185,float,1212,0.0263,0.2935,0.09,0.54,414,-0.019,0.3128,-0.061,0.471,1212,0.0343,0.29,0.118,0.563,409,-0.0162,0.3081,-0.053,0.46,1212,0.0428,0.2945,0.145,0.573,399,-0.0192,0.2834,-0.068,0.469,1631,0.02,True,False,False,False,+
alpha191_154,binary,1016,-0.0262,0.1884,-0.139,0.443,414,0.0006,0.1938,0.003,0.5,1016,-0.0332,0.19,-0.175,0.433,409,0.0125,0.1995,0.062,0.526,1016,-0.0392,0.1856,-0.211,0.423,399,0.0094,0.1833,0.051,0.524,1616,0.02,True,False,False,False,-
alpha191_047,float,1207,-0.0233,0.3054,-0.076,0.463,414,-0.0619,0.317,-0.195,0.399,1207,-0.0328,0.2954,-0.111,0.456,409,-0.0732,0.2952,-0.248,0.364,1207,-0.0323,0.2911,-0.111,0.457,399,-0.0814,0.3035,-0.268,0.356,1626,0.02,True,False,True,False,-
alpha191_180,float,1146,0.0321,0.2206,0.145,0.565,414,0.008,0.2066,0.039,0.534,1146,0.0305,0.2147,0.142,0.565,409,0.0301,0.2144,0.141,0.55,1146,0.0346,0.2157,0.161,0.561,399,0.0383,0.2123,0.181,0.574,1565,0.02,True,False,True,False,+
