factor,status,skip_reason,compute_s,h5_full_ic,h5_full_ir,h5_full_n,h5_is_ic,h5_is_ir,h5_is_n,h5_oos_ic,h5_oos_ir,h5_oos_n,h5_pass,h10_full_ic,h10_full_ir,h10_full_n,h10_is_ic,h10_is_ir,h10_is_n,h10_oos_ic,h10_oos_ir,h10_oos_n,h10_pass,gates,in_pool,h20_full_ic,h20_full_ir,h20_full_n,h20_is_ic,h20_is_ir,h20_is_n,h20_oos_ic,h20_oos_ir,h20_oos_n,h20_pass
alpha191_001,ok,,16.76,0.037,0.401,8460.0,0.0374,0.399,8046.0,0.0286,0.522,414.0,True,0.0291,0.323,8455.0,0.029,0.317,8046.0,0.03,0.594,409.0,True,"{'v1': True, 'v2': True, 'v3': True, 'a3': True, 'pass': True}",True,0.0322,0.36,8445.0,0.0322,0.354,8046.0,0.0339,0.588,399.0,True
alpha191_002,ok,,0.68,0.0015,0.01,8467.0,0.0012,0.008,8053.0,0.0057,0.042,414.0,False,0.0025,0.018,8462.0,0.0024,0.017,8053.0,0.0039,0.028,409.0,False,"{'v1': False, 'v2': False, 'v3': True, 'a3': True, 'pass': False}",False,0.0005,0.004,8452.0,0.0004,0.003,8053.0,0.0039,0.029,399.0,False
alpha191_003,ok,,3.13,-0.0322,-0.169,8782.0,-0.0327,-0.169,8368.0,-0.0231,-0.163,414.0,False,-0.0169,-0.093,8777.0,-0.0163,-0.089,8368.0,-0.0283,-0.211,409.0,False,"{'v1': False, 'v2': False, 'v3': True, 'a3': True, 'pass': False}",False,-0.0166,-0.094,8767.0,-0.0152,-0.085,8368.0,-0.045,-0.327,399.0,False
alpha191_004,ok,,8.91,0.012,0.103,8330.0,0.0126,0.107,7916.0,-0.0004,-0.005,414.0,False,0.0076,0.068,8326.0,0.0082,0.072,7917.0,-0.0026,-0.032,409.0,False,"{'v1': False, 'v2': False, 'v3': False, 'a3': True, 'pass': False}",False,0.0065,0.059,8316.0,0.0068,0.061,7917.0,0.0008,0.01,399.0,False
alpha191_005,error,TypeError: Rolling.rank() got an unexpected keyword argument 'axis',0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha191_006,ok,,4.25,0.0174,0.095,8663.0,0.0172,0.092,8249.0,0.0207,0.177,414.0,False,0.0012,0.007,8658.0,0.0001,0.001,8249.0,0.0235,0.205,409.0,False,"{'v1': False, 'v2': False, 'v3': True, 'a3': True, 'pass': False}",False,0.0011,0.006,8648.0,-0.0002,-0.001,8249.0,0.0278,0.228,399.0,False
alpha191_007,ok,,16.08,0.0233,0.175,8562.0,0.0236,0.174,8148.0,0.018,0.239,414.0,False,0.0218,0.167,8557.0,0.0219,0.165,8148.0,0.0205,0.298,409.0,False,"{'v1': True, 'v2': False, 'v3': True, 'a3': True, 'pass': False}",False,0.0268,0.205,8547.0,0.0265,0.2,8148.0,0.0322,0.446,399.0,False
alpha191_008,ok,,6.17,-0.0402,-0.211,8668.0,-0.0412,-0.214,8254.0,-0.0205,-0.144,414.0,False,-0.0206,-0.115,8663.0,-0.0205,-0.114,8254.0,-0.0213,-0.152,409.0,False,"{'v1': True, 'v2': False, 'v3': True, 'a3': True, 'pass': False}",False,-0.0173,-0.098,8653.0,-0.0165,-0.092,8254.0,-0.034,-0.233,399.0,False
alpha191_009,ok,,1.73,-0.0357,-0.205,8783.0,-0.0365,-0.208,8369.0,-0.0185,-0.135,414.0,False,-0.0174,-0.105,8778.0,-0.0173,-0.103,8369.0,-0.0204,-0.151,409.0,False,"{'v1': False, 'v2': False, 'v3': True, 'a3': True, 'pass': False}",False,-0.0127,-0.075,8768.0,-0.0118,-0.069,8369.0,-0.0313,-0.228,399.0,False
alpha191_010,ok,,6.01,-0.0401,-0.353,8300.0,-0.0412,-0.366,7886.0,-0.0193,-0.147,414.0,False,-0.0409,-0.376,8295.0,-0.0424,-0.396,7886.0,-0.0121,-0.091,409.0,False,"{'v1': True, 'v2': True, 'v3': False, 'a3': True, 'pass': False}",False,-0.0465,-0.442,8285.0,-0.0479,-0.461,7886.0,-0.0194,-0.152,399.0,False
alpha191_011,ok,,1.6,-0.0312,-0.224,8417.0,-0.032,-0.228,8003.0,-0.0158,-0.131,414.0,False,-0.0184,-0.133,8412.0,-0.0184,-0.132,8003.0,-0.0185,-0.16,409.0,False,"{'v1': False, 'v2': False, 'v3': True, 'a3': True, 'pass': False}",False,-0.0217,-0.15,8402.0,-0.0217,-0.149,8003.0,-0.0207,-0.191,399.0,False
alpha191_012,ok,,9.88,0.041,0.295,8452.0,0.0421,0.301,8038.0,0.0198,0.17,414.0,False,0.0303,0.227,8447.0,0.0305,0.227,8038.0,0.0257,0.23,409.0,False,"{'v1': True, 'v2': False, 'v3': True, 'a3': True, 'pass': False}",False,0.0367,0.27,8437.0,0.0369,0.271,8038.0,0.0319,0.258,399.0,False
alpha191_013,ok,,0.51,0.0121,0.088,8691.0,0.0127,0.091,8277.0,0.0003,0.003,414.0,False,0.0103,0.076,8686.0,0.0109,0.08,8277.0,-0.0018,-0.017,409.0,False,"{'v1': False, 'v2': False, 'v3': False, 'a3': True, 'pass': False}",False,0.0089,0.067,8676.0,0.0096,0.071,8277.0,-0.006,-0.057,399.0,False
alpha191_014,ok,,0.17,-0.0368,-0.18,8779.0,-0.0375,-0.181,8365.0,-0.0221,-0.152,414.0,False,-0.0185,-0.096,8774.0,-0.0182,-0.093,8365.0,-0.0245,-0.174,409.0,False,"{'v1': False, 'v2': False, 'v3': True, 'a3': True, 'pass': False}",False,-0.0154,-0.082,8764.0,-0.0143,-0.075,8365.0,-0.0379,-0.258,399.0,False
