factor,mask,status,lag,v1_thr,h10_full_ic_mean,h10_full_ic_ir,h10_full_n_periods,h10_is_ic_mean,h10_is_ic_ir,h10_is_n_periods,h10_oos_ic_mean,h10_oos_ic_ir,h10_oos_n_periods,v1,v2,v3,period_gate,pass,compute_s,h20_is_ic,h20_oos_ic
dzjy_count_20,A,ok,2,0.02,-0.003,-0.053,3321,-0.0026,-0.045,2912,-0.0058,-0.133,409,False,False,True,True,False,2.8,,
dzjy_deep_disc_5,A,ok,2,0.02,0.0007,0.022,3321,0.0007,0.024,2912,0.0001,0.002,409,False,False,False,True,False,2.9,,
dzjy_amt_share_20,B_dzjy,ok,2,0.02,0.0413,0.319,3321,0.0424,0.323,2912,0.0336,0.29,409,True,True,True,True,True,5.9,0.0538,0.0487
dzjy_prem_mean_20,B_dzjy,ok,2,0.02,0.0015,0.014,3321,0.0031,0.028,2912,-0.0095,-0.097,409,False,False,False,True,False,3.0,,
margin_buy_int_5,C_margin,ok,1,0.02,0.0142,0.146,3953,0.0137,0.141,3544,0.0189,0.187,409,False,False,True,True,False,3.4,,
margin_bal_chg_20,C_margin,ok,1,0.02,-0.0266,-0.264,3893,-0.0246,-0.242,3484,-0.0434,-0.484,409,True,False,True,True,False,3.5,,
margin_short_int_20,C_margin,ok,1,0.02,-0.0239,-0.207,3953,-0.0266,-0.224,3544,-0.0002,-0.002,409,True,False,False,True,False,3.5,,
gdhs_chg_q,A_gdhs,ok,qe+45d->next td,0.02,-0.0244,-0.38,44,-0.0216,-0.349,37,,,7,False,False,False,False,False,2.9,,
gdhs_chg_2q,A_gdhs,ok,qe+45d->next td,0.02,-0.0376,-0.535,42,-0.03,-0.445,35,,,7,False,False,False,False,False,3.0,,
gdhs_level,A_gdhs,ok,qe+45d->next td,0.02,-0.025,-0.148,44,-0.0131,-0.074,37,,,7,False,False,False,False,False,3.0,,
