role,pair,is_ic,is_ir,is_n,oos_ic,oos_n,v1_thr,v1,v2,v3,a3,pass,rank_of_21,abs_is_ic,is_primary,i,seeds,member_is_ic
primary,zoo85_stv+zoo92_coin_team,0.07,0.552,8011.0,0.0816,409.0,0.0762,False,True,True,True,False,5.0,,,,,
nullA,zoo85_terrified+zoo85_stv,,,,,,,,,,,,,0.066,False,,,
nullA,zoo85_terrified+zoo92_coin_team,,,,,,,,,,,,,0.0822,False,,,
nullA,zoo85_terrified+zoo93_arc,,,,,,,,,,,,,0.0686,False,,,
nullA,zoo85_terrified+zoo93_vrc,,,,,,,,,,,,,0.0758,False,,,
nullA,zoo85_terrified+zoo93_src,,,,,,,,,,,,,0.048,False,,,
nullA,zoo85_terrified+zoo93_krc,,,,,,,,,,,,,0.0636,False,,,
nullA,zoo85_stv+zoo92_coin_team,,,,,,,,,,,,,0.07,True,,,
nullA,zoo85_stv+zoo93_arc,,,,,,,,,,,,,0.0511,False,,,
nullA,zoo85_stv+zoo93_vrc,,,,,,,,,,,,,0.0513,False,,,
nullA,zoo85_stv+zoo93_src,,,,,,,,,,,,,0.0157,False,,,
nullA,zoo85_stv+zoo93_krc,,,,,,,,,,,,,0.0282,False,,,
nullA,zoo92_coin_team+zoo93_arc,,,,,,,,,,,,,0.0713,False,,,
nullA,zoo92_coin_team+zoo93_vrc,,,,,,,,,,,,,0.0762,False,,,
nullA,zoo92_coin_team+zoo93_src,,,,,,,,,,,,,0.0539,False,,,
nullA,zoo92_coin_team+zoo93_krc,,,,,,,,,,,,,0.0682,False,,,
nullA,zoo93_arc+zoo93_vrc,,,,,,,,,,,,,0.0564,False,,,
nullA,zoo93_arc+zoo93_src,,,,,,,,,,,,,0.0341,False,,,
nullA,zoo93_arc+zoo93_krc,,,,,,,,,,,,,0.0501,False,,,
nullA,zoo93_vrc+zoo93_src,,,,,,,,,,,,,0.0153,False,,,
nullA,zoo93_vrc+zoo93_krc,,,,,,,,,,,,,0.0292,False,,,
nullA,zoo93_src+zoo93_krc,,,,,,,,,,,,,0.021,False,,,
nullB,,,,,,,,,,,,,,0.0008,,0.0,"67200,67201","0.0011,0.0007"
nullB,,,,,,,,,,,,,,0.0009,,1.0,"67202,67203","0.0006,0.0009"
nullB,,,,,,,,,,,,,,0.0005,,2.0,"67204,67205","-0.0004,-0.0003"
nullB,,,,,,,,,,,,,,0.0004,,3.0,"67206,67207","0.0005,0.0005"
nullB,,,,,,,,,,,,,,0.001,,4.0,"67208,67209","0.0003,0.0014"
nullB,,,,,,,,,,,,,,0.0014,,5.0,"67210,67211","-0.0014,0.0015"
nullB,,,,,,,,,,,,,,0.0008,,6.0,"67212,67213","-0.0004,-0.0002"
nullB,,,,,,,,,,,,,,0.0001,,7.0,"67214,67215","-0.0001,0.0003"
nullB,,,,,,,,,,,,,,0.002,,8.0,"67216,67217","0.0012,0.0004"
nullB,,,,,,,,,,,,,,0.0004,,9.0,"67218,67219","-0.0011,0.0001"
nullB,,,,,,,,,,,,,,0.0009,,10.0,"67220,67221","-0.0,0.0015"
nullB,,,,,,,,,,,,,,0.0014,,11.0,"67222,67223","-0.0013,-0.001"
nullB,,,,,,,,,,,,,,0.0017,,12.0,"67224,67225","0.001,0.0011"
nullB,,,,,,,,,,,,,,0.0007,,13.0,"67226,67227","-0.0007,0.0"
nullB,,,,,,,,,,,,,,0.0005,,14.0,"67228,67229","0.0008,-0.0009"
nullB,,,,,,,,,,,,,,0.0007,,15.0,"67230,67231","-0.0,0.0008"
nullB,,,,,,,,,,,,,,0.0003,,16.0,"67232,67233","0.0001,-0.0004"
nullB,,,,,,,,,,,,,,0.0004,,17.0,"67234,67235","-0.0002,0.0004"
nullB,,,,,,,,,,,,,,0.0008,,18.0,"67236,67237","0.0005,0.0001"
nullB,,,,,,,,,,,,,,0.0007,,19.0,"67238,67239","0.0003,-0.0002"
nullB,,,,,,,,,,,,,,0.0007,,20.0,"67240,67241","0.0001,-0.001"
nullB,,,,,,,,,,,,,,0.0012,,21.0,"67242,67243","-0.0007,0.0003"
nullB,,,,,,,,,,,,,,0.0003,,22.0,"67244,67245","-0.0007,-0.0009"
nullB,,,,,,,,,,,,,,0.0016,,23.0,"67246,67247","-0.0018,0.0007"
nullB,,,,,,,,,,,,,,0.0003,,24.0,"67248,67249","0.0003,0.0004"
nullB,,,,,,,,,,,,,,0.0005,,25.0,"67250,67251","-0.0004,0.0005"
nullB,,,,,,,,,,,,,,0.0003,,26.0,"67252,67253","0.0001,0.0004"
nullB,,,,,,,,,,,,,,0.0011,,27.0,"67254,67255","0.0003,-0.001"
nullB,,,,,,,,,,,,,,0.0017,,28.0,"67256,67257","-0.0008,-0.0008"
nullB,,,,,,,,,,,,,,0.0003,,29.0,"67258,67259","-0.0009,-0.0004"
nullB,,,,,,,,,,,,,,0.0014,,30.0,"67260,67261","-0.0009,-0.0015"
nullB,,,,,,,,,,,,,,0.0009,,31.0,"67262,67263","0.0012,0.0003"
nullB,,,,,,,,,,,,,,0.0012,,32.0,"67264,67265","-0.0004,0.0012"
nullB,,,,,,,,,,,,,,0.001,,33.0,"67266,67267","0.0009,0.0005"
nullB,,,,,,,,,,,,,,0.0017,,34.0,"67268,67269","-0.0008,-0.0008"
nullB,,,,,,,,,,,,,,0.0013,,35.0,"67270,67271","-0.0021,-0.0005"
nullB,,,,,,,,,,,,,,0.0009,,36.0,"67272,67273","0.0002,-0.0007"
nullB,,,,,,,,,,,,,,0.0025,,37.0,"67274,67275","-0.0031,0.001"
nullB,,,,,,,,,,,,,,0.0002,,38.0,"67276,67277","0.0008,0.0001"
nullB,,,,,,,,,,,,,,0.0009,,39.0,"67278,67279","-0.0004,0.0006"
nullB,,,,,,,,,,,,,,0.0006,,40.0,"67280,67281","0.0005,-0.0008"
nullB,,,,,,,,,,,,,,0.0012,,41.0,"67282,67283","0.0014,-0.001"
nullB,,,,,,,,,,,,,,0.0016,,42.0,"67284,67285","-0.0002,0.0017"
nullB,,,,,,,,,,,,,,0.0023,,43.0,"67286,67287","-0.0014,0.0013"
nullB,,,,,,,,,,,,,,0.0006,,44.0,"67288,67289","0.0001,-0.0008"
nullB,,,,,,,,,,,,,,0.0006,,45.0,"67290,67291","-0.0007,0.0002"
nullB,,,,,,,,,,,,,,0.0015,,46.0,"67292,67293","-0.0008,0.0007"
nullB,,,,,,,,,,,,,,0.0012,,47.0,"67294,67295","-0.0008,-0.0001"
nullB,,,,,,,,,,,,,,0.0014,,48.0,"67296,67297","-0.0005,-0.0013"
nullB,,,,,,,,,,,,,,0.0004,,49.0,"67298,67299","-0.001,-0.0005"
