role,point,cost_mult,full_sharpe,full_ann,full_dd,n_trades,oos_sharpe,oos_ann,green,c_i_rand_bar,c_ii_ann_pos,c_iii_dd_ok,c_iv_trades,c_v_oos_double_pos,c_vi_skill_bar
candidate,gtja_top3_r20,1,0.2566,0.0244,-0.2413,573,1.0593,0.1606,False,False,True,True,True,True,False
candidate,gtja_top5_r20,1,0.3533,0.0383,-0.289,1031,1.414,0.2121,False,True,True,True,True,True,False
candidate,gtja_top8_r20,1,0.2043,0.0188,-0.4028,1647,1.2591,0.1973,False,False,True,False,True,True,False
baseline,rand_p0.02_s0,1,-0.1634,-0.0163,-0.3224,792,1.3402,0.112,,,,,,,
baseline,rand_p0.02_s1,1,-0.0852,-0.0106,-0.3488,777,1.2865,0.1134,,,,,,,
baseline,rand_p0.02_s2,1,0.3081,0.0255,-0.1255,852,0.3829,0.0269,,,,,,,
baseline,rand_p0.02_s3,1,0.6027,0.0347,-0.1099,820,0.7344,0.0468,,,,,,,
baseline,rand_p0.02_s4,1,0.1,0.0048,-0.2672,812,1.8343,0.162,,,,,,,
baseline,rand_p0.02_s5,1,-0.1897,-0.0189,-0.2366,826,0.025,-0.0017,,,,,,,
baseline,rand_p0.02_s6,1,-0.3638,-0.0396,-0.3201,857,-0.3747,-0.0495,,,,,,,
baseline,rand_p0.02_s7,1,-0.188,-0.0178,-0.2795,748,0.203,0.0142,,,,,,,
baseline,rand_p0.02_s8,1,0.1256,0.006,-0.2265,822,0.1762,0.0096,,,,,,,
baseline,rand_p0.02_s9,1,-0.2715,-0.0234,-0.2854,793,0.3798,0.0304,,,,,,,
baseline,rand_p0.05_s0,1,0.1954,0.0124,-0.2397,866,1.0576,0.0842,,,,,,,
baseline,rand_p0.05_s1,1,-0.2945,-0.0339,-0.384,897,0.9565,0.1126,,,,,,,
baseline,rand_p0.05_s2,1,-0.2282,-0.0215,-0.2695,817,0.3471,0.0298,,,,,,,
baseline,rand_p0.05_s3,1,-0.0723,-0.0088,-0.2744,899,0.8277,0.0694,,,,,,,
baseline,rand_p0.05_s4,1,0.4237,0.0392,-0.1606,859,0.72,0.0468,,,,,,,
baseline,rand_p0.05_s5,1,0.1404,0.0083,-0.2417,909,0.7339,0.0626,,,,,,,
baseline,rand_p0.05_s6,1,0.1015,0.0047,-0.1734,833,0.7414,0.0599,,,,,,,
baseline,rand_p0.05_s7,1,0.2413,0.0147,-0.2048,884,1.0893,0.0885,,,,,,,
baseline,rand_p0.05_s8,1,0.1,0.0046,-0.1538,829,0.5582,0.0428,,,,,,,
baseline,rand_p0.05_s9,1,-0.1271,-0.014,-0.2679,849,0.5408,0.0494,,,,,,,
