name,family,exit_regime,status,n_trades,oos_trades,annual_return,sharpe,max_drawdown,win_rate,oos_sharpe,oos_annual_return,oos_max_drawdown,i_bar,vi_bar,g1_pass,sleeve_tag,x2_full_sharpe,x2_oos_sharpe,max_corr,note
oversold_bounce_20_15,zoo9_oversold,default,ok,119,41,0.0077,0.3318,-0.0455,0.6555,0.4749,0.0137,-0.0455,0.3521,0.4004,False,True,0.1419,0.2665,0.0987,"20d<-15% & amt MA5<0.8*MA20, state semantics"
oversold_bounce_20_15,zoo9_oversold,ce,ok,115,41,0.0077,0.335,-0.0455,0.6609,0.4749,0.0137,-0.0455,0.4474,0.4004,False,True,0.1513,0.2665,0.099,"20d<-15% & amt MA5<0.8*MA20, state semantics"
low252_prox_top5_r20,zoo12_low_anchor,default,ok,733,180,-0.0452,-0.2671,-0.3735,0.5048,-1.0033,-0.0781,-0.2122,0.3521,0.4004,False,False,-0.4234,-1.0729,0.2373,close/min252 top5 ascending; frozen 20d
low252_prox_top5_r20,zoo12_low_anchor,ce,ok,531,134,-0.0158,-0.0489,-0.3279,0.5913,-0.2741,-0.0247,-0.1635,0.4474,0.4004,False,False,-0.2411,-0.8476,0.2429,close/min252 top5 ascending; frozen 20d
amount_z_60_2,zoo33_amount_anomaly,default,ok,2174,570,-0.0445,-0.427,-0.4338,0.4673,0.8103,0.0808,-0.0706,0.3521,0.4004,False,False,-1.6191,-1.5567,0.3202,"amount 60d z>2, state; same-intent variant of screened turnover_surge_20_2 (read with same-family discount)"
amount_z_60_2,zoo33_amount_anomaly,ce,ok,2155,562,-0.0453,-0.4426,-0.4222,0.4677,0.6842,0.0665,-0.0695,0.4474,0.4004,False,False,-1.6556,-1.1631,0.3159,"amount 60d z>2, state; same-intent variant of screened turnover_surge_20_2 (read with same-family discount)"
vol_price_diverge_20_low,zoo34_vp_diverge,default,ok,1002,223,-0.0509,-0.241,-0.4677,0.5379,0.3815,0.0425,-0.1033,0.3521,0.4004,False,False,-1.4339,-2.3941,0.2729,"factor verbatim close.pc20-vol.pc20, long pole top5 ascending"
vol_price_diverge_20_low,zoo34_vp_diverge,ce,ok,841,214,-0.0151,-0.0132,-0.3881,0.5945,0.4849,0.0591,-0.1146,0.4474,0.4004,False,False,-0.3955,-0.1602,0.2611,"factor verbatim close.pc20-vol.pc20, long pole top5 ascending"
rand_default_p0.02_s0,random_baseline,default,ok,779,246,-0.0119,-0.1238,-0.2555,0.5481,0.4157,0.033,-0.1047,,,,,,,,p=0.02 seed=41000
rand_default_p0.02_s1,random_baseline,default,ok,773,231,-0.0063,-0.0602,-0.2037,0.555,0.2122,0.0134,-0.0804,,,,,,,,p=0.02 seed=41001
