name,family,exit_regime,status,n_trades,oos_trades,annual_return,sharpe,max_drawdown,win_rate,oos_sharpe,oos_annual_return,oos_max_drawdown,vi_bar,i_p95_format,g1_pass,n_syms,n_entry_days,x2_full_sharpe,x2_oos_sharpe,note
limitup_mom@default,limitup_mom,default,ok,2080,0,-0.1843,-0.6637,-0.927,0.5981,0.0,0.0,0.0,0.561,0.2643,False,3286,2812,-0.9408,0.0,seal close==high & pct>=0.92*thr & vol>=1.2*roll5(vol)
limitup_mom@ce,limitup_mom,ce,ok,1936,0,-0.1863,-0.6881,-0.9201,0.5863,0.0,0.0,0.0,0.561,0.3976,False,3286,2812,-0.9408,0.0,seal close==high & pct>=0.92*thr & vol>=1.2*roll5(vol)
limitup_mom_first_board@ce,limitup_mom_first_board,ce,ok,2562,0,-0.1844,-0.6375,-0.9233,0.5812,0.0,0.0,0.0,0.561,0.3976,False,3236,2723,,,seal close==high & pct>=0.92*thr & vol>=1.2*roll5(vol); first board: no seal in prior 20d
limitup_mom_mood@default,limitup_mom_mood,default,ok,2195,249,-0.1235,-0.2784,-0.8927,0.5968,0.8572,0.2834,-0.4452,0.561,0.2643,False,3143,1188,-1.1243,0.0,seal close==high & pct>=0.92*thr & vol>=1.2*roll5(vol)
limitup_mom_mood@ce,limitup_mom_mood,ce,ok,2160,207,-0.1723,-0.4722,-0.9005,0.5884,-0.3452,-0.1871,-0.5548,0.561,0.3976,False,3143,1188,-1.1243,0.0,seal close==high & pct>=0.92*thr & vol>=1.2*roll5(vol)
dragon_head@default,dragon_head,default,ok,1811,0,-0.1854,-0.7011,-0.9307,0.5516,0.0,0.0,0.0,0.561,0.2643,False,1723,2672,-0.8393,0.0,"count5>=2 seal streak, tk=top3 by streak; exit: streak break (ds>=2) or run age>5"
dragon_head@ce,dragon_head,ce,ok,1801,0,-0.1847,-0.6955,-0.9294,0.5519,0.0,0.0,0.0,0.561,0.3976,False,1723,2672,-0.8393,0.0,"count5>=2 seal streak, tk=top3 by streak; exit: streak break (ds>=2) or run age>5"
dragon_head_mood@default,dragon_head_mood,default,ok,838,0,-0.1916,-1.0028,-0.9098,0.5119,0.0,0.0,0.0,0.561,0.2643,False,1245,1172,-1.0272,0.0,"count5>=2 seal streak, tk=top3 by streak; exit: streak break (ds>=2) or run age>5"
dragon_head_mood@ce,dragon_head_mood,ce,ok,866,0,-0.1865,-0.9611,-0.9031,0.5139,0.0,0.0,0.0,0.561,0.3976,False,1245,1172,-1.0272,0.0,"count5>=2 seal streak, tk=top3 by streak; exit: streak break (ds>=2) or run age>5"
ban_open@default,ban_open,default,ok,1037,0,-0.1857,-0.847,-0.9315,0.5699,0.0,0.0,0.0,0.561,0.2643,False,1677,1578,-1.0273,0.0,yesterday high_ret>=thr & high->close drop>=2%; today pct>=+3% confirm
ban_open@ce,ban_open,ce,ok,1042,0,-0.185,-0.817,-0.9295,0.5576,0.0,0.0,0.0,0.561,0.3976,False,1677,1578,-1.0273,0.0,yesterday high_ret>=thr & high->close drop>=2%; today pct>=+3% confirm
limit_down_buy@default,limit_down_buy,default,ok,2607,173,-0.1866,-0.5096,-0.9141,0.5834,-0.3114,-0.1965,-0.4664,0.561,0.2643,False,2794,1721,-0.8333,0.0,yesterday pct<=-(thr-0.5pp); today pct>-2 no-crash confirm
limit_down_buy@ce,limit_down_buy,ce,ok,2740,177,-0.1845,-0.5901,-0.9129,0.5934,-0.4673,-0.2246,-0.5034,0.561,0.3976,False,2794,1721,-0.8333,0.0,yesterday pct<=-(thr-0.5pp); today pct>-2 no-crash confirm
sub_new@default,sub_new,default,ok,1462,0,-0.1845,-0.7124,-0.9262,0.5821,0.0,0.0,0.0,0.561,0.2643,False,1248,2830,-0.7696,0.0,"listing age 20-250 bars, mom10 top5 frozen 5d membership"
sub_new@ce,sub_new,ce,ok,1398,0,-0.1844,-0.7207,-0.9258,0.5823,0.0,0.0,0.0,0.561,0.3976,False,1248,2830,-0.7696,0.0,"listing age 20-250 bars, mom10 top5 frozen 5d membership"
lhb_follow_tk5@default,lhb_follow_tk5,default,ok,953,0,-0.1889,-0.9466,-0.9185,0.5593,0.0,0.0,0.0,0.561,0.2643,False,3114,2815,-1.0675,0.0,"LHB dedup'd event, netbuy>0 & netbuy/mkt>=3%, signal at E+1 (disclosure lag 1 trading day)"
lhb_follow_tk5@ce,lhb_follow_tk5,ce,ok,958,0,-0.1867,-0.8839,-0.9124,0.5626,0.0,0.0,0.0,0.561,0.3976,False,3114,2815,-1.0675,0.0,"LHB dedup'd event, netbuy>0 & netbuy/mkt>=3%, signal at E+1 (disclosure lag 1 trading day)"
lhb_follow_tk8@default,lhb_follow_tk8,default,ok,1415,0,-0.1844,-0.8196,-0.9273,0.5647,0.0,0.0,0.0,0.561,0.2643,False,3114,2815,-1.0033,0.0,"LHB dedup'd event, netbuy>0 & netbuy/mkt>=3%, signal at E+1 (disclosure lag 1 trading day)"
lhb_follow_tk8@ce,lhb_follow_tk8,ce,ok,1809,0,-0.1849,-0.5057,-0.9205,0.5473,0.0,0.0,0.0,0.561,0.3976,False,3114,2815,-1.0033,0.0,"LHB dedup'd event, netbuy>0 & netbuy/mkt>=3%, signal at E+1 (disclosure lag 1 trading day)"
null_default_s20260936,random_null,default,ok,2862,394,0.0115,0.153,-0.3473,,0.4543,0.0448,-0.1272,,,,3029,,,,seed=20260936
