name,family,exit_regime,status,n_trades,oos_trades,annual_return,sharpe,max_drawdown,win_rate,oos_sharpe,oos_annual_return,oos_max_drawdown,i_bar,vi_bar,g1_pass,sleeve_tag,x2_full_sharpe,x2_oos_sharpe,max_corr,note
strong_close,ta_strong_close,default,ok,1376,387,-0.0714,-0.9603,-0.4314,0.4251,-0.7828,-0.0663,-0.1716,0.3521,0.4004,False,False,-1.7048,-1.6746,0.1551,"M0923 StrongClose frozen 0.85/1.5/20, state"
strong_close,ta_strong_close,ce,ok,1374,385,-0.0718,-0.9629,-0.4333,0.425,-0.7956,-0.0682,-0.1761,0.4474,0.4004,False,False,-1.7048,-1.6746,0.1553,"M0923 StrongClose frozen 0.85/1.5/20, state"
macd_trend,ta_macd_trend,default,ok,1404,382,-0.0217,-0.2035,-0.3005,0.4957,-0.0677,-0.0125,-0.1162,0.3521,0.4004,False,False,-0.7263,-0.5724,0.4816,"M0923 MacdTrend 12/26/9 condition-state, zero-line confirm"
macd_trend,ta_macd_trend,ce,ok,1198,328,-0.0076,-0.0536,-0.2295,0.5008,0.0471,0.0,-0.1049,0.4474,0.4004,False,False,-0.5137,-0.3917,0.4896,"M0923 MacdTrend 12/26/9 condition-state, zero-line confirm"
kdj_reversal,ta_kdj_reversal,default,ok,867,250,-0.0033,0.0192,-0.1795,0.5548,0.1499,0.0091,-0.0957,0.3521,0.4004,False,False,-0.3004,-0.2982,0.6745,"M0923 KdjReversal 9/0/80/60, J oversold above MA60"
kdj_reversal,ta_kdj_reversal,ce,ok,665,192,0.0129,0.1803,-0.1628,0.6421,0.0451,0.0004,-0.094,0.4474,0.4004,False,False,-0.0758,-0.277,0.6899,"M0923 KdjReversal 9/0/80/60, J oversold above MA60"
rsrs_timing,ta_rsrs_timing,default,ok,949,310,-0.0292,-0.2534,-0.2716,0.5248,0.3734,0.039,-0.1575,0.3521,0.4004,False,False,-0.5692,0.0204,0.244,"Everbright RSRS 18/250/0.8/-0.8, panel adaptation pre-reg"
rsrs_timing,ta_rsrs_timing,ce,ok,657,237,-0.0011,0.0334,-0.236,0.583,0.8398,0.0861,-0.1124,0.4474,0.4004,False,True,-0.1749,0.5955,0.2578,"Everbright RSRS 18/250/0.8/-0.8, panel adaptation pre-reg"
streak_up,ta_streak_up,default,ok,2424,624,-0.0894,-0.9763,-0.5007,0.4323,-0.582,-0.0673,-0.1673,0.3521,0.4004,False,False,-2.5293,-2.5808,0.1708,M0923 Streak 3-day up relay
streak_up,ta_streak_up,ce,ok,2424,624,-0.0894,-0.9763,-0.5007,0.4323,-0.582,-0.0673,-0.1673,0.4474,0.4004,False,False,-2.5293,-2.5808,0.1708,M0923 Streak 3-day up relay
