key,family,top_k,n_trades,num_entries,annual_return,sharpe,max_drawdown,oos_sharpe,oos_annual_return,oos_max_drawdown,vi,vi_ok,ci_lb_positive,entries_ok,trades_ok,d6_max_abs,d6_ok,g1_pass_v2,n_rebal_days,run_seconds
gq_top5,gdhs,5,338,220,-0.0122,-0.2124,-0.1999,-1.3457,-0.0529,-0.0921,0.561,False,False,True,True,0.0558,True,False,44,8.8
gq_top10,gdhs,10,692,440,-0.0304,-0.278,-0.3331,-1.2402,-0.1082,-0.183,0.561,False,False,True,True,0.0701,True,False,44,18.1
g2q_top5,gdhs,5,327,210,-0.0236,-0.4344,-0.2646,-1.42,-0.0711,-0.1617,0.561,False,False,True,True,0.0392,True,False,42,8.7
g2q_top10,gdhs,10,671,420,-0.0103,-0.081,-0.2794,-0.9123,-0.0725,-0.1818,0.561,False,False,True,True,0.0559,True,False,42,16.3
dz20_top10,dzjy,10,2208,1419,0.0144,0.1814,-0.2615,-0.4271,-0.0403,-0.1819,0.561,False,False,True,True,0.2026,True,False,142,28.6
nullq_s49000,random_null_q,10,700,460,-0.0156,-0.1365,-0.3084,,,,0.561,,,,,,,,,17.9
nullq_s49001,random_null_q,10,700,459,-0.0094,-0.0782,-0.2357,,,,0.561,,,,,,,,,18.4
nullq_s49002,random_null_q,10,699,460,-0.0267,-0.2555,-0.336,,,,0.561,,,,,,,,,17.9
nullq_s49003,random_null_q,10,690,458,-0.028,-0.2724,-0.4097,,,,0.561,,,,,,,,,18.9
nullq_s49004,random_null_q,10,717,460,0.006,0.1139,-0.2167,,,,0.561,,,,,,,,,18.7
nullq_s49005,random_null_q,10,705,458,-0.0099,-0.0856,-0.2112,,,,0.561,,,,,,,,,18.5
nullq_s49006,random_null_q,10,718,460,-0.0039,-0.0054,-0.2745,,,,0.561,,,,,,,,,19.2
nullq_s49007,random_null_q,10,695,460,-0.0209,-0.2147,-0.2969,,,,0.561,,,,,,,,,18.7
nullq_s49008,random_null_q,10,707,459,-0.0218,-0.2082,-0.3199,,,,0.561,,,,,,,,,19.0
nullq_s49009,random_null_q,10,702,460,-0.0194,-0.1638,-0.3166,,,,0.561,,,,,,,,,19.6
nullq_s49010,random_null_q,10,683,459,-0.0289,-0.3142,-0.385,,,,0.561,,,,,,,,,17.7
nullq_s49011,random_null_q,10,691,459,-0.0283,-0.3279,-0.3971,,,,0.561,,,,,,,,,17.9
nullq_s49012,random_null_q,10,704,460,-0.0219,-0.2358,-0.3067,,,,0.561,,,,,,,,,17.9
nullq_s49013,random_null_q,10,694,460,-0.0123,-0.1003,-0.2772,,,,0.561,,,,,,,,,18.3
nullq_s49014,random_null_q,10,692,459,-0.0229,-0.2019,-0.3407,,,,0.561,,,,,,,,,17.9
nullq_s49015,random_null_q,10,715,459,0.0078,0.1418,-0.1591,,,,0.561,,,,,,,,,18.8
nullq_s49016,random_null_q,10,700,460,-0.0166,-0.1702,-0.2917,,,,0.561,,,,,,,,,18.0
nullq_s49017,random_null_q,10,699,460,-0.021,-0.1964,-0.3128,,,,0.561,,,,,,,,,18.8
nullq_s49018,random_null_q,10,710,460,0.0035,0.0845,-0.2065,,,,0.561,,,,,,,,,17.7
nullq_s49019,random_null_q,10,687,459,-0.0181,-0.1696,-0.3297,,,,0.561,,,,,,,,,18.0
nulld_s49100,random_null_d20,10,1862,1229,-0.1393,-0.609,-0.8744,,,,0.561,,,,,,,,,38.9
nulld_s49101,random_null_d20,10,2219,1419,-0.0331,-0.1473,-0.4882,,,,0.561,,,,,,,,,41.2
nulld_s49102,random_null_d20,10,2245,1419,-0.0067,0.024,-0.3206,,,,0.561,,,,,,,,,41.0
nulld_s49103,random_null_d20,10,2199,1418,-0.0276,-0.0822,-0.5743,,,,0.561,,,,,,,,,41.3
nulld_s49104,random_null_d20,10,1924,1288,-0.1128,-0.4582,-0.8064,,,,0.561,,,,,,,,,37.5
nulld_s49105,random_null_d20,10,2194,1417,-0.0362,-0.1443,-0.5896,,,,0.561,,,,,,,,,40.4
nulld_s49106,random_null_d20,10,2249,1419,-0.0095,0.0127,-0.4127,,,,0.561,,,,,,,,,39.9
nulld_s49107,random_null_d20,10,2208,1418,-0.0248,-0.0899,-0.4535,,,,0.561,,,,,,,,,39.1
nulld_s49108,random_null_d20,10,2229,1419,-0.0253,-0.0886,-0.4892,,,,0.561,,,,,,,,,39.1
nulld_s49109,random_null_d20,10,2171,1410,-0.0652,-0.2802,-0.6727,,,,0.561,,,,,,,,,41.0
nulld_s49110,random_null_d20,10,2174,1415,-0.0459,-0.1672,-0.5823,,,,0.561,,,,,,,,,40.1
nulld_s49111,random_null_d20,10,2232,1416,-0.0327,-0.1141,-0.4333,,,,0.561,,,,,,,,,40.8
nulld_s49112,random_null_d20,10,2152,1410,-0.0713,-0.26,-0.662,,,,0.561,,,,,,,,,39.5
nulld_s49113,random_null_d20,10,2200,1418,-0.0213,-0.0593,-0.6059,,,,0.561,,,,,,,,,41.7
nulld_s49114,random_null_d20,10,2207,1417,-0.0367,-0.1366,-0.5859,,,,0.561,,,,,,,,,40.7
nulld_s49115,random_null_d20,10,2251,1418,-0.0009,0.0709,-0.4655,,,,0.561,,,,,,,,,40.6
nulld_s49116,random_null_d20,10,2239,1419,-0.0231,-0.0569,-0.4497,,,,0.561,,,,,,,,,38.8
nulld_s49117,random_null_d20,10,2227,1418,-0.036,-0.1476,-0.5116,,,,0.561,,,,,,,,,40.0
nulld_s49118,random_null_d20,10,2197,1416,-0.0339,-0.1144,-0.5208,,,,0.561,,,,,,,,,39.5
nulld_s49119,random_null_d20,10,2237,1415,-0.0087,0.0125,-0.4739,,,,0.561,,,,,,,,,39.5
