name,family,exit_regime,status,n_trades,oos_trades,annual_return,sharpe,max_drawdown,win_rate,oos_sharpe,oos_annual_return,oos_max_drawdown,i_bar,vi_bar,g1_pass,sleeve_tag,x2_full_sharpe,x2_oos_sharpe,max_corr,note
morning_star,s10_patterns,default,ok,171,45,-0.0002,0.0173,-0.0734,0.5965,-0.2406,-0.0124,-0.0734,0.3521,0.4004,False,False,-0.1236,-0.3742,0.1137,patterns.morning_star frozen
morning_star,s10_patterns,ce,ok,143,41,0.0014,0.054,-0.0727,0.6643,-0.2177,-0.0112,-0.0727,0.4474,0.4004,False,False,-0.064,-0.3378,0.1176,patterns.morning_star frozen
three_soldiers,s10_patterns,default,ok,1356,378,-0.0213,-0.1593,-0.3115,0.5103,0.6048,0.0716,-0.1269,0.3521,0.4004,False,False,-0.5513,0.2221,0.2573,patterns.three_soldiers frozen
three_soldiers,s10_patterns,ce,ok,1241,336,-0.0164,-0.1179,-0.3409,0.5133,0.9562,0.1131,-0.0788,0.4474,0.4004,False,False,-0.4763,0.6001,0.2646,patterns.three_soldiers frozen
piercing_line,s10_patterns,default,ok,322,65,-0.0192,-0.3458,-0.1514,0.5683,-0.9212,-0.0448,-0.1104,0.3521,0.4004,False,False,-0.593,-1.1188,0.0821,patterns.piercing_line frozen
piercing_line,s10_patterns,ce,ok,283,61,-0.0194,-0.3515,-0.1518,0.629,-1.0307,-0.0491,-0.1168,0.4474,0.4004,False,False,-0.5677,-1.2147,0.0824,patterns.piercing_line frozen
needle_probe,s10_patterns,default,ok,73,23,0.0168,0.6624,-0.0282,0.7534,0.4089,0.0119,-0.0282,0.3521,0.4004,True,False,0.5738,0.3199,0.1256,patterns.needle_probe frozen
needle_probe,s10_patterns,ce,ok,63,20,0.0161,0.6395,-0.0281,0.7937,0.4023,0.0116,-0.0281,0.4474,0.4004,True,False,0.5636,0.3268,0.1272,patterns.needle_probe frozen
three_methods_up,s10_patterns,default,ok,54,22,0.0015,0.0897,-0.0403,0.6296,0.5381,0.0162,-0.0214,0.3521,0.4004,False,True,0.0023,0.4591,0.088,patterns.three_methods_up frozen
three_methods_up,s10_patterns,ce,ok,49,18,0.0015,0.0945,-0.0383,0.6122,0.5009,0.0137,-0.0195,0.4474,0.4004,False,True,0.0143,0.4373,0.0791,patterns.three_methods_up frozen
island_reversal,s10_patterns,default,ok,53,28,-0.0036,-0.3057,-0.0417,0.3962,-0.7084,-0.0141,-0.0417,0.3521,0.4004,False,False,-0.4861,-0.9283,0.085,patterns.island_reversal frozen
island_reversal,s10_patterns,ce,ok,44,22,-0.003,-0.2555,-0.0375,0.3864,-0.5981,-0.0119,-0.0375,0.4474,0.4004,False,False,-0.4069,-0.7738,0.0834,patterns.island_reversal frozen
doji_at_low,s10_patterns,default,ok,541,141,0.0133,0.2102,-0.1913,0.5989,0.3398,0.0211,-0.0877,0.3521,0.4004,False,True,-0.034,0.0726,0.1964,patterns.doji_at_low frozen
doji_at_low,s10_patterns,ce,ok,422,105,0.0155,0.2438,-0.1685,0.6872,0.4018,0.0242,-0.074,0.4474,0.4004,False,True,0.0523,0.2008,0.2048,patterns.doji_at_low frozen
big_yin_shakeout,s10_patterns,default,ok,53,13,-0.0079,-0.38,-0.0675,0.4528,-0.0628,-0.0013,-0.018,0.3521,0.4004,False,False,-0.4607,-0.1458,0.0465,patterns.big_yin_shakeout frozen
big_yin_shakeout,s10_patterns,ce,ok,41,8,-0.0093,-0.4699,-0.0771,0.3902,-0.0396,-0.0008,-0.0142,0.4474,0.4004,False,False,-0.5284,-0.09,0.0382,patterns.big_yin_shakeout frozen
macd_divergence,s10_patterns,default,ok,873,228,-0.0669,-0.6109,-0.4589,0.5349,-0.0319,-0.0094,-0.1623,0.3521,0.4004,False,False,-1.0527,-0.5835,0.2544,patterns.macd_divergence frozen
