name,kind,pair,adf_t,beta,sharpe_full,sharpe_oos,annual_return,max_drawdown,n_trades,n_entries,note
pairs_pooled,candidate,K8,,,0.1406,1.3434,0.0049,-0.1389,229,187,v2_pass=False
pairs_pooled_x2,cost_x2,K8,,,-0.0408,1.0557,-0.0026,-0.1604,229,,survives_vi=False
single_159934_518880,single,159934/518880,,,-0.1464,0.4575,-0.0004,-0.0077,33,,
single_512000_512880,single,512000/512880,,,0.4523,0.9643,0.0033,-0.0113,30,,
single_588000_588080,single,588000/588080,,,0.2895,0.6402,0.0027,-0.0153,30,,
single_159928_512010,single,159928/512010,,,-0.3282,-0.0903,-0.0102,-0.094,28,,
single_512170_515170,single,512170/515170,,,-0.1286,1.0935,-0.0011,-0.0215,20,,
single_511010_511260,single,511010/511260,,,-0.5694,-0.0601,-0.0004,-0.0039,21,,
single_512480_512710,single,512480/512710,,,0.6434,1.1324,0.0071,-0.0158,44,,
single_159915_510500,single,159915/510500,,,0.2982,0.2095,0.0036,-0.024,23,,
null_0,null,K8,,,-0.3321,-0.1963,-0.0171,-0.1568,224,,
null_1,null,K8,,,-0.1914,0.0958,-0.0074,-0.1233,208,,
null_2,null,K8,,,-0.0018,0.5431,-0.0017,-0.1925,280,,
null_3,null,K8,,,0.0211,0.2423,-0.0005,-0.139,220,,
null_4,null,K8,,,-0.0924,-0.245,-0.0037,-0.0972,205,,
null_5,null,K8,,,0.5012,0.5369,0.0186,-0.0648,287,,
null_6,null,K8,,,0.5711,0.8759,0.0394,-0.0474,256,,
null_7,null,K8,,,0.3648,0.2934,0.0094,-0.0435,207,,
null_8,null,K8,,,0.4514,0.5162,0.0189,-0.0746,283,,
null_9,null,K8,,,-0.126,0.3369,-0.0057,-0.1391,218,,
null_10,null,K8,,,0.0165,0.7174,-0.0002,-0.1399,274,,
null_11,null,K8,,,0.2747,0.562,0.0081,-0.0709,218,,
null_12,null,K8,,,0.1522,0.9655,0.0071,-0.134,208,,
null_13,null,K8,,,0.5423,0.5626,0.0194,-0.0399,241,,
null_14,null,K8,,,0.391,0.5911,0.014,-0.1267,230,,
null_15,null,K8,,,0.0009,0.3671,-0.0005,-0.086,197,,
null_16,null,K8,,,0.256,0.7581,0.0071,-0.0647,182,,
null_17,null,K8,,,0.3926,1.6478,0.0213,-0.1,261,,
null_18,null,K8,,,0.3513,0.6894,0.0179,-0.0958,278,,
null_19,null,K8,,,0.0965,0.8847,0.0037,-0.1837,252,,
null_20,null,K8,,,-0.1997,0.8271,-0.0124,-0.1744,267,,
null_21,null,K8,,,-0.0522,0.9593,-0.0028,-0.1114,240,,
null_22,null,K8,,,0.1913,1.0306,0.0065,-0.0805,288,,
null_23,null,K8,,,0.2978,1.2702,0.0128,-0.1002,257,,
null_24,null,K8,,,0.3024,0.8247,0.0079,-0.0403,194,,
null_25,null,K8,,,0.248,0.3543,0.01,-0.0704,255,,
null_26,null,K8,,,0.2418,1.1195,0.0092,-0.1236,247,,
null_27,null,K8,,,0.251,0.2329,0.0092,-0.1039,200,,
null_28,null,K8,,,0.135,0.8755,0.0045,-0.0872,233,,
null_29,null,K8,,,-0.1766,0.6747,-0.0066,-0.0964,218,,
null_30,null,K8,,,0.2738,1.4188,0.011,-0.1149,249,,
null_31,null,K8,,,0.1341,0.9783,0.0051,-0.1183,231,,
null_32,null,K8,,,-0.4067,0.4942,-0.0166,-0.1542,193,,
null_33,null,K8,,,0.452,1.1105,0.0179,-0.0771,233,,
null_34,null,K8,,,0.2991,1.3552,0.009,-0.0764,218,,
null_35,null,K8,,,0.4202,0.5832,0.0316,-0.0816,301,,
null_36,null,K8,,,0.394,0.7624,0.0228,-0.1204,254,,
null_37,null,K8,,,0.3279,0.719,0.0232,-0.0672,241,,
null_38,null,K8,,,0.252,0.1873,0.0059,-0.0372,190,,
null_39,null,K8,,,0.0237,0.492,-0.0,-0.1205,233,,
null_40,null,K8,,,-0.1176,0.9687,-0.0043,-0.116,207,,
null_41,null,K8,,,0.167,0.2797,0.0088,-0.173,211,,
null_42,null,K8,,,-0.0618,0.2946,-0.0038,-0.1572,227,,
null_43,null,K8,,,0.3369,2.0473,0.0126,-0.1284,237,,
null_44,null,K8,,,0.0985,-0.0039,0.0034,-0.0976,237,,
null_45,null,K8,,,-0.1691,0.7084,-0.0061,-0.1409,238,,
null_46,null,K8,,,0.2141,0.7524,0.0079,-0.0683,229,,
null_47,null,K8,,,0.0689,0.6278,0.0019,-0.0911,212,,
null_48,null,K8,,,1.1834,2.0042,0.0294,-0.0246,202,,
null_49,null,K8,,,-0.2939,0.3006,-0.0139,-0.1531,270,,
ew48_buyhold,passive,,,,0.3004,0.7101,,,,,
