name,family,exit_regime,status,n_trades,oos_trades,annual_return,sharpe,max_drawdown,win_rate,oos_sharpe,oos_annual_return,oos_max_drawdown,i_bar,vi_bar,g1_pass,sleeve_tag,x2_full_sharpe,x2_oos_sharpe,max_corr,note
cci_revert,s9_ta_queue,default,ok,583,169,-0.0208,-0.2244,-0.2216,0.5369,-0.0774,-0.0078,-0.0791,0.3521,0.4004,False,False,-0.504,-0.4686,0.3179,ta.cci_revert frozen
cci_revert,s9_ta_queue,ce,ok,388,110,-0.0176,-0.1931,-0.2121,0.5696,-0.0203,-0.0036,-0.0702,0.4474,0.4004,False,False,-0.3749,-0.2673,0.3158,ta.cci_revert frozen
williams_reversal,s9_ta_queue,default,ok,1053,288,-0.0267,-0.242,-0.335,0.5337,0.4082,0.0332,-0.0922,0.3521,0.4004,False,False,-0.6975,-0.1602,0.4228,ta.williams_reversal frozen
williams_reversal,s9_ta_queue,ce,ok,792,218,-0.0332,-0.2929,-0.3671,0.6237,0.2497,0.019,-0.0885,0.4474,0.4004,False,False,-0.6266,-0.1795,0.4096,ta.williams_reversal frozen
nr7_breakout,s9_ta_queue,default,ok,1497,380,-0.0233,-0.231,-0.3264,0.4696,0.2985,0.0242,-0.1142,0.3521,0.4004,False,False,-0.8124,-0.2775,0.2327,ta.nr7_breakout frozen
nr7_breakout,s9_ta_queue,ce,ok,1322,332,-0.0118,-0.1092,-0.2527,0.4697,0.2299,0.0172,-0.1001,0.4474,0.4004,False,False,-0.6353,-0.226,0.2876,ta.nr7_breakout frozen
bb_squeeze_breakout,s9_ta_queue,default,ok,672,167,0.0117,0.2386,-0.1342,0.5298,0.5315,0.0281,-0.0569,0.3521,0.4004,False,True,-0.118,0.2086,0.2425,ta.bb_squeeze_breakout frozen
bb_squeeze_breakout,s9_ta_queue,ce,ok,495,131,0.0114,0.2384,-0.1384,0.5576,0.6196,0.0315,-0.0573,0.4474,0.4004,False,True,-0.0162,0.3711,0.2321,ta.bb_squeeze_breakout frozen
rsi_divergence,s9_ta_queue,default,ok,909,239,-0.0481,-0.5076,-0.3956,0.5347,-0.3378,-0.0369,-0.1462,0.3521,0.4004,False,False,-1.0568,-1.1183,0.3793,ta.rsi_divergence frozen
rsi_divergence,s9_ta_queue,ce,ok,693,185,-0.0298,-0.3225,-0.3257,0.6392,-0.2166,-0.0224,-0.1231,0.4474,0.4004,False,False,-0.6764,-0.5905,0.3683,ta.rsi_divergence frozen
rand_default_p0.02_s0,random_baseline,default,ok,811,224,0.0184,0.3111,-0.141,0.5808,-0.0016,-0.0023,-0.0641,,,,,,,,p=0.02 seed=44000
rand_default_p0.02_s1,random_baseline,default,ok,764,242,0.0106,0.1763,-0.2214,0.5929,1.1186,0.0843,-0.0678,,,,,,,,p=0.02 seed=44001
rand_default_p0.02_s2,random_baseline,default,ok,792,227,0.001,0.0486,-0.1566,0.548,0.3283,0.0216,-0.0649,,,,,,,,p=0.02 seed=44002
rand_default_p0.02_s3,random_baseline,default,ok,791,241,0.0042,0.0977,-0.1381,0.5461,0.5128,0.0341,-0.0478,,,,,,,,p=0.02 seed=44003
rand_default_p0.02_s4,random_baseline,default,ok,783,238,0.0103,0.1779,-0.1803,0.5683,1.076,0.0796,-0.0563,,,,,,,,p=0.02 seed=44004
rand_default_p0.02_s5,random_baseline,default,ok,757,236,0.0042,0.0897,-0.3296,0.5495,0.4878,0.034,-0.0934,,,,,,,,p=0.02 seed=44005
rand_default_p0.02_s6,random_baseline,default,ok,748,234,-0.0014,0.0163,-0.2041,0.5481,0.9618,0.0798,-0.0591,,,,,,,,p=0.02 seed=44006
rand_default_p0.02_s7,random_baseline,default,ok,817,248,-0.0287,-0.2648,-0.1989,0.5324,-0.4228,-0.0434,-0.1381,,,,,,,,p=0.02 seed=44007
rand_default_p0.02_s8,random_baseline,default,ok,774,247,0.028,0.3213,-0.1697,0.5581,0.5888,0.0356,-0.0526,,,,,,,,p=0.02 seed=44008
rand_default_p0.02_s9,random_baseline,default,ok,780,230,0.024,0.2634,-0.1978,0.5603,0.8752,0.0611,-0.0576,,,,,,,,p=0.02 seed=44009
rand_default_p0.02_s10,random_baseline,default,ok,778,253,0.0014,0.0577,-0.2605,0.5797,0.7184,0.0613,-0.0679,,,,,,,,p=0.02 seed=44010
rand_default_p0.02_s11,random_baseline,default,ok,779,235,0.0371,0.5276,-0.1507,0.5892,0.5896,0.0343,-0.0519,,,,,,,,p=0.02 seed=44011
rand_default_p0.02_s12,random_baseline,default,ok,815,248,-0.0147,-0.1622,-0.225,0.5693,0.3214,0.0261,-0.0902,,,,,,,,p=0.02 seed=44012
rand_default_p0.02_s13,random_baseline,default,ok,778,233,-0.0324,-0.3376,-0.3282,0.5604,-0.0075,-0.0054,-0.1094,,,,,,,,p=0.02 seed=44013
rand_default_p0.02_s14,random_baseline,default,ok,761,240,-0.008,-0.0737,-0.216,0.5532,0.2491,0.018,-0.0933,,,,,,,,p=0.02 seed=44014
rand_default_p0.02_s15,random_baseline,default,ok,777,225,0.0037,0.0841,-0.1676,0.5264,-0.3615,-0.0282,-0.0995,,,,,,,,p=0.02 seed=44015
