trader,start,n_listed,partial_12m,ret_3m,ret_6m,ret_12m,p_ret_3m,p_ret_6m,p_ret_12m,sharpe_3m,sharpe_6m,sharpe_12m,dd_3m,dd_6m,dd_12m,trades_6m,beat_3m,beat_6m,beat_12m
ENGULF-CE-01,2021-01-29,46,False,0.000692,0.011023,-0.012412,-0.076403,-0.040062,-0.129763,0.1991,1.2259,-0.4726,-0.0069,-0.0069,-0.0419,4,True,True,True
ENGULF-CE-01,2021-03-11,46,False,0.000345,0.001149,-0.010552,0.035949,0.034217,-0.104053,0.1034,0.0993,-0.3813,-0.0065,-0.0208,-0.042,7,False,False,True
ENGULF-CE-01,2021-04-14,46,False,0.0,-0.002625,-0.010179,0.069029,0.047418,-0.189339,0.0,-0.1892,-0.377,0.0,-0.0208,-0.042,9,False,False,True
ENGULF-CE-01,2021-05-25,47,False,-4.7e-05,-0.009106,0.029572,-0.025984,-0.002124,-0.157948,0.0069,-0.5977,0.7784,-0.0151,-0.0307,-0.042,13,True,False,True
ENGULF-CE-01,2021-07-06,47,False,-0.002616,-0.009106,0.029572,-0.009287,-0.031693,-0.149445,-0.2717,-0.5977,0.7784,-0.0208,-0.0307,-0.042,13,True,True,True
ENGULF-CE-01,2021-08-16,47,False,-0.019336,-0.020915,0.02134,0.002341,-0.101815,-0.168116,-2.1619,-1.3229,0.5879,-0.0241,-0.0355,-0.0355,14,False,True,True
ENGULF-CE-01,2021-09-13,47,False,-0.009045,-0.012006,0.032549,-0.00523,-0.141114,-0.186503,-1.5164,-0.8769,0.9284,-0.0165,-0.0279,-0.0279,12,False,True,True
ENGULF-CE-01,2021-10-21,47,False,-0.008704,-0.010443,0.048365,-0.040207,-0.245572,-0.183452,-1.6072,-0.7782,1.2933,-0.0158,-0.0277,-0.0277,10,True,True,True
ENGULF-CE-01,2021-11-17,47,False,0.000595,0.042885,0.061942,-0.091932,-0.201833,-0.166963,0.1042,1.9017,1.7298,-0.0199,-0.0199,-0.0199,18,True,True,True
ENGULF-CE-01,2021-12-15,47,False,-0.002003,0.038679,0.057736,-0.140215,-0.144482,-0.174509,-0.255,1.7195,1.615,-0.0199,-0.0199,-0.0199,17,True,True,True
ENGULF-CE-01,2022-01-14,47,False,-0.00294,0.036811,0.055868,-0.153861,-0.106143,-0.057542,-0.3715,1.6399,1.5651,-0.0201,-0.0201,-0.0201,17,True,True,True
ENGULF-CE-01,2022-02-18,47,False,0.041465,0.041465,0.06096,-0.136756,-0.064981,-0.053363,2.8611,2.0067,1.8075,-0.0107,-0.0107,-0.0119,13,True,True,True
ENGULF-CE-01,2022-04-06,47,False,0.039751,0.041425,0.058012,0.030273,-0.059626,0.046528,2.878,1.9806,1.7516,-0.0108,-0.0119,-0.0119,14,True,True,True
ENGULF-CE-01,2022-05-09,47,False,0.03553,0.054587,0.055082,0.08815,0.060458,0.101356,3.2282,2.843,1.9175,-0.0008,-0.012,-0.012,17,False,False,False
ENGULF-CE-01,2022-06-06,47,False,0.0,0.019057,0.019552,-0.013769,0.008012,0.013357,0.0,1.6952,1.0722,0.0,-0.0124,-0.0124,8,True,True,True
ENGULF-CE-01,2022-07-11,47,False,0.001852,0.019057,0.011875,-0.071774,-0.007913,-0.009622,0.3693,1.6952,0.6126,-0.0124,-0.0124,-0.0124,8,True,True,True
ENGULF-CE-01,2022-08-19,47,False,0.019057,0.016936,0.008245,-0.034288,0.013331,-0.014638,2.4113,1.5004,0.3895,-0.0124,-0.0124,-0.0155,8,True,True,True
ENGULF-CE-01,2022-09-26,47,False,0.015558,0.014761,-0.000746,0.02169,0.09907,0.008684,2.2589,1.3034,-0.0223,-0.0069,-0.0076,-0.0256,7,False,False,False
ENGULF-CE-01,2022-10-28,47,False,0.0,-0.001859,-0.011254,0.149552,0.106368,0.058426,0.0,-0.3061,-0.6118,0.0,-0.0078,-0.026,2,False,False,False
ENGULF-CE-01,2022-12-06,47,False,-0.005628,0.000495,-0.011254,-0.001222,0.004471,-0.080201,-1.6284,0.0836,-0.6118,-0.0078,-0.0078,-0.026,3,False,False,True
ENGULF-CE-01,2023-01-16,47,False,-0.000796,-0.006073,-0.020055,0.020138,-0.009425,-0.13974,-0.1849,-0.728,-0.8345,-0.0078,-0.0096,-0.0351,4,False,True,True
ENGULF-CE-01,2023-03-06,47,False,-0.000827,-0.011239,0.003635,-0.042426,-0.032649,-0.075244,-0.2183,-1.1282,0.1024,-0.0074,-0.015,-0.0454,5,True,True,True
ENGULF-CE-01,2023-04-19,47,False,-0.006386,-0.015522,0.005433,-0.043861,-0.108789,-0.093295,-1.5678,-1.3968,0.1412,-0.008,-0.0247,-0.0449,7,True,True,True
