leg,trader,face,start,window,ret,dd,n_trades,passive,beat,events_n,regime_state,segment
L,COMPOSITE-CE-01,x1,2021-01-15,6m,0.02164,-0.041,37,-0.053436,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-15,12m,0.029961,-0.041,76,-0.158772,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-15,24m,-0.082127,-0.1698,146,-0.172853,1,12,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-18,6m,0.022179,-0.0377,38,-0.081433,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-18,12m,0.028933,-0.0377,78,-0.173786,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-18,24m,-0.085607,-0.1699,148,-0.191589,1,12,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-19,6m,0.024159,-0.0376,39,-0.093447,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-19,12m,0.037692,-0.0376,79,-0.153417,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-19,24m,-0.077746,-0.1691,148,-0.170477,1,12,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-20,6m,0.01014,-0.042,39,-0.107207,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-20,12m,0.030827,-0.042,79,-0.165125,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-20,24m,-0.087359,-0.1707,148,-0.176229,1,12,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-21,6m,0.003431,-0.0463,38,-0.096398,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-21,12m,0.02281,-0.0463,77,-0.167659,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-21,24m,-0.07347,-0.17,146,-0.190888,1,12,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-22,6m,0.003197,-0.0465,39,-0.098603,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-22,12m,0.031635,-0.0465,79,-0.167755,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-22,24m,-0.074113,-0.1697,148,-0.189882,1,12,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-25,6m,0.004316,-0.0464,40,-0.089933,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-25,12m,0.021656,-0.0464,79,-0.179739,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-25,24m,-0.07685,-0.1696,148,-0.195069,1,12,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-26,6m,0.011375,-0.0388,41,-0.081908,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-26,12m,0.039318,-0.0388,80,-0.169808,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-26,24m,-0.088365,-0.1705,148,-0.18582,1,12,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-27,6m,0.022732,-0.0365,39,-0.069321,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-01-27,12m,0.053059,-0.0365,78,-0.162845,1,9,GREEN,bull
