role,name,mask,h10_full_ic_mean,h10_full_ic_ir,h10_full_n_periods,h10_is_ic_mean,h10_is_ic_ir,h10_is_n_periods,h10_oos_ic_mean,h10_oos_ic_ir,h10_oos_n_periods,v1_thr,v1,v2,v3,period_gate,pass,abs_is_ic,is_primary
primary,lhb_pair_2,A,0.0934,0.74,4782.0,0.0943,0.728,4373.0,0.0834,1.02,409.0,0.0957,False,True,True,True,False,,
nullA,lhb_count_20+lhb_days_since,A,,,,,,,,,,,,,,,,0.0635,False
nullA,lhb_count_20+lhb_amt_share_20,A,,,,,,,,,,,,,,,,0.0943,True
nullA,lhb_count_20+lhb_netbuy_amt_60,A,,,,,,,,,,,,,,,,0.0712,False
nullA,lhb_count_20+vol_60,A,,,,,,,,,,,,,,,,0.0696,False
nullA,lhb_count_20+intraday_range,A,,,,,,,,,,,,,,,,0.0751,False
nullA,lhb_count_20+mom_12_1,A,,,,,,,,,,,,,,,,0.0146,False
nullA,lhb_count_20+price_position,A,,,,,,,,,,,,,,,,0.0038,False
nullA,lhb_days_since+lhb_amt_share_20,A,,,,,,,,,,,,,,,,0.0753,False
nullA,lhb_days_since+lhb_netbuy_amt_60,A,,,,,,,,,,,,,,,,0.0439,False
nullA,lhb_days_since+vol_60,A,,,,,,,,,,,,,,,,0.0708,False
nullA,lhb_days_since+intraday_range,A,,,,,,,,,,,,,,,,0.0821,False
nullA,lhb_days_since+mom_12_1,A,,,,,,,,,,,,,,,,0.0225,False
nullA,lhb_days_since+price_position,A,,,,,,,,,,,,,,,,0.0111,False
nullA,lhb_amt_share_20+lhb_netbuy_amt_60,A,,,,,,,,,,,,,,,,0.0528,False
nullA,lhb_amt_share_20+vol_60,A,,,,,,,,,,,,,,,,0.0781,False
nullA,lhb_amt_share_20+intraday_range,A,,,,,,,,,,,,,,,,0.111,False
nullA,lhb_amt_share_20+mom_12_1,A,,,,,,,,,,,,,,,,0.0152,False
nullA,lhb_amt_share_20+price_position,A,,,,,,,,,,,,,,,,0.0348,False
nullA,lhb_netbuy_amt_60+vol_60,A,,,,,,,,,,,,,,,,0.0628,False
nullA,lhb_netbuy_amt_60+intraday_range,A,,,,,,,,,,,,,,,,0.0965,False
nullA,lhb_netbuy_amt_60+mom_12_1,A,,,,,,,,,,,,,,,,0.0118,False
nullA,lhb_netbuy_amt_60+price_position,A,,,,,,,,,,,,,,,,0.0642,False
nullA,vol_60+intraday_range,A,,,,,,,,,,,,,,,,0.0765,False
nullA,vol_60+mom_12_1,A,,,,,,,,,,,,,,,,0.0431,False
nullA,vol_60+price_position,A,,,,,,,,,,,,,,,,0.021,False
nullA,intraday_range+mom_12_1,A,,,,,,,,,,,,,,,,0.0349,False
nullA,intraday_range+price_position,A,,,,,,,,,,,,,,,,0.0315,False
nullA,mom_12_1+price_position,A,,,,,,,,,,,,,,,,0.0367,False
