code,board,rows,first,last,last20_amt_yi,min_close60,sealed5,sealed10,sealed20,sealed_dn
000001,main,8539,1991-01-02,2026-09-22,10.5165,10.16,24,43,0,2
000002,main,8512,1991-01-02,2026-09-22,7.4992,2.98,14,58,1,5
000006,main,8172,1992-04-27,2026-09-22,1.3448,5.82,10,109,0,3
000007,main,7669,1992-04-13,2026-09-22,1.0151,8.71,178,81,1,41
000008,main,7975,1992-05-07,2026-09-22,0.6685,2.25,135,91,0,23
000009,main,8401,1991-06-25,2026-09-22,0.9927,5.975,74,107,0,4
000010,main,6492,1995-10-27,2026-09-22,0.3985,1.43,156,106,0,49
000011,main,8177,1992-03-30,2026-09-22,1.9157,6.23,153,104,0,12
000012,main,8304,1992-02-28,2026-09-22,0.7514,3.7,17,82,1,3
000014,main,8190,1992-06-02,2026-09-22,0.8499,8.59,116,139,0,11
000016,main,8197,1992-03-27,2026-09-03,1.5196,2.19,20,93,0,11
000017,main,7267,1992-03-31,2026-09-22,7.2771,5.1,262,126,0,28
000019,main,7875,1992-10-12,2026-09-22,2.8153,5.8,15,123,0,6
000020,main,7848,1992-04-28,2026-09-22,1.6257,9.6,123,149,0,18
000021,main,7813,1994-02-02,2026-09-22,25.1679,33.77,5,92,0,2
000025,main,7947,1993-06-21,2026-09-22,1.8007,13.077,96,215,0,15
000026,main,7990,1993-06-03,2026-09-22,1.7174,15.63,46,73,0,8
000027,main,7889,1993-09-03,2026-09-22,1.5916,5.97,8,55,0,3
000028,main,7857,1993-08-09,2026-09-22,0.3861,19.25,9,49,0,3
000029,main,6940,1993-09-15,2026-09-22,1.2121,18.94,6,140,0,4
000030,main,7156,1993-09-29,2026-09-22,0.4205,3.92,299,37,1,23
000031,main,7704,1993-10-08,2026-09-22,1.1408,2.06,11,89,0,2
000032,main,7659,1993-10-28,2026-09-22,3.9614,12.31,8,131,0,5
000034,main,7098,1994-05-09,2026-09-22,3.7993,22.83,248,83,0,27
000035,main,6756,1994-04-08,2026-09-22,1.4961,4.326,201,56,0,31
000036,main,7611,1994-06-17,2026-09-22,0.972,3.73,28,84,0,6
000037,main,7439,1994-07-01,2026-09-22,1.8146,8.02,11,142,0,5
000039,main,7767,1994-04-08,2026-09-22,2.8089,7.3,2,46,0,2
