axis,trader,face,window,segment,n,beat_rate,min_dd,mean_dd,oos_trades,ci95_width,verdict
legacy,COMPOSITE-CE-01,base,6m,all,1255,0.6096,-0.1974,-0.0504,50980,0.0534,False
legacy,COMPOSITE-CE-01,base,6m,bear,698,0.5946,-0.1974,None,None,None,None
legacy,COMPOSITE-CE-01,base,6m,bull,470,0.6149,-0.0983,None,None,None,None
legacy,COMPOSITE-CE-01,base,6m,chop,87,0.7011,-0.1422,None,None,None,None
legacy,COMPOSITE-CE-01,x2,6m,all,1255,0.5506,-0.2096,-0.0555,50867,0.0542,False
legacy,COMPOSITE-CE-01,x2,6m,bear,698,0.5372,-0.2096,None,None,None,None
legacy,COMPOSITE-CE-01,x2,6m,bull,470,0.5447,-0.0991,None,None,None,None
legacy,COMPOSITE-CE-01,x2,6m,chop,87,0.6897,-0.1527,None,None,None,None
legacy,COMPOSITE-CE-01,base,12m,all,1129,0.6368,-0.2091,-0.0741,93639,0.0558,False
legacy,COMPOSITE-CE-01,base,12m,bear,696,0.5647,-0.2091,None,None,None,None
legacy,COMPOSITE-CE-01,base,12m,bull,346,0.7572,-0.1708,None,None,None,None
legacy,COMPOSITE-CE-01,base,12m,chop,87,0.7356,-0.169,None,None,None,None
legacy,COMPOSITE-CE-01,x2,12m,all,1129,0.5421,-0.2322,-0.0823,93223,0.0576,False
legacy,COMPOSITE-CE-01,x2,12m,bear,696,0.4583,-0.2322,None,None,None,None
legacy,COMPOSITE-CE-01,x2,12m,bull,346,0.6792,-0.1855,None,None,None,None
legacy,COMPOSITE-CE-01,x2,12m,chop,87,0.6667,-0.1838,None,None,None,None
legacy,COMPOSITE-CE-01,base,24m,all,877,0.7355,-0.2091,-0.0945,142042,0.0593,True
legacy,COMPOSITE-CE-01,base,24m,bear,672,0.692,-0.2091,None,None,None,None
legacy,COMPOSITE-CE-01,base,24m,bull,126,1.0,-0.1724,None,None,None,None
legacy,COMPOSITE-CE-01,base,24m,chop,79,0.6835,-0.169,None,None,None,None
legacy,COMPOSITE-CE-01,x2,24m,all,877,0.5656,-0.2334,-0.1063,140828,0.065,False
legacy,COMPOSITE-CE-01,x2,24m,bear,672,0.5104,-0.2334,None,None,None,None
legacy,COMPOSITE-CE-01,x2,24m,bull,126,0.8571,-0.1878,None,None,None,None
legacy,COMPOSITE-CE-01,x2,24m,chop,79,0.5696,-0.1838,None,None,None,None
legacy,COMPOSITE-CE-02,base,6m,all,1255,0.6382,-0.2158,-0.0563,83347,0.0526,False
legacy,COMPOSITE-CE-02,base,6m,bear,698,0.6905,-0.2133,None,None,None,None
legacy,COMPOSITE-CE-02,base,6m,bull,470,0.5638,-0.1309,None,None,None,None
legacy,COMPOSITE-CE-02,base,6m,chop,87,0.6207,-0.2158,None,None,None,None
legacy,COMPOSITE-CE-02,x2,6m,all,1255,0.5753,-0.2349,-0.062,83264,0.0542,False
legacy,COMPOSITE-CE-02,x2,6m,bear,698,0.6375,-0.2261,None,None,None,None
legacy,COMPOSITE-CE-02,x2,6m,bull,470,0.4745,-0.1437,None,None,None,None
legacy,COMPOSITE-CE-02,x2,6m,chop,87,0.6207,-0.2349,None,None,None,None
legacy,COMPOSITE-CE-02,base,12m,all,1129,0.6076,-0.2672,-0.0821,152344,0.0567,False
legacy,COMPOSITE-CE-02,base,12m,bear,696,0.6523,-0.2672,None,None,None,None
legacy,COMPOSITE-CE-02,base,12m,bull,346,0.5029,-0.2498,None,None,None,None
legacy,COMPOSITE-CE-02,base,12m,chop,87,0.6667,-0.243,None,None,None,None
legacy,COMPOSITE-CE-02,x2,12m,all,1129,0.5368,-0.2949,-0.0921,151792,0.0576,False
legacy,COMPOSITE-CE-02,x2,12m,bear,696,0.625,-0.2949,None,None,None,None
legacy,COMPOSITE-CE-02,x2,12m,bull,346,0.3324,-0.2785,None,None,None,None
legacy,COMPOSITE-CE-02,x2,12m,chop,87,0.6437,-0.2668,None,None,None,None
legacy,COMPOSITE-CE-02,base,24m,all,877,0.691,-0.2748,-0.101,233742,0.0627,False
legacy,COMPOSITE-CE-02,base,24m,bear,672,0.6339,-0.2685,None,None,None,None
legacy,COMPOSITE-CE-02,base,24m,bull,126,1.0,-0.2748,None,None,None,None
legacy,COMPOSITE-CE-02,base,24m,chop,79,0.6835,-0.243,None,None,None,None
legacy,COMPOSITE-CE-02,x2,24m,all,877,0.6192,-0.3106,-0.1144,232305,0.065,False
legacy,COMPOSITE-CE-02,x2,24m,bear,672,0.561,-0.3055,None,None,None,None
legacy,COMPOSITE-CE-02,x2,24m,bull,126,0.9603,-0.3106,None,None,None,None
legacy,COMPOSITE-CE-02,x2,24m,chop,79,0.5696,-0.2668,None,None,None,None
legacy,DROUGHT-CE-01,base,6m,all,1255,0.5657,-0.0516,-0.0118,9155,0.0542,False
legacy,DROUGHT-CE-01,base,6m,bear,698,0.6361,-0.0203,None,None,None,None
legacy,DROUGHT-CE-01,base,6m,bull,470,0.4404,-0.0516,None,None,None,None
legacy,DROUGHT-CE-01,base,6m,chop,87,0.6782,-0.0197,None,None,None,None
legacy,DROUGHT-CE-01,x2,6m,all,1255,0.557,-0.0537,-0.0124,9155,0.0542,False
legacy,DROUGHT-CE-01,x2,6m,bear,698,0.6332,-0.021,None,None,None,None
legacy,DROUGHT-CE-01,x2,6m,bull,470,0.4234,-0.0537,None,None,None,None
legacy,DROUGHT-CE-01,x2,6m,chop,87,0.6667,-0.0202,None,None,None,None
legacy,DROUGHT-CE-01,base,12m,all,1129,0.5182,-0.0516,-0.0153,15196,0.0576,False
legacy,DROUGHT-CE-01,base,12m,bear,696,0.5603,-0.0282,None,None,None,None
legacy,DROUGHT-CE-01,base,12m,bull,346,0.4075,-0.0516,None,None,None,None
legacy,DROUGHT-CE-01,base,12m,chop,87,0.6207,-0.0197,None,None,None,None
legacy,DROUGHT-CE-01,x2,12m,all,1129,0.5155,-0.0537,-0.0161,15196,0.0576,False
legacy,DROUGHT-CE-01,x2,12m,bear,696,0.5575,-0.031,None,None,None,None
legacy,DROUGHT-CE-01,x2,12m,bull,346,0.4046,-0.0537,None,None,None,None
legacy,DROUGHT-CE-01,x2,12m,chop,87,0.6207,-0.0202,None,None,None,None
legacy,DROUGHT-CE-01,base,24m,all,877,0.4595,-0.0516,-0.0185,22759,0.0661,False
legacy,DROUGHT-CE-01,base,24m,bear,672,0.4137,-0.0274,None,None,None,None
legacy,DROUGHT-CE-01,base,24m,bull,126,0.9127,-0.0516,None,None,None,None
legacy,DROUGHT-CE-01,base,24m,chop,79,0.1266,-0.0272,None,None,None,None
legacy,DROUGHT-CE-01,x2,24m,all,877,0.4504,-0.0537,-0.0195,22759,0.0661,False
legacy,DROUGHT-CE-01,x2,24m,bear,672,0.4062,-0.0303,None,None,None,None
legacy,DROUGHT-CE-01,x2,24m,bull,126,0.9127,-0.0537,None,None,None,None
legacy,DROUGHT-CE-01,x2,24m,chop,79,0.0886,-0.0301,None,None,None,None
legacy,ENGULF-CE-01,base,6m,all,1255,0.5506,-0.0417,-0.0188,13494,0.0542,False
legacy,ENGULF-CE-01,base,6m,bear,698,0.6519,-0.0417,None,None,None,None
legacy,ENGULF-CE-01,base,6m,bull,470,0.3872,-0.0416,None,None,None,None
legacy,ENGULF-CE-01,base,6m,chop,87,0.6207,-0.0385,None,None,None,None
legacy,ENGULF-CE-01,x2,6m,all,1255,0.5386,-0.0448,-0.0196,13494,0.0542,False
legacy,ENGULF-CE-01,x2,6m,bear,698,0.6447,-0.0448,None,None,None,None
legacy,ENGULF-CE-01,x2,6m,bull,470,0.366,-0.0442,None,None,None,None
legacy,ENGULF-CE-01,x2,6m,chop,87,0.6207,-0.0409,None,None,None,None
legacy,ENGULF-CE-01,base,12m,all,1129,0.5137,-0.0468,-0.0267,24204,0.0576,False
legacy,ENGULF-CE-01,base,12m,bear,696,0.5632,-0.0468,None,None,None,None
legacy,ENGULF-CE-01,base,12m,bull,346,0.3873,-0.0461,None,None,None,None
legacy,ENGULF-CE-01,base,12m,chop,87,0.6207,-0.0461,None,None,None,None
legacy,ENGULF-CE-01,x2,12m,all,1129,0.5084,-0.0505,-0.0284,24204,0.0576,False
legacy,ENGULF-CE-01,x2,12m,bear,696,0.5575,-0.0505,None,None,None,None
legacy,ENGULF-CE-01,x2,12m,bull,346,0.3815,-0.0499,None,None,None,None
legacy,ENGULF-CE-01,x2,12m,chop,87,0.6207,-0.0499,None,None,None,None
legacy,ENGULF-CE-01,base,24m,all,877,0.4515,-0.0475,-0.0384,36665,0.0661,False
legacy,ENGULF-CE-01,base,24m,bear,672,0.4092,-0.0475,None,None,None,None
legacy,ENGULF-CE-01,base,24m,bull,126,0.9127,-0.0461,None,None,None,None
legacy,ENGULF-CE-01,base,24m,chop,79,0.0759,-0.0461,None,None,None,None
legacy,ENGULF-CE-01,x2,24m,all,877,0.4515,-0.0517,-0.0412,36665,0.0661,False
legacy,ENGULF-CE-01,x2,24m,bear,672,0.4092,-0.0517,None,None,None,None
legacy,ENGULF-CE-01,x2,24m,bull,126,0.9127,-0.0499,None,None,None,None
legacy,ENGULF-CE-01,x2,24m,chop,79,0.0759,-0.0499,None,None,None,None
legacy,NEEDLE-DE-01,base,6m,all,1255,0.5315,-0.0312,-0.0106,6474,0.0542,False
legacy,NEEDLE-DE-01,base,6m,bear,698,0.6146,-0.0291,None,None,None,None
legacy,NEEDLE-DE-01,base,6m,bull,470,0.383,-0.0312,None,None,None,None
legacy,NEEDLE-DE-01,base,6m,chop,87,0.6667,-0.0259,None,None,None,None
legacy,NEEDLE-DE-01,x2,6m,all,1255,0.5275,-0.0325,-0.011,6474,0.0542,False
legacy,NEEDLE-DE-01,x2,6m,bear,698,0.6117,-0.0303,None,None,None,None
legacy,NEEDLE-DE-01,x2,6m,bull,470,0.3766,-0.0325,None,None,None,None
legacy,NEEDLE-DE-01,x2,6m,chop,87,0.6667,-0.027,None,None,None,None
legacy,NEEDLE-DE-01,base,12m,all,1129,0.4942,-0.0323,-0.0137,10332,0.0576,False
legacy,NEEDLE-DE-01,base,12m,bear,696,0.5244,-0.0312,None,None,None,None
legacy,NEEDLE-DE-01,base,12m,bull,346,0.4017,-0.0323,None,None,None,None
