member,kind,point,regime,full_sharpe,oos_sharpe,n_trades,verdict
PROS-ANTS-01,nbhd,"{""max_day"": 0.008}",default,-0.3434,0.1689,29,RED
PROS-ANTS-01,nbhd,"{""max_day"": 0.016}",default,0.0198,0.6041,439,RED
PROS-ANTS-01,center,,default,0.2599,0.6294,187,anchor=OK worst_year=-0.0227
PROS-ANTS-01,x3,,default,-0.2271,0.0682,187,
PROS-ANTS-CE-01,nbhd,"{""max_day"": 0.008}",ce,-0.3434,0.1689,29,RED
PROS-ANTS-CE-01,nbhd,"{""max_day"": 0.016}",ce,0.0427,0.5563,414,RED
PROS-ANTS-CE-01,center,,ce,0.2052,0.5221,177,anchor=OK worst_year=-0.0228
PROS-ANTS-CE-01,x3,,ce,-0.2564,0.0072,177,
PROS-BBS-01,nbhd,"{""bb_n"": 15}",default,0.3688,0.9089,546,green
PROS-BBS-01,nbhd,"{""bb_n"": 25}",default,0.7636,1.3147,722,green
PROS-BBS-01,nbhd,"{""k"": 1.7}",default,0.3621,0.1516,801,green
PROS-BBS-01,nbhd,"{""k"": 2.3}",default,0.2053,0.543,464,RED
PROS-BBS-01,nbhd,"{""width_n"": 40}",default,0.1463,0.3584,820,RED
PROS-BBS-01,nbhd,"{""width_n"": 80}",default,0.5711,0.8257,577,green
PROS-BBS-01,center,,default,0.2386,0.5315,672,anchor=OK worst_year=-0.0497
PROS-BBS-01,x3,,default,-0.4582,-0.1103,672,
PROS-BBS-CE-01,nbhd,"{""bb_n"": 15}",ce,0.387,1.0694,461,RED
PROS-BBS-CE-01,nbhd,"{""bb_n"": 25}",ce,0.8903,1.4779,511,green
PROS-BBS-CE-01,nbhd,"{""k"": 1.7}",ce,0.2712,-0.2603,600,RED
PROS-BBS-CE-01,nbhd,"{""k"": 2.3}",ce,0.1132,0.6292,348,RED
PROS-BBS-CE-01,nbhd,"{""width_n"": 40}",ce,0.2271,0.3668,612,RED
PROS-BBS-CE-01,nbhd,"{""width_n"": 80}",ce,0.6269,0.9791,420,green
PROS-BBS-CE-01,center,,ce,0.2384,0.6196,495,anchor=OK worst_year=-0.0536
PROS-BBS-CE-01,x3,,ce,-0.2635,0.1252,495,
PROS-DOJI-01,nbhd,"{""drop_th"": -0.04}",default,0.2591,-0.0662,710,RED
PROS-DOJI-01,nbhd,"{""drop_th"": -0.06}",default,0.09,-0.0937,397,RED
PROS-DOJI-01,center,,default,0.2102,0.3398,541,anchor=OK worst_year=-0.0601
PROS-DOJI-01,x3,,default,-0.2769,-0.1943,541,
PROS-DOJI-CE-01,nbhd,"{""drop_th"": -0.04}",ce,0.2687,0.0252,561,RED
PROS-DOJI-CE-01,nbhd,"{""drop_th"": -0.06}",ce,0.159,0.0432,301,RED
PROS-DOJI-CE-01,center,,ce,0.2438,0.4018,422,anchor=OK worst_year=-0.0568
PROS-DOJI-CE-01,x3,,ce,-0.1392,-0.0005,422,
PROS-DUCK-01,nbhd,"{""neck"": 12}",default,0.4531,0.7374,854,green
PROS-DUCK-01,nbhd,"{""neck"": 5}",default,0.5607,0.7545,1034,green
PROS-DUCK-01,center,,default,0.6817,0.8227,947,anchor=OK worst_year=-0.0242
PROS-DUCK-01,x3,,default,-0.161,-0.0408,947,
PROS-DUCK-CE-01,nbhd,"{""neck"": 12}",ce,0.5911,0.4946,719,green
PROS-DUCK-CE-01,nbhd,"{""neck"": 5}",ce,0.5832,0.1708,872,green
PROS-DUCK-CE-01,center,,ce,0.5347,0.6059,798,anchor=OK worst_year=-0.0695
PROS-DUCK-CE-01,x3,,ce,-0.1151,-0.0626,798,
PROS-HAM-01,nbhd,"{""body_max"": 0.25}",default,0.2097,0.4471,265,RED
PROS-HAM-01,nbhd,"{""body_max"": 0.45}",default,0.2326,0.1544,360,RED
PROS-HAM-01,nbhd,"{""drop_th"": -0.04}",default,-0.1971,-0.0683,522,RED
PROS-HAM-01,nbhd,"{""drop_th"": -0.06}",default,0.3277,0.0901,260,RED
PROS-HAM-01,nbhd,"{""shadow_mult"": 1.5}",default,0.238,0.0362,441,RED
PROS-HAM-01,nbhd,"{""shadow_mult"": 2.5}",default,0.0363,0.1043,263,RED
PROS-HAM-01,center,,default,0.2326,0.1544,360,anchor=OK worst_year=-0.0363
PROS-HAM-01,x3,,default,-0.1805,-0.3126,360,
PROS-HAM-CE-01,nbhd,"{""body_max"": 0.25}",ce,0.1418,0.4745,190,RED
PROS-HAM-CE-01,nbhd,"{""body_max"": 0.45}",ce,0.1957,0.1283,267,RED
PROS-HAM-CE-01,nbhd,"{""drop_th"": -0.04}",ce,-0.1568,0.043,383,RED
PROS-HAM-CE-01,nbhd,"{""drop_th"": -0.06}",ce,0.3337,0.092,197,RED
PROS-HAM-CE-01,nbhd,"{""shadow_mult"": 1.5}",ce,0.1434,-0.0691,325,RED
