method,cost_mult,full_sharpe,full_ann,full_dd,is_sharpe,is2_sharpe,benefit,dr,worst_year,n_trades,n_entries
A_IV,x1,0.7041,0.0138,-0.0387,0.4916,1.2424,0.3515,1.997,-0.0106,15371,12257
A_IV,x2,0.1705,0.0034,-0.0606,-0.0685,0.7416,-0.1821,0.4836,-0.0227,15371,12257
B_MAXDIV,x1,1.068,0.014,-0.0163,0.8745,1.4973,0.66,2.6179,-0.0006,15371,12257
B_MAXDIV,x2,0.6141,0.0082,-0.0239,0.3612,1.116,0.2061,1.5053,-0.0067,15371,12257
C_IVMOM,x1,0.7385,0.0146,-0.0386,0.5324,1.2646,0.3712,2.0104,-0.01,15371,12257
C_IVMOM,x2,0.1975,0.004,-0.0601,-0.0345,0.7565,-0.1698,0.5377,-0.0223,15371,12257
D_REGIME,x1,1.0045,0.0261,-0.0451,0.8437,1.429,0.4307,1.7506,-0.0216,15371,12257
D_REGIME,x2,0.4231,0.0115,-0.0766,0.2377,0.8779,-0.1507,0.7374,-0.0348,15371,12257
E_EW,x1,0.6192,0.0197,-0.0747,0.4118,1.204,0.2506,1.6801,-0.0234,15371,12257
E_EW,x2,0.0985,0.0029,-0.1128,-0.1214,0.6842,-0.2701,0.2673,-0.0436,15371,12257
