factor,status,skip_reason,compute_s,h5_full_ic,h5_full_ir,h5_full_n,h5_is_ic,h5_is_ir,h5_is_n,h5_oos_ic,h5_oos_ir,h5_oos_n,h5_pass,h5_strong,h10_full_ic,h10_full_ir,h10_full_n,h10_is_ic,h10_is_ir,h10_is_n,h10_oos_ic,h10_oos_ir,h10_oos_n,h10_pass,h10_strong,h20_full_ic,h20_full_ir,h20_full_n,h20_is_ic,h20_is_ir,h20_is_n,h20_oos_ic,h20_oos_ir,h20_oos_n,h20_pass,h20_strong,in_pool,strong_tier,h10_v1,h10_v2,h10_v3,h10_strict_all
alpha001,ok,,0.07,0.0032,0.012,1604,-0.0002,-0.001,1190,0.0127,0.049,414,False,False,0.0174,0.068,1599,0.0127,0.05,1190,0.0311,0.117,409,False,False,0.017,0.069,1589,0.0143,0.058,1190,0.0252,0.099,399,True,True,True,True,False,False,True,False
alpha002,ok,,0.09,-0.0022,-0.012,1619,-0.0047,-0.026,1205,0.0051,0.029,414,False,False,0.0007,0.004,1614,-0.0028,-0.015,1205,0.011,0.065,409,False,False,0.0055,0.03,1604,0.0006,0.003,1205,0.0204,0.115,399,False,False,False,False,False,False,False,False
alpha003,ok,,0.1,0.0125,0.076,1617,0.0122,0.076,1203,0.0133,0.079,414,True,True,0.0056,0.033,1612,0.0067,0.04,1203,0.0023,0.013,409,False,False,0.0143,0.085,1602,0.0149,0.089,1203,0.0127,0.073,399,True,True,True,True,False,False,False,False
alpha004,ok,,0.83,-0.0049,-0.023,1618,-0.0034,-0.016,1204,-0.0094,-0.046,414,False,False,-0.0078,-0.038,1613,-0.006,-0.028,1204,-0.013,-0.066,409,False,False,-0.0035,-0.017,1603,-0.0029,-0.014,1204,-0.0053,-0.027,399,False,False,False,False,False,False,True,False
alpha005,ok,,0.05,0.001,0.004,1617,0.0058,0.023,1203,-0.0132,-0.047,414,False,False,-0.0105,-0.04,1612,-0.0046,-0.018,1203,-0.0277,-0.099,409,False,False,-0.0123,-0.049,1602,-0.0044,-0.018,1203,-0.0363,-0.128,399,False,False,False,False,False,False,True,False
alpha006,ok,,0.04,0.0253,0.119,1617,0.025,0.121,1203,0.0259,0.114,414,True,True,0.0203,0.096,1612,0.0241,0.116,1203,0.0091,0.041,409,True,False,0.0241,0.115,1602,0.0332,0.161,1203,-0.0032,-0.014,399,False,False,True,True,True,False,False,False
alpha007,ok,,0.85,0.0024,0.012,1560,0.01,0.048,1146,-0.0189,-0.096,414,False,False,0.0018,0.009,1555,0.0021,0.01,1146,0.0011,0.005,409,False,False,0.0036,0.018,1545,0.0021,0.01,1146,0.0079,0.04,399,False,False,False,False,False,False,True,False
alpha008,ok,,0.04,-0.0016,-0.006,1611,-0.0003,-0.001,1197,-0.0055,-0.019,414,False,False,0.0054,0.02,1606,0.0113,0.044,1197,-0.0119,-0.041,409,False,False,0.001,0.004,1596,0.0014,0.005,1197,-0.0002,-0.001,399,False,False,False,False,False,False,False,False
alpha009,ok,,0.02,-0.0062,-0.024,1621,-0.0075,-0.029,1207,-0.0025,-0.009,414,False,False,-0.0066,-0.025,1616,-0.0029,-0.011,1207,-0.0177,-0.061,409,False,False,-0.0041,-0.016,1606,-0.0023,-0.009,1207,-0.0096,-0.035,399,False,False,False,False,False,False,True,False
alpha010,ok,,0.04,-0.0055,-0.022,1622,-0.0077,-0.031,1208,0.001,0.004,414,False,False,-0.0076,-0.03,1617,-0.0045,-0.018,1208,-0.0168,-0.06,409,False,False,-0.006,-0.024,1607,-0.0052,-0.021,1208,-0.0085,-0.032,399,False,False,False,False,False,False,True,False
