cand,group,exit_regime,sharpe_full,dist_to_line,pass_v2,line_ok,ci_ok,entries_ok,annual_return,oos_sharpe,oos_annual_return,oos_double_positive,max_drawdown,x2_full_sharpe,n_trades,n_entries,entries_per_year,turnover_budget_ok,d6_status,d6_merged_into,max_corr_vs_registered,n_oos_trades
PROS-VOB-CE-01,A,ce,0.4586,-0.646,False,False,False,True,0.0309,1.23,0.0797,True,-0.117,0.1927,805,528,78.49,False,unique,,0.4112,217
PROS-IBB-01,A,default,0.2618,-0.8428,False,False,False,True,0.0236,1.0687,0.0858,True,-0.2466,-0.0777,1307,1083,161.0,False,unique,,0.1671,366
PROS-IBB-CE-01,A,ce,0.3613,-0.7433,False,False,False,True,0.0329,1.3251,0.0893,True,-0.2279,0.0335,1193,967,143.75,False,d6-merged,PROS-IBB-01,0.14,336
PROS-DUCK-01,A,default,0.6703,-0.4343,False,False,False,True,0.0401,0.7751,0.0443,True,-0.077,0.2457,947,743,110.45,False,unique,,0.2883,264
PROS-DUCK-CE-01,A,ce,0.5237,-0.5809,False,False,False,True,0.0326,0.5606,0.0337,True,-0.1165,0.1975,798,594,88.3,False,d6-merged,PROS-DUCK-01,0.3049,225
slope_r2_rotation_25_top3_r8,B,default,-0.0544,-1.159,False,False,False,True,-0.0417,-0.1985,-0.0981,False,-0.4944,-0.8551,829,634,94.25,False,unique,,0.3706,211
dual_momentum_etf_20_60_top3,B,default,-0.2178,-1.3224,False,False,False,True,-0.0824,-0.3394,-0.1611,False,-0.5972,-0.9526,1154,974,144.79,False,unique,,0.2723,286
gem_ashare_m12,B,default,-0.2127,-1.3173,False,False,False,False,-0.0078,0.0,0.0,False,-0.1285,-0.245,4,3,0.45,True,unique,,0.1083,0
donchian_20_10,C,default,0.0794,-1.0252,False,False,False,True,0.0031,0.803,0.072,True,-0.2457,-0.2503,1014,762,113.28,False,unique,,0.3016,260
dual_ma_5_20,C,default,-0.0108,-1.1154,False,False,False,True,-0.0046,1.1605,0.0988,True,-0.3034,-0.4778,1270,1023,152.08,False,d6-merged,PROS-VOB-CE-01,0.3913,332
triple_ma_5_20_60,C,default,0.1744,-0.9302,False,False,False,True,0.0099,0.5704,0.0447,True,-0.1601,-0.3565,1225,984,146.28,False,d6-merged,PROS-VOB-CE-01,0.3505,352
parabolic_sar,C,default,0.0949,-1.0097,False,False,False,True,0.0044,0.9014,0.0798,True,-0.2323,-0.3229,1135,873,129.78,False,d6-merged,dual_ma_5_20,0.2981,330
supertrend_10_3,C,default,0.0299,-1.0747,False,False,False,True,-0.0014,0.9275,0.0849,True,-0.2375,-0.3152,1094,803,119.37,False,d6-merged,donchian_20_10,0.3355,311
xsec_mom_120_20,C,default,-0.0599,-1.1645,False,False,False,True,-0.014,0.4788,0.0687,True,-0.3745,-0.4497,1586,1292,192.06,False,unique,,0.2767,453
dual_mom_120,C,default,-0.0358,-1.1404,False,False,False,True,-0.0122,0.4707,0.0683,True,-0.299,-0.3991,1623,1228,182.55,False,d6-merged,xsec_mom_120_20,0.3663,502
ts_mom_200,C,default,-0.0195,-1.1241,False,False,False,True,-0.0041,0.5141,0.0448,True,-0.1783,-0.4149,922,741,110.15,False,unique,,0.3869,280
rs_rotation_20,C,default,0.014,-1.0906,False,False,False,True,-0.0096,0.1216,0.0072,True,-0.2598,-0.4072,2283,1872,278.29,False,d6-merged,PROS-IBB-01,0.308,640
mom_accel_20_120,C,default,-0.1001,-1.2047,False,False,False,True,-0.0146,0.9443,0.0738,True,-0.2837,-0.4489,1046,875,130.07,False,unique,,0.2879,300
composite_top5,C,default,0.4201,-0.6845,False,False,False,True,0.0305,0.9638,0.0967,True,-0.1952,-0.1058,707,619,92.02,False,unique,,0.9344,250
composite_top8,C,default,0.4296,-0.675,False,False,False,True,0.0498,1.0224,0.092,True,-0.2553,0.193,1189,1017,151.18,False,unique,,0.9873,398
