name,face,ann_ret,max_dd,calmar,monthly_pos_rate,n_months,years,n_trades,total_cost_cny
ALLOC-P1,v2_main,0.047762,-0.101653,0.469852,0.5875,80,6.472222,,
ALLOC-P2,v2_main,0.080343,-0.0802,1.001785,0.6125,80,6.472222,,
ALLOC-P3,v2_main,0.025815,-0.267971,0.096337,0.525,80,6.472222,,
ALLOC-P3B,v2_main,0.024323,-0.26539,0.091649,0.525,80,6.472222,,
ALLOC-P4,v2_main,0.027647,-0.047292,0.584594,0.575,80,6.472222,,
ALLOC-P5,v2_main,0.042426,-0.105758,0.401161,0.5625,80,6.472222,,
ALLOC-P6,v2_main,0.045015,-0.267708,0.16815,0.575,80,6.472222,,
BENCH-STOCK100,bench,0.016515,-0.450949,0.036622,0.525,80,6.472222,1.0,1302.358114
BENCH-BOND100,bench,0.025683,-0.048788,0.526419,0.7,80,6.472222,1.0,1292.140229
BENCH-6040-NOREBAL,bench,0.020223,-0.269995,0.074901,0.5375,80,6.472222,2.0,1295.049155
NULL-EW5,structural_null,0.051296,-0.382416,0.134136,0.675,80,6.472222,5.0,1290.222159
