cell,face,sharpe,ann_ret,max_dd,oos_sharpe,oos_ann,n_entries,n_trades,n_active_rebal,fill_days_max,n_superseded,traded_notional,cost_total,g1_pass,g2_eligible,d6_max_abs_corr
CORE_DD10,x1,0.1103,0.00579,-0.362478,-0.3933,-0.061292,24,41,10,12,0,11201802.69,11174.68,,,
CORE_DD10,x2,0.1048,0.005051,-0.36247,-0.3955,-0.061573,24,41,10,12,0,11138705.9,22239.2,False,False,0.1174
CORE_DD10,x3,0.0992,0.004313,-0.362531,-0.3977,-0.06185,24,41,10,12,0,11077262.97,33198.71,,,
CORE_DD20,x1,0.3134,0.040335,-0.440463,0.1104,0.005195,52,82,11,17,0,12206171.77,15087.2,,,
CORE_DD20,x2,0.3086,0.039445,-0.444587,0.1104,0.005195,51,81,11,17,0,12130636.57,29981.41,False,False,0.2116
CORE_DD20,x3,0.3036,0.038545,-0.448738,0.1104,0.005195,50,80,11,17,0,12055560.75,44679.85,,,
SAT40_DD10,x1,0.3873,0.050473,-0.412064,0.4575,0.063579,62,117,51,9,0,36838487.58,25293.54,,,
SAT40_DD10,x2,0.3796,0.049167,-0.412111,0.4509,0.062441,62,117,51,9,0,36481157.0,50159.3,False,False,0.2433
SAT40_DD10,x3,0.3718,0.047856,-0.412126,0.4444,0.061309,60,115,51,8,0,36127239.36,74569.15,,,
SAT40_DD20,x1,0.4547,0.069682,-0.411773,0.732,0.112578,83,160,51,10,0,40374970.45,29174.1,,,
SAT40_DD20,x2,0.4477,0.068285,-0.411755,0.7272,0.11166,83,161,51,10,0,39937139.89,57795.39,False,False,0.2649
SAT40_DD20,x3,0.4407,0.06689,-0.411727,0.7221,0.110706,83,161,51,10,0,39502530.55,85854.89,,,
