cell,face,sharpe,ann_ret,max_dd,oos_sharpe,oos_ann,n_entries,n_trades,n_active_rebal,fill_days_max,n_superseded,traded_notional,cost_total,g1_pass,g2_eligible,d6_max_abs_corr
SAT20_bare,x1,0.4261,0.067155,-0.4822,0.5007,0.061685,68,131,51,11,0,17559314.38,11446.56,,,
SAT20_bare,x2,0.4234,0.06659,-0.482247,0.4976,0.061205,68,132,51,11,0,17471949.24,22800.91,False,False,0.2486
SAT20_bare,x3,0.4209,0.066041,-0.482266,0.4945,0.06074,67,131,51,11,0,17384806.61,34030.66,,,
SAT20_gate,x1,0.4107,0.062129,-0.482213,0.5007,0.061678,57,114,50,11,0,14815105.7,9591.99,,,
SAT20_gate,x2,0.4084,0.061654,-0.482255,0.4977,0.061227,57,115,50,11,0,14752419.04,19121.81,False,False,0.2442
SAT20_gate,x3,0.406,0.061168,-0.482273,0.4945,0.060742,57,115,50,11,0,14685228.22,28564.79,,,
SAT40_bare,x1,0.4629,0.077863,-0.491017,0.732,0.11259,66,129,51,8,0,35822349.56,22127.46,,,
SAT40_bare,x2,0.4586,0.076885,-0.491076,0.7271,0.111644,66,130,51,8,0,35535703.06,43938.27,False,False,0.2622
SAT40_bare,x3,0.4543,0.075914,-0.491104,0.7222,0.110726,66,130,51,8,0,35255694.68,65429.16,,,
SAT40_gate,x1,0.4354,0.067922,-0.488699,0.7319,0.112576,55,112,50,8,0,29318590.73,17882.39,,,
SAT40_gate,x2,0.4315,0.067111,-0.488733,0.7272,0.111656,55,113,50,8,0,29124796.06,35557.6,False,False,0.257
SAT40_gate,x3,0.4275,0.066288,-0.488771,0.7222,0.110725,55,114,51,8,0,28929675.31,53025.6,,,
