cell,face,sharpe,ann_ret,max_dd,oos_sharpe,oos_ann,n_entries,n_trades,n_active_rebal,fill_days_max,n_superseded,traded_notional,cost_total,g1_pass,g2_eligible,d6_max_abs_corr
W63_bare,x1,0.4881,0.068504,-0.178017,0.1667,0.013539,276,407,30,17,9,51776133.62,45754.67,,,
W63_bare,x2,0.4596,0.063587,-0.181804,0.1351,0.009135,274,405,30,17,9,50727341.56,89898.54,False,False,0.2358
W63_bare,x3,0.4311,0.058684,-0.185577,0.1035,0.004746,274,405,30,17,9,49701473.54,132506.11,,,
W252_bare,x1,0.7416,0.106999,-0.195999,0.2021,0.018282,47,50,6,2,2,13764490.15,9013.52,,,
W252_bare,x2,0.7371,0.106266,-0.198919,0.1858,0.016066,47,50,6,2,2,13725624.35,17977.53,False,False,0.2583
W252_bare,x3,0.7326,0.105528,-0.201811,0.1695,0.013853,47,50,6,2,2,13686250.55,26890.88,,,
W63_gate,x1,0.2029,0.018739,-0.238527,-0.2642,-0.035985,231,390,37,17,11,43381515.45,40539.52,,,
W63_gate,x2,0.1699,0.014041,-0.258521,-0.2886,-0.038677,230,388,37,17,11,42569168.17,79745.98,False,False,0.2233
W63_gate,x3,0.1368,0.009357,-0.278007,-0.3129,-0.041353,230,388,37,17,11,41773179.05,117698.92,,,
W252_gate,x1,0.2907,0.030428,-0.234583,-0.2049,-0.031874,72,135,21,11,3,25196199.86,23534.32,,,
W252_gate,x2,0.2716,0.027798,-0.246144,-0.2274,-0.034571,72,135,21,11,3,24912159.63,46622.48,False,False,0.2289
W252_gate,x3,0.2526,0.025181,-0.257494,-0.2497,-0.037241,71,134,21,11,3,24632326.77,69263.86,,,
